"NEIndustryCode","NEIndustryName","num"
"C26","化学原料及化学制品制造业",118
"C31","非金属矿物制品业",53
"D44","电力、热力的生产和供应业",46
"C33","有色金属冶炼及压延加工业",43
"C32","黑色金属冶炼及压延加工业",26
"B06","煤炭开采和洗选业",23
"C25","石油加工、炼焦及核燃料加工业",9
"C22","造纸及纸制品业",7
"B09","有色金属矿采选业",6
"C42","工艺品及其他制造业",6
"D46","水的生产和供应业",6
"C27","医药制造业",5
"B11","其他采矿业",4
"C29","橡胶制品业",4
"C17","纺织业",3
"B07","石油和天然气开采业",2
"C18","纺织服装、鞋、帽制造业",2
"C34","金属制品业",2
"C36","专用设备制造业",2
"C37","交通运输设备制造业",2
"C14","食品制造业",1
"C21","家具制造业",1
"D44","电力、热力生产和供应业",1
