"NEIndustryCode","NEIndustryName","num"
"C27","医药制造业",89
"C36","专用设备制造业",58
"C35","通用设备制造业",55
"C17","纺织业",30
"C29","橡胶制品业",29
"C37","交通运输设备制造业",29
"C13","农副食品加工业",26
"C34","金属制品业",25
"C28","化学纤维制造业",19
"C15","饮料制造业",18
"C14","食品制造业",16
"C22","造纸及纸制品业",15
"C40","通信设备、计算机及其他电子设备制造业",11
"D44","电力、热力的生产和供应业",11
"C39","电气机械及器材制造业",9
"C42","工艺品及其他制造业",9
"B09","有色金属矿采选业",6
"C26","化学原料及化学制品制造业",6
"C20","木材加工及木、竹、藤、棕、草制品业",5
"C23","印刷业和记录媒介的复制",5
"B11","其他采矿业",3
"C18","纺织服装、鞋、帽制造业",3
"C32","黑色金属冶炼及压延加工业",3
"C33","有色金属冶炼及压延加工业",3
"D45","燃气生产和供应业",3
"B08","黑色金属矿采选业",2
"C31","非金属矿物制品业",2
"C41","仪器仪表及文化、办公用机械制造业",2
"B06","煤炭开采和洗选业",1
"B07","石油和天然气开采业",1
"C19","皮革、毛皮、羽毛(绒)及其制品业",1
"C24","文教体育用品制造业",1
