"NEIndustryCode","NEIndustryName","num"
"C40","通信设备、计算机及其他电子设备制造业",148
"C39","电气机械及器材制造业",75
"C37","交通运输设备制造业",48
"C36","专用设备制造业",25
"C27","医药制造业",22
"C35","通用设备制造业",11
"C15","饮料制造业",9
"C41","仪器仪表及文化、办公用机械制造业",9
"C18","纺织服装、鞋、帽制造业",8
"C42","工艺品及其他制造业",5
"C24","文教体育用品制造业",4
"C19","皮革、毛皮、羽毛(绒)及其制品业",3
"C14","食品制造业",2
"C13","农副食品加工业",1
"C21","家具制造业",1
"C34","金属制品业",1
