,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X000661.SZ,X600741.SH,X600703.SH,X600809.SH,X000596.SZ,X002236.SZ,X002241.SZ,X000100.SZ,X300003.SZ,X601877.SH,X600183.SH,X300124.SZ,X000157.SZ,X000625.SZ,X300014.SZ,X002008.SZ,X000066.SZ,X300142.SZ,X002007.SZ,X600271.SH,X002371.SZ,X300136.SZ,X002456.SZ,X002179.SZ,X002463.SZ,X000977.SZ,X600584.SH,X600177.SH,X002180.SZ,X002129.SZ,X000050.SZ,X600487.SH,X600498.SH,X600066.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0341698669088183,0,0,0,0,0.217814647874099,0,0,0,0,0,0,0.233081097316748,0,0,0,0,0,0.250394313657199,0,0,0,0,0,0,0,0,0,-0.0173304961230654,0,0,0.100431092916255,0,0,0,0,0,0,-0.0527790073322487,0,0,0,0,0,-0.10632437761231,0,0,0,0,0,-0.0566003900903364,-0.0188743314811172,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0433711844204006,0.443136329192635,0,0,0,0,0,0.0644999275880996,0,0.070581759900259,0,0,0,0,0,0,0,0,0,0.0414553950609121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00848604832869465,-4.33680868994202e-19,0,0,0,-0.0016499974449857,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.110169156491202,0,0.0563523743728028,0,0,-0.052340405166364,0,0,0,0,0.104682941905014,0.0274612313621206,0,-0.0111105091509216,0,0,0,0,0,0,0,0.0489921209277212,0,0,0,0,0,0,0,0,0,0,0.0105452055433239,0,0,0,0,0,0,0,0,0,0,0,-0.0113256851821096,0,0
X600276.SH,0.174087093785496,0,0,0,0,0,0,0,0,0,0,0,0.0945907522068116,0,0,0.26496902482857,0,0,0,0.0978188297763575,0,0,0,0,0,0,0,0,0.160573200581823,0,-6.93889390390723e-18,0,0,0.137833002889635,0,0,0,0,0,0,-0.0983482955367072,0,0,0,0,0,0,0,0,0,0,0.0144963775741286,-0.012247117334492,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.0395595814815804,0,0,0,0,0.0426751678530263,0,0.0654725410945313,0.0760094897739362,0,0,0,0,0.595915894498872,0,0,0,0,0,0,0,0,0,0,0,0.0223156600120691,0,0,0,0,-0.0130568789562854,0,0,0,-0.0446035632301542,0,0,0,0,0,0,0,0,0,0.0442159800602175,-0.0297158779878521,0,0,0,-0.0369454623416756,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720742172363508,0,0,0,0,0,-0.0425446230185274,0,0,0,0,0,0.0977102211900471,0,0,0,0,-0.0298095018707529,0,0.189607682557579,0,-0.0363411536209314,0,0.041242433904436,0,0.0309628162032977,0,0,0,0.0201954723025998,0,0,0,0,0,0,0,0.00332545201934128,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00610210519487022,0,0,0,0.320393500866782,0,0,0,0,0,0,0,0.0585075415755742,0.205636812009216,0.110761323185681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515953251874743,0,0,0,0.0633159866360156,0,0
X003816.SZ,0,0,0.0142501565630116,0,0,0,0,0,0,0,0.017891469703664,0,0.084509019578509,0,0,0,0,0,0,0,0,0,0.0299404041100576,0,0,-1.73472347597681e-18,0,0,0,-0.0920763357541783,0,0,0,0,0.127799651899912,-0.054383658142022,0.168090351643553,0,0,0.0964681401317996,0,0,0,0,0,0.0630877913199491,0,0,0,0,0,0.0433145791665737,0,0,0,0,0,0,0
X002304.SZ,0,0,0.019210504635406,0,0,0,0,0.0130770464785578,0,0,0,0,0.0124440420683016,0,0,0,0,0,0,0.135905296091142,0,-0.0393558050700118,0,0,0,0.0492480832699002,0,0,0,0,0,0,0,0.189986633145254,0,0,0,0,0,0.00421272765261567,0,0,0,0,-0.0491245126763256,0,0,0,0,0.0523101246687333,0,-0.0369754459493082,0.0222861318736257,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092868092555082,0,0,0,0,0.083899628075121,0,0,0,0,0,0,0.0330795351866028,0,0.0669129460732679,0,0,0,0,0,0,0,0.0282436618925676,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156900294920306,0,0,0,0,0,0
