,X600519.SH,X000858.SZ,X002415.SZ,X600104.SH,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X000100.SZ,X600703.SH,X601877.SH,X600271.SH,X000661.SZ,X002236.SZ,X000596.SZ,X600809.SH,X300003.SZ,X300124.SZ,X002008.SZ,X000625.SZ,X600487.SH,X002007.SZ,X002456.SZ,X600867.SH,X600776.SH,X600498.SH,X000157.SZ,X002180.SZ,X600177.SH,X300142.SZ,X002179.SZ,X300146.SZ,X002371.SZ,X000050.SZ,X000977.SZ,X600118.SH,X002241.SZ,X600522.SH,X600066.SH,X600089.SH,X600372.SH,X000066.SZ,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.229471418106331,0,0,0,0.0175714691021783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244859923315659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924305160824878,0,0,0,0,0,0,0,0,0,0,0,0,-0.014016678431535,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,-8.67361737988404e-19,0.150833646832735,0,0,0,0,0,0,0.31558602046472,0,0,0,0,0,0,0.0925599468655315,0,0.134913069925301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119365926123172,0,0,0,0,0,0,0,-0.0163216431795379,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0332733896451272,0,0.0535502328219459,0.0251441874112608,0,0,0,0,0,0.435505122624136,0,0.0428894210005826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249433594509615,0,0,-0.00748081319971916,0,0,0,0,0,0,0,0,0.00136831325852488,0,-0.027490390303142,0.0223852965158815,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.000239288568651275,0.13461708287135,0,0,0,0,0,0,0,0,0.0505590630546879,0.0179893604184076,0.0874656352072756,0,0.116803878598879,0.0144377132189135,0,0,0.134703021754483,0,0,0,0,-0.0152828101881258,0,0,0,0,0,0,0,0,0,0.085913168998169,0,0,0,0,0,0,0.0162276693661744,0,0,0,-0.0738378039534864,0,0,0,0,0,0
X000651.SZ,0,0.177619807371981,0,0.0170075857142435,0,0,0,0,0,0.167133025754419,0,0,0.0869642591906507,0,0.0196447422210512,0,0,0,0,0,0.0739976074418923,0,0,0,0,0,0.0212104869212374,0,0,0,0,0.00377955688946031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338567783869583,0,-0.00578981298364244,0,0,0,0,-0.0027434002378233,0,0
X600276.SH,0,0,0,0,0,0,0.03122903856414,0,0,0,0,0,0,0.0439649204143939,0,0,0,0,0,0.0323627551697319,0,0.0301874829336421,0.119213874502626,0.0328389741164614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0362443698266427,0.0608005866987255,0,0,0,0,0,0
X002304.SZ,0,0.289479556318716,0,0,0,0,0,0,0,0,0.110493328508028,0,0,0.295286258916938,0,0,0,0,0,0,0,0.0322517799671191,0,0,0,0,0,0,0.0561798217950187,0,0,0.00907317773467971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319545283681499,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972129081344617,0,0,0.00931290922100941,0,0,0,0,0.0766089898224843,0,0,0.0607635274323803,0,0,0.137214692201999,0.00988438008435394,0,0,0,0,0,0,0,0,0,0.0988596427124804,0,0,0,0,0,0,0,0,0,0,-0.0276435011870561,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.255555381068246,0,0,0,0.030367658454422,0,0,0,0.000689985347668424,0,0,0,0,0,0,0.251114237906564,0,0.0531075285606968,3.46944695195361e-18,0.00383663608752601,0.343989036652067,0,0,0,0,0,0,0,0,0.151807140517773,0,0,0,0,0,0,0,0.00595633040255136,0,-0.0124945516491546,0,0,0,0,0,0,0
X600690.SH,0,0.139536884551547,0,0.19627370963361,0.0555097957849965,0,0,0,0,0,0,0,0.085456917034805,0,0,0,0,0,0.0121880765733692,0,0,0,0.0377244300876106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178873438917431,0,0,0,0.182495784018131,0,0,0,0,0,0,0,0,0,-0.0350220037392322,0,0,0,0,0,0,0
