,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X000725.SZ,X002371.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002129.SZ,X003816.SZ,X002241.SZ,X002049.SZ,X000338.SZ,X600703.SH,X000063.SZ,X000596.SZ,X601877.SH,X002179.SZ,X300142.SZ,X000625.SZ,X600460.SH,X600089.SH,X000661.SZ,X000100.SZ,X600741.SH,X600522.SH,X002074.SZ,X600884.SH,X002180.SZ,X000157.SZ,X600702.SH,X000733.SZ,X000799.SZ,X002236.SZ,X600584.SH,X601799.SH,X600563.SH,X002008.SZ,X600779.SH,X002414.SZ,X000977.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.322566757822935,0,0,0,0,0,0.0302084301666738,0.120016414441354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141267315870125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762149302024177,0,0,0,0,-0.00715778943723108,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.177001266159548,0,0,0,0.175545251013778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104215200586039,0.0813805512539077,0,0,0,0,0,0,0,0,0,0,0,0,0.0170786506404124,0,0.0164939191403975,0,0,0,0,0.0833873506533054,0,0,0,0,0,0,0,-0.00077325454111118,0.00865447297848094,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0246461966517407,0,0,0,0,0,0,0.148852857623781,0,0,0,-2.16840434497101e-19,0,0,0,0.00745354480026951,0,0,0,0,0,0,0,0,0,0,0.0127884649858558,0,0,0.0786181229843525,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.185077469559904,0,0,0,0.000686037386438591,0,0,0,0.0202884261399336,0,0
X600809.SH,0,0,0,0,0.416794002065818,0,0,0.0732772843388588,0,0,0,0,0,0,0,0,0,0,0,0,-0.0663221056530368,0,0,0,0,0,-0.168506352682753,0,0,0,0,0,0,0,0,0,0,0,0.0870962146909174,0,0.0954337371819668,0,0,0,0,0,0,0,0,0,0,0.0196809346529164,0,0,0,0,0,0,0
X000568.SZ,0.136284302527918,0.376045105199919,0,0.085158076189671,0,0,0,0,0,0,0,0,0,0.0176385220615937,0,0,0,0,0.0334273823273625,0,0,0,0,0.192902745180435,0,0,0,0,0,0,0,0,0,0,0,0,0.0217952318731943,0,0,0,0,0,0,0,0,0.0603370151512802,0,0,0,0,0,0.00273427067302779,0.0189160659586812,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.309475355938358,0,0,0,0,0,0.239415883310304,0,0,0,0,0,0,0,0,0,0,0,-0.0123105494797556,0,0.0445743901084676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0437987808341979,0,0,0,0,0,0
X600276.SH,0.112831237012645,0,0,0,0,0,0,0,0.163465059943139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30442464921755,0,0,0,0.0340335278405356,0,0,0,0.0375640955392264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0368818422529528,0,0,0,-0.0400990156830888,0,0
X002304.SZ,0,0,0,0,0.0580470602526522,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.147463417449442,0,0,0.252927976963762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331763158425223,0.103600186440388,0.00785365950263435,0,0,0,8.67361737988404e-19,0.00244507303203283,0,0,0,0,0,0
X600690.SH,0,0.132858375248827,0,0,0,0,0.232630319529095,0.0679652581220475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177868565675856,0,0,0.0144651928216639,0,0,0,0,0,0,0.10590167841885,0.0977976585180804,0.0251849145121417,0,0,0.0492357185740473,0,0,0,0.0212744829384539,0,0,0.00915071924271017,0,0,0,0,0,0,-0.0176117723178234,0,0,0,0,0,0
X600104.SH,0.0463492310694124,0,0,0,0,0,0,0.00783220863034461,0,0,0.058819961932194,0.140082088900491,0,0,0,0,0,0.151197139933586,0,0,0.089557401891418,0,0.00950387274373662,0,0,0,0,0.1007083379704,0,0,0,0,0,0,0,0,0,0,0,0.0138738940803686,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.000535654774045641,0,0,0,0,0,0
