,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002475.SZ,X600690.SH,X002304.SZ,X600276.SH,X300014.SZ,X000651.SZ,X600104.SH,X002371.SZ,X002129.SZ,X300124.SZ,X003816.SZ,X000625.SZ,X000725.SZ,X002049.SZ,X600031.SH,X000596.SZ,X000063.SZ,X600703.SH,X002241.SZ,X002179.SZ,X000338.SZ,X600089.SH,X600522.SH,X000661.SZ,X300142.SZ,X601877.SH,X002180.SZ,X000733.SZ,X002074.SZ,X600741.SH,X600460.SH,X000100.SZ,X600884.SH,X000157.SZ,X600702.SH,X002414.SZ,X600487.SH,X600584.SH,X000799.SZ,X601799.SH,X002236.SZ,X600563.SH,X600418.SH,X002056.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.354559762111496,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271077261538599,0,0,0,0,0,0,0,0,0,0,-0.0160637326547379,0,0,0.047294635847794,0,0,0,0,0,0,0,0,0,0,0,0,0.00935969154249332,0.00338747461616802,0,0,-0.0229541657290924,0,0,0,0.0383322035800161,0.0296581163358004,0,0,0,-0.0422738979816787,0,0
X000858.SZ,0,0,0,0,0,0,0,0.218324910440487,0,0,0,0,0.0707891735956008,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.00406374952070904,0,0,0,0.0336107855358288,0,0,0,0.296042251905817,0,0,0,0,0,0,0,0,0,0,0,0.00917630411829639,0,0,0,0,-0.00867994435687281,0,0
X600809.SH,0,0,0,0.285319254694286,0,0,0,0,0,0,0,0,0,0,-0.106970867986203,0,0,0,0,0,0.0115685734666925,0,0,0,0,0,-0.0883858751500024,0,0,0,0,0,0,0.0390197554151615,0,0.0375972749676736,0,0,0,0.121654148663134,0,0,0,0,-0.134032376485059,0,0,0,0,0,0,0,-0.00553336025280451,0,0,0,-0.0138701171362958,0,0
X000568.SZ,0,0.110335019131948,0.227140616103928,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128963171309386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166424674867173,0,0,0,0,0,0,0.303591876658095,0,0,0,0,0,0,0,0,0,0,0,-0.0113875161401827,0,0,0,0,-0.000227963706442869,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.105267805980332,-0.125858321488606,0,0,-0.0098466150318639,0,0,0,0,0,0,0.0358492104590235,0,0,0.118939546313325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849299202434356,0.0824476205688134,0,0.541541188663299,0,0,0,0.0790852662676221,0,0,0.035349005289308,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227020149414962,0,0.114198209455197,0,0,0,-0.096372652156341,0,0,0.244296154509936,0,0,-0.179651720288385,0,0,0,0,0,0,0,0,0.133941948687979,0,0,0,0,0.0142948438738847,0,0,0,0,0,0,0,0,0,0,-0.0910189064620064,0.029419856131681,0,0,0,0,0,0
X600690.SH,0,0,0.0722361827614829,0,0,0,0,0,0,0,0.196926737846319,0,-0.0409032473164056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332003128859477,0,0,0,-0.156613239162351,0,0,0,0,0,0.0746882926080809,0,0,0.033340741412598,-0.0964968940443679,0,0,0,0,0,0,-0.0539081696443661,0,0,0,0,0,0,0,0,0.00963111512364488,0,0
X002304.SZ,0,0.333459001001384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11397303378882,0,0,0,0,0,0,0,0.0945972442073502,-0.0300441184572507,-0.0175662493106097,0,0,0,0,0,0.0119703059765942,0,0,0,7.86470490134476e-05,0.0507873994931509,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927112087720725,0,0,0,0,0,0,0,0,0.161191522894612,0.238361081835229,0,0.0406755047898855,0,0,0,0,0.0127380475140271,0,0,0,0,0,0,0,0,0,0.0574414702595316,0,0,0,0,0,0,0,0,0,0.0310397713908357,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097637928756392,0,0,0,0,0,0,0,0,0,0,0.136388411426608,0,0.168907243947243,0.188758856690694,0,0,0.306414511572423,0,0,0,0.0643738419880601,0,0,0,0,0,0,0.0360266240891064,0,0,4.33680868994202e-19,0,0,0,-0.0100476366689273,0,0,0,0,0,0,0
