,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X000568.SZ,X600809.SH,X600031.SH,X600104.SH,X600690.SH,X000725.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X000596.SZ,X000338.SZ,X600703.SH,X002241.SZ,X000625.SZ,X000100.SZ,X002371.SZ,X002179.SZ,X600741.SH,X601877.SH,X002049.SZ,X000157.SZ,X002129.SZ,X002007.SZ,X002414.SZ,X600584.SH,X600183.SH,X002236.SZ,X000066.SZ,X300142.SZ,X000799.SZ,X601799.SH,X000800.SZ,X002074.SZ,X300003.SZ,X000547.SZ,X002008.SZ,X600779.SH,X600372.SH,X600089.SH,X000977.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.118369259204703,0,-0.0331693957078425,0,0,0,0,0.0201275215005656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271085587138836,0,0,0,0,0,0,0,0,0,0,0,0.0534093593106767,0,0,0,0,0,0.00828823537021975,0.0108319764464752,0,0,0,-0.00209318882712019,0,0
X000858.SZ,0.212406797793533,0,0,0,0,0,0.051701734851048,0.25694113296516,0.067010775561447,0,0,0,0,0,0,0.0110599541077195,0,0,0,0,0,0,0,0,0,0,0.0458418546333847,0,0,0,0,0.0164223746863621,0,0,0,0,0,0,0.0617830433670493,0,0,0,0,0,0,0.00384444731200695,0,0,0,0,0,0,0,0,0,0,-0.00251388266995219,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0336248806452164,0,0,0,0,0,0,0,0,0.15942167531058,0.0505736139382533,0,0,0,0,0,0.00728523979250802,0,0,0,0,0.0228417857386569,0,0.02769722339757,0,0,0,0,0,0,0,-0.00912654449652639,0,0,0,-0.000557861720926734,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0496764178842577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0989977517608795,0.0469965067053439,0,0,0,0,0.14217299419567,0,0,0.189355238513768,0,0,0,0,0,0,0,0,0,0,0,0,0.000805429933406043,0,0,0,0,-0.00702337033265731,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0499853216677734,0,0,0,0,0,0,0,0,0,0,0.0281487429399715,0,0,0.361159978380592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608210719037736,0,0,0,0,0,0,0,0,0,0,0,-0.022839194300431,-0.0156411121709889,0,0,0,0.000980051942337693,0,0
X000651.SZ,0,0,0,0,0,0,0,0.062522857108493,0,0,0.133655226918689,0.0568454106165558,0,-0.019575854607438,0,0,0,0,0,0,0,-0.063098016117602,0,0,0,0.0241240038599261,0,0,0,0.230275545192754,0,0,0,0,0.0405618177173961,0,0,0.0228525176088754,0,0,0,0.10041115886443,0,0,0,0,0,0,0,0,0,0.00290069107507102,0,0,0,0,-0.0201026404445543,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.245230115248194,3.46944695195361e-18,0,0,0,0.00686571723885304,0,0,0,0,0,0,0,0,-0.00088337833204517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139882407131531,0,-0.098575622708028,0,0.0204147191881894,0,0,0.136673326544563,0,0,0,0,0,0.0265667228049831,0,0,0,0,-0.00208220671073707,0,0
X000568.SZ,0,0,0,0,0,0,0.152612689050427,0,0.390887529506074,0,0,0,0,0,0,0,0,0,0.0365191331540779,0,0.00774942771170073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629278893509522,0,0,0,0,0,0,0.0669754025995379,0,0,0,0,0,0,-0.00487912808028999,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249633827305036,0,0,0,-0.0725290435000496,0,-0.0384332872284612,0,0,0,0,0,0,0,-0.0605204258130088,0,0,0,-0.131313122250693,0,0,0.0932565053530343,0,0,0.0752864676873613,0,0,0.0824872820008783,0,0,0,0,0,-0.00157947414485446,0.0684705166467555,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.125836894016947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219188918174966,0,0,0,0.121582541915144,0,0,-0.104060186377325,0,0.155792091773782,0.190051075934488,0,0,0,0,0,0.0260236604262218,0,0,0,0,0,-0.00405338938663772,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.154508361373202,0,-0.013490490110321,0,0,0,0,0,0,0,0,0.0999647241919883,0,0,0,0,0,0,0.179267712642841,0,0,0,0.26910102518979,0,0,0,0,0.0444972255901116,0,0,0,0,0,0,0,0,0,0.0524612051246263,0,0,0,0,0,0,0,0,0,-0.00481272015846081,0,0,0,0,-0.0324712261074793,0,0
X600690.SH,0,0,0,0,0,0.0516115626332184,0,0,0.326877642567745,0,0.0564518225092471,0,0,0.00966872957848686,0,0,0,0,0,0,0,0,0,0,0,0,0.148338170485694,0,-0.0213192941351274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041955243576468,0,0,0,-0.0116408138360419,0,0
X000725.SZ,0,0,0,0,0.0583814737103196,0,0,0,0,0,0.0995944756914952,0,0,0,0,0,0,0,0,0,0,0.086397494593115,-3.46944695195361e-18,0.335744738077373,0.0672069250721903,0,0,0,0.043497154623718,0,0,0,0,0.0779251107369941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326733255609631,0,0,0,0.00131113083489004,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0.0243144561400249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353686530943202,0,0,0,0,0,0,0.251382430568489,0,0,0,0,0,0.0842530519938008,0,0,0,0.0938321046722866,0,0,0,0.0593047257241959,0,0,0,0,0,-0.0123760139540393,0,0,0,0,0.00349807993284088,0,0
