,X600519.SH,X000858.SZ,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X600276.SH,X003816.SZ,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000338.SZ,X002304.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002179.SZ,X002463.SZ,X600089.SH,X002241.SZ,X000157.SZ,X600703.SH,X600584.SH,X600372.SH,X600066.SH,X000977.SZ,X600522.SH,X002236.SZ,X600741.SH,X002028.SZ,X600183.SH,X002049.SZ,X000921.SZ,X601877.SH,X002180.SZ,X600487.SH,X000661.SZ,X600418.SH,X002223.SZ,X000800.SZ,X002129.SZ,X002156.SZ,X002074.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0744484802443426,0,0,0,0.196306728507095,0,0,0,0.254164595579665,0,0,0,0,0,0,0,0,0,0.0823870595177812,0,0,0,0,0,0,0,-0.0591650085233142,0,0,0,0,0,0,0,0,0,-0.0086752073195422,0,0,-0.00636137768142075,0,-0.0709269872591165,-0.0198222400508439,0,0,0,0.0210460161681172,0,0,0,0,0,0,0,0,0.0270997587488559,0,0
X000858.SZ,0.115565785977449,0,0,0.0323856152474894,0,0.0365043792012893,0,0,0,0.369135861784551,0,0,0,0,0,0,0,0,0.180619051079086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430215735828717,0,0,0,0,0.0479591212720267,0.0243686755578596,0,0,0,-0.0261352132303767,0,0,0,0.00575242262212475,0,0
X002415.SZ,0,0,0,0,0,0,0.113766740830485,0,0,0,0,0,0,-0.0926259894426538,0,0,0,0,0,0,0,0,0.0267288555937812,0,0,0,0,0,0,0,0,0.0838203358085127,0,0,0,0,0.0857581531238905,0.0225527802090043,0,0,0,0,0,0,0,0,0.129602944814078,0,0,0,0,0,0,-0.192362766034517,0,0,0.0377387578092862,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276814420013375,0,0,0,0.454746219625069,0,0,0.115807455257759,0,0,-2.16840434497101e-19,0,0,0,0,0.0097079938100155,0,0,0,0,0,0,0,0,0,0.0354782973928826,0.041784674283189,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,-0.156182763243629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126113199560607,0.189804699665844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176910053097856,0,-0.113174374353554,0,0,0,0,0,0,0,0,0,0,0,0.00177603472501617,0,0,0,0.0816289745184888,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.0136565104398822,0.00484566948802281,0,0,-0.08858365904069,0,-0.0571686080144891,-0.0252568677711194,0,0,0.305172480186143,0,0,0,0,0,0,0,0,0,0,0.0592886012348611,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0263831885003286,0.0276590453221147,0.0446026137679379,0,0,-0.0177429439301208,0,0
X600276.SH,0,0,0,0.00445374310541383,0,0,0,0,0,0,0.165542925215307,0,0,0,0,0,0,0,0,0.0527379958539535,0.0649072110089549,0.201652682179551,0.038226491290777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030772957255864,-0.0632233111633054,0,0,0.0589361212437469,0,0
X003816.SZ,0,0,-0.0315508490965131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127828490340595,0,0,0,-0.232378686428615,0,0,0,0,0,0,0,0,0.0471365658568461,0,0,0.0973709533410991,-0.120545076574021,0,0.025130977075005,0,0,-0.0117262421791616,0,0,0,0,0,0,0,0,0,0,-0.0400622556866501,0,0,0,-0.0248577267153837,0,0
X000651.SZ,0,0,0,0,0.122703212130678,0,0,0,0,0.102322528231557,0,0,0,-0.034387889102156,0.0441890091980053,0,0,0.00860899450212641,0,0,0.0554627484502309,0,0,0,0.226315177403459,0,0.0526215497406366,0,0,0,0,0,0,0,0,0,0,0,0.0656482245250197,0,0,0,0,0,0,0,-0.0673967282173609,0,-0.0674871059060904,0,0,0.0495144498884279,-0.0308909881469188,0,0,0,0,0,0
X000568.SZ,0,0.806628852112586,0,0,0,0,0,0,0,0,0.0211777485761214,0,0,0.0183985193292881,0,0,0,0,0,0.160677094725568,0,0,0,0,0,0,0,0,0,0,0.0672517650263282,0,0,0,0,-0.00763135203136416,0,0,0,0,0,-0.101052641513573,0,0,0,0,0,0,0.161363946370142,0,0,-0.00191851931033596,-0.04082445298817,0,0,0,0,0,0
