,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X000338.SZ,X000100.SZ,X002475.SZ,X002241.SZ,X002236.SZ,X600271.SH,X600118.SH,X601877.SH,X600177.SH,X002085.SZ,X600372.SH,X002456.SZ,X000157.SZ,X300124.SZ,X002007.SZ,X600089.SH,X002294.SZ,X600699.SH,X600522.SH,X600867.SH,X300003.SZ,X002180.SZ,X000559.SZ,X002508.SZ,X002292.SZ,X000066.SZ,X600498.SH,X002074.SZ,X002426.SZ,X000623.SZ,X300136.SZ,X000550.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.103009126255762,0.230063944792587,0.00443692017706647,0,0,0,0,0,0,0,0,0.0623456570401393,0,0,0,0,0,0.144288218849181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199535638693814,0,0,0,0,0,0,0,0,0,-0.00461645993480634,0.00428207175169396,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.551905616336605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893690770046527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182888776165253,0.100940688886282,0,-0.00683610396079716,-0.00138270910646605,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0271805560675677,0,0.126568734180724,0,0,0,0,0,0.139244199776168,0,0,0,0,0,0,0.0631833030510313,0,0,0,0,0.075248940330713,0,0,0,0,0.10832084547749,0,0,0,0.111336575747378,-0.0283856428663259,0,-0.0137842516303452,0,0,0,0,0,0,-0.0275001616019354,0.0201577150646464,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.261674196086939,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160491043209348,0.10412084615725,0,0,0,0.149802860124411,0,0,0.351824001390017,0,0,0,-0.0599085322061981,0,0.0342235544663614,0,0,0,0,0,0
X000858.SZ,0.0271096768101905,0,0,0,0,0,0,0,0.126833135263019,0,0,0.0833447328840649,0,0.0368804475571143,0.341739219790489,0,0,0,0,0,0,0,0,0.101400183441156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735670913590107,0,0,0,0,0.0195851247495784,0,0,0,2.16840434497101e-19,0.00931298122362093,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0687617267220858,0,0,0,0,0,0.220946342636248,0,0,0,0,0,0,0,0,0,0.143700426542845,0,0,0,0,0,0,0,-0.0514040022350852,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448701886751198,0,0,0,0.00825959772124716,0,0,0.0355427974019082,0,0.0219294394540591,-0.0312972228354371,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.05759366535616,-0.0161100882524461,0,0,0,0,0,0.170954787110758,0.0743232742476938,-0.0629388618999543,0,0,0,0,0,-0.0192438612168445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139608405345941,0,2.16840434497101e-19,0,0,-0.0169730221951179,0,0,-0.0050172221654612,0.0209604590273405,0,0,0,0,0,0
X002304.SZ,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0664270299106461,0,0,0.386012813599034,0,0.169106800671402,0,0,0,0,0,0,0,0,0,0,0,0,0.0183513582060353,0,0.0558228767671222,0,0,0,0,0,0.0508702954018275,0,0,0,0,0,0.0728079753889326,0,0,0,0,0,0.0537291188296718,0,-0.03708920522679,0.00860423418129999,-0.00136904369014255,0,0,0,0,0,0
X000625.SZ,0,0.144457727466644,0,0.149636110676665,0.0630539732874033,0,0,0,0,0,0,0.0137593640019128,0.0607843502569596,0.0830650407358807,0,0,0,0,0,0,0,0,0,0.0234058186427238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011644574779532,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.136324204549008,0,0,0,0,0,0,0,0,0,0,0,0,0.241629834179905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00808849182527939,0,0,0.0227932029602831,0,0,0,0,0.110148792803897,-0.0719894841860942,-0.00781058326802789,0,0,0.0111455547179269,-0.00638206360603935,0,0,0,0,0,0
