,X600519.SH,X600104.SH,X000858.SZ,X002415.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X002475.SZ,X000568.SZ,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X600487.SH,X002008.SZ,X002236.SZ,X000661.SZ,X000596.SZ,X000100.SZ,X600809.SH,X002456.SZ,X002179.SZ,X000625.SZ,X600867.SH,X002007.SZ,X300142.SZ,X600566.SH,X600066.SH,X300146.SZ,X600498.SH,X000977.SZ,X000157.SZ,X002294.SZ,X002180.SZ,X600177.SH,X600089.SH,X002241.SZ,X600522.SH,X002506.SZ,X000869.SZ,X600372.SH,X000050.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.481229955443365,0,0,0,0,0,0,0.0157214590196026,0,0,0,0,0,0,0.146165938234987,0,0,0.0367135433739736,0,0,0,0,0,0,0.0623492253118765,0,0,0,0,0,0,0,0,0,0.032871388010133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00357723807560918,-0.000846993051111248,0,0,0,0,0,0
X600104.SH,0,0,0.212803759540426,0,0,0,0,0,0,0,0.195139809114845,0,0.0669138493900391,0,0.0855060742617641,0,0,0,0,0,0,0,0,0,0,0,0.043740343445405,0,0,0,0.0661364499740779,0,0,0,0,0.108401875061121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312365994652216,-0.0142893724772804,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0360567096081299,0,0,0,0,0,0,0,0,0.34215629229851,0,0,0,0,0,0,0,0.016525307389177,0.174100187591364,0,0.111643649297879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013979317629902,0,0,0,0,0,0
X002415.SZ,0,0.192261482216191,0,0,0,0.00268884060880533,0,0,0,0.0700142406988755,0,0,0,0,0,0,0,0,0,0,0,0.116978637889204,0.344864726104802,0,0.0761561869380979,0,0,0,0,0,0,0,0,0,0,0,0,0.0533181847511282,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102871875713992,0.0277548664639368,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234794870520908,0,0,0,0,0,0.0485422528901235,-3.46944695195361e-18,0,0,0,0.206508961602509,0,0,0,0,0,0,0,0,0,0,0.0622037105230256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00778004237428647,0.0220386359247907,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238977234887892,0,0.33879016206661,0,0,0,0,0,0.106789882515433,0.151721924138806,0,0,0,0,0,0,0,0.070983647824233,0,0,0,0.160953494508619,0,0,0,0.112351222345603,0,0,0,0,0,0,0,0,0,0,0,0.0100074915558316,0.021332475573051,0,0,0,0,0,0
X002304.SZ,0,0,0.442693630961463,0,0,0.0347453226750772,0,0,0,0.055320163959,0,0,0,0,0,0.351348144427507,0,0,0,0,0,0,0,0,0,0,0.104782766086991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00401879205076397,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193176623876414,0,0.164174111527705,0,0.00481918256161688,0,0.0602103227243923,0,0,0,0,0.360423376488589,0,0,0,0,0,0,0,0,0,0,0.0633206548768229,0,0,0,0,0,0,0,0.0765516089360735,0,0,0.234475447709199,0,0,0,-0.011675405045776,-1.0842021724855e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0.251196327538109,0,0,0,0.095053289781326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166242348884389,0,0,0,0,0,0,0,0.120147186287534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000872452676841748,-0.00629244417009874,0,0,0,0,0,0
X000063.SZ,0,0,0,0.154055246335828,0,0,0.0480844872414798,0,0,0,0,0,0,0,0.265615575317331,0,0,0,0,0,0,0.200470145221199,0.00483669737412211,0,0,0,0,0.0136824674750429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331063659369237,0,0,0,0,0,0,0
