,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600741.SH,X002241.SZ,X000100.SZ,X600703.SH,X600118.SH,X600066.SH,X000623.SZ,X601877.SH,X000568.SZ,X600271.SH,X000581.SZ,X000550.SZ,X002236.SZ,X600177.SH,X000800.SZ,X000869.SZ,X002294.SZ,X002475.SZ,X300124.SZ,X000559.SZ,X002129.SZ,X000050.SZ,X600839.SH,X000400.SZ,X600809.SH,X000977.SZ,X002456.SZ,X002007.SZ,X300003.SZ,X002465.SZ,X600252.SH,X002292.SZ,X000596.SZ,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0.204535803387536,0.200685541781392,0,0,0,0,0,0,0,0.355522513832281,0,0,0,0,0.121913728848979,0,0,0,-0.054723590194438,0,0.0472259514155111,0,0.0223209949787684,0,0,0,0,0,0,0,-0.0319207428466562,0,0,0,0,0,0,0,0,0,0,0,0.0110647987596724,0,-0.0160299179826395,-0.0207917841029077,-0.0235279725978426,0,0,0,0,0
X600519.SH,0,0,0,0.189074566915106,0,0.121310347144986,0.322634961041414,0,0,0,0.101702572492711,0,0,0,0.0395466390403821,0,0.0257227115624917,0,0,0,0,0,0,0,0,0,0,0,0,0.0447844416371139,0,0,0,0,0,0,0,0,-0.0312787722947308,0,0,0,0,0,0,0,0,0,0,0,0,-0.00284142947972428,2.71050543121376e-20,0,0,0,0,0,0
X000725.SZ,0.0291769772177911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422566823429386,0,0.129191595441255,0,0,0,0.0239639551964049,0,0,0,0,0.170410843802405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607651160017411,0,0,0,0,0.0290886238480262,0,0,-0.0164623512241091,-5.42101086242752e-20,0,0,0,0,0,0
X000651.SZ,0.0975527897978589,0,0.118472429036819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115776493377029,0.0452509201247905,0.152074210165928,0,0,0,0,0,0,0,0,0,0.202428843408542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0496738044215852,-0.0184541485739622,0,0,0,0,0,0
X002415.SZ,0,0,0,0.113159419594754,0,0,0,0.0295170144273097,0,0,0.0152139084760028,0,0,0,0,0,0,0,0,0.0231218278442002,0.0188678099067835,0.0288908667406769,-0.0403472265011794,0,0,0,0,0,0.19477992314918,0,0,0.153687307069568,0,0,0,0,0,0.144144501882598,0,0.032448935076804,0,0,0,0,0,0,0,0,0,0,0,-0.0164746309231469,-0.00189415969164979,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.0259056722925342,-0.0729468033557679,0,0,0,0,0,0,0,0,0.102947614497431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16676841446569,0,0,0,0,0,0,0,0.257194909652153,2.16840434497101e-19,0,-0.0124055347358755,0.0108083669194455,0,0,0,0,0,0
X000858.SZ,0,0,0,0.00694646571608975,0,0,0,0,0,0,0.0419689452670742,0,0,0,0,0,0.223906245193779,0,0.0324400652757533,0,0,0,0,0,0.0278521263066445,-0.023793851612676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705653886986045,0,0,0,0,0,0,0,0.011996417131312,-0.00993651868472002,0,0,-0.00394644386422456,0,0,0,0,0,0
X000625.SZ,0.384820038701674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107342379297572,0,0,0,0,0.0430971811356387,0.165924108070512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105586984821138,0,0,0,0,0,0,0,-0.0267495063509504,-0.0036783448082921,0,0,0,0,0,0
X600031.SH,0.0310241681314531,0,0,0,0,0,0,0,0,0,0,0,0,0.999121288119561,-0.02824808470796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0738168161308722,0,0,-0.0239310842572003,-0.00560291571790919,0,0,0,0,0,0
X000063.SZ,0.104335501880986,0,0,0,0,0,0,0,0.0349844618492936,0,0,0,0,0,0,0,0,0,0,0.112011538212054,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.106896876682291,0,0,0,0,0,0.0509361336087849,0,0,0.0255561398504565,0,0,0,0,0.0440798806621562,0,0,0,0.0341293191108366,0,0,0,0.0112825611077867,-0.00336723085948537,0,0,0,0,0,0
