,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600690.SH,X000559.SZ,X600118.SH,X600703.SH,X600031.SH,X600271.SH,X000100.SZ,X600066.SH,X600372.SH,X002475.SZ,X002241.SZ,X600741.SH,X000157.SZ,X002236.SZ,X600089.SH,X000338.SZ,X002292.SZ,X300124.SZ,X002465.SZ,X002049.SZ,X600177.SH,X002506.SZ,X002074.SZ,X000568.SZ,X300003.SZ,X002276.SZ,X600839.SH,X300001.SZ,X002129.SZ,X002294.SZ,X000977.SZ,X600582.SH,X000547.SZ,X600867.SH,X002180.SZ,X000800.SZ,X002085.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.053457501429017,0,0,0,0,0,0,0,0.00393693595657955,0.114184184735509,0,0,0.0477113376555035,0,0,0,0,0,0,0,0,0,0,0,0,0.0280935531459,0,0,0,0,0.0553459271708073,0,0,0,0.00898970264034194,0,0,0,0.045659016775613,0,0,0,0,0,0,0,0,0,-0.0317620005526002,0.0403080686544672,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.424865447361646,0.283204126950527,0,0,0.0344208217665573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00120113129128656,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727403137041429,0.161327241764311,0,0,0,0,0,0.059494910683594,0.230127661382175,0,0,0,0.00871127724029147,0,0,0,0,0.00666205890325326,0.00475414304297484,0,0,0,0,0,0,0,0,-0.0558781144721742,0,0,0.00077452147337954,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167151862837546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819891797899834,0,0.0365741015761515,0.00327995296250157,0,0,0,0,0,0,0,0,0.106751991299452,0,0,0,0.0397610800013355,0.0095670434751466,0,0,-0.0198301310254178,0.0288608531962242,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.049881017172479,0,0,0,0,0.0677426794099401,0,0,0,0,0,0,0,0,0,0,0,0.0276027015833103,0,0,0.0265262926888757,0,0,0,0,0,0,0.0377063924227173,0,0,0.0761417816674909,0,0,0,0.0455193702117919,0,0.224356317174798,0,-0.0199832306464803,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0214578227097122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196161467233586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614483070249641,0,0,0,0.0970929028337265,0,0,-0.00983022849066167,0.00890422883613766,0,0,0,0,0,0
X002304.SZ,0,0.144667606165251,0,0,0,0,0,0,0,0,0,0,0.0324689204291226,0.0178456668782035,0,0,0,0,0,0,0,0,0,0.21189048641184,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.215983098689329,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0174127336615488,0.029921116767936,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0195260488230758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226278112162064,0.00542813876630153,0,-0.0426881323033724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209308354571789,-0.00183747658744758,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0564364314355561,0.0812222008947458,0,0,0,0,0,0,0,0,0.163890447454866,0,0,0,0.0292695108882393,0,0,0.105330916344371,0.00600829891278341,0,0,0,0,0,0,0,0,0.079864126501166,0,0.0606769528342601,0,0,0,0,0.0141524593956471,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0.0591794937099189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443201064584536,0.100930177227051,0,0.162112888528135,0,0,0,0.0536367020046778,0,0,0,0.0880907863403934,0,0,0.00468997115874988,0,0,0,0,0,0.0440131158985339,0.0883471675503791,0,0,0,0,0,0.140539120804614,0,0,0,0,0,0,0,0,0,0,0
