,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X600276.SH,X600690.SH,X000063.SZ,X000100.SZ,X600703.SH,X600271.SH,X600031.SH,X600118.SH,X000338.SZ,X000157.SZ,X002241.SZ,X002292.SZ,X600089.SH,X600372.SH,X600741.SH,X600066.SH,X601877.SH,X002475.SZ,X002129.SZ,X002223.SZ,X002236.SZ,X600177.SH,X000559.SZ,X000016.SZ,X002456.SZ,X600839.SH,X000568.SZ,X300003.SZ,X300124.SZ,X002276.SZ,X002294.SZ,X600582.SH,X000800.SZ,X002465.SZ,X000066.SZ,X000869.SZ,X000550.SZ,X002008.SZ,X600435.SH,X600252.SH,X000623.SZ,X000581.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0117708121179304,0,0,0,0.0856074639789671,0,0,0,0.0299934372524829,0,0.00992026887474792,0,0,0,0,0,0,0,0.0313214075262009,0.0784349627590806,0,0,0,0,0,0,0,0.155884838281847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869102623528092,0,0,0,0,0,0
X600104.SH,0,0,0.122714159420022,0.0501318290890532,0,0,0,0,0,0.0188527080431689,0,0,0.0378427680270963,0,0,0,0.00130510653974839,0,0,0,0.17264636877109,0.0207631773865975,0,0,0,0,0,0,0,0.0402127435580225,0,0,0,0.063697944171732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125014529185088,0,0,-0.00257460845159316,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0552481735745243,0,0,0,0,0,0,0.0255396151491748,0,0,0,0,0,0,0,0,0,0,0.157341181429345,0,0,0,0,0,0,0.00428687796340774,0,-8.67361737988404e-19,0,0,0,0.204814872851054,0,0,0,0,0,0,0,0,0,0,0,0.0207931905065434,1.73472347597681e-18,0.161800282193305,0,0,-0.0153232984777619,0,0,0,0,0,0,0
X000651.SZ,0,0,0.16860145605964,0,0,0,0,0,0,0,0,0,0,0,0.0512108181942135,0,0.0831555585750393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729687402108336,0.0366484338494168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00651275375319754,-0.00124166950828185,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.159242282405389,0,0,0.245975235036205,0.00257002310551483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772804820536589,0.1724983839648,0,0,0,0,0,0.0577552131247405,0,0,0,0,0.00511241484831624,0,0,0,0,0,-0.000835827406346727,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0444138081747301,0,0.107039597743086,0,0,0,0,0,0.0983008758005434,0,0,0,0.10090011905522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447108014385996,0,0,0,0,0,0,0,0,0.000229187542471482,0,0,0,0,0,0,0,-0.0215857685046361,-0.0132720674570107,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0947940363444744,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0.0205077669517169,0,0,0,0,0,0,0,0,0,0,0,0.0571927557430775,0,0,0,0.137344378195876,0,0.102802803818948,0,0,0.0198384831995889,0,0.0340208205394954,0,0,0,0,0.0343459803911513,0,0,0,0,-0.00990770656975816,0,0,0,0,0,0,0
X000625.SZ,0,0,0.136181810165594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162878163680911,0,0,0,0,0.010631325903961,0,0,0,0,0,0,0,0.016900510352569,0,0,0,0.0529277965055532,0,0,0,0,0,0.0425355736397309,0,0,0,0.172319905449767,0,0,0,0.0220967367827481,0,0,0,2.71050543121376e-20,0.00359633671726859,0,0,0,0,0,0
X600276.SH,0,0,0.0634882464697603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726560875304132,0.0396480319374125,0,0,0,0.0906420924147361,0,0,0,0,0,0.0239499956702049,0,0.00841223088748974,0,0,0,0,0,0,0,0,0,-0.0177796689607384,0.0137578195912881,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0216154116578468,0.0982911062833554,0,0,0,0,0,0,0,0,0.0065471150089902,0.0767858996016745,0,0,0,0,0.0299158726976557,0,0,0,0,0,0,0,0,0.114238837488899,0,0,0,0.0464396049754124,0,0,0,0,0,0.0255668760086468,0,0,0,0,0,0,0,0,0.0765733833549403,0,-0.00565088301551116,0,0,0,0,0,0,0
