,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X600031.SH,X000625.SZ,X600809.SH,X601877.SH,X002008.SZ,X002456.SZ,X002508.SZ,X600066.SH,X600487.SH,X300124.SZ,X002241.SZ,X000100.SZ,X300003.SZ,X002294.SZ,X600867.SH,X300136.SZ,X600522.SH,X600271.SH,X600089.SH,X000050.SZ,X000157.SZ,X000981.SZ,X600177.SH,X000596.SZ,X600566.SH,X600707.SH,X002085.SZ,X600498.SH,X000661.SZ,X002180.SZ,X300142.SZ,X600699.SH,X002179.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.583872514735364,0.0653571880048718,0,0.0350695610553266,0,0,0,0,0,0,0,0,0,0,0,0.111908851249324,0,0,0,0,0,0,-0.0651036077524993,0,0,0,0,0,0,0,0,0,0,0,0,0.00386299969593848,0,0,0,0,0,-0.041633614409071,0,0,0,0,0,0,0.0033238324614397,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.115916786729939,-0.0462175731316874,0,0,0.0186730308254415,0,0.127953975819127,0,0,0,0,0,0,0.0284681001019963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0737813657360365,0,0,0,0,-0.00939427209634285,0.0107823235165195,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.156250418265204,0,0,0,0,0.105986132983287,0,0,0,0,0,0.144695163421673,0.271435363309089,0,0,0,0.146162663198106,0,0,0,0,0,0,0.074277420901072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231425245651345,0.00475841268897663,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.47251934865915,0,0,0,0,0.112454532841786,0,0,0,0,0,0,0.0441782556768295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013981176065298,-0.0108208493616433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070188794284885,0,0,0,0,0.0222744872677967,-0.0137794941585524,0,0,0,0,0,0
X000858.SZ,0.2078081499374,0,0,0.346353616546902,0,0,0,0,0,0,0,0.319229067117878,0,0,0,0,0,0,0,0,0.0519648604025662,0,0,0.0178666086462457,0.0149443081737191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236348363437022,0,0,0,0,0,0,0,0,0,0,0,-0.0060671499633146,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.00189984483548234,0.311589424654536,0.0821841023278502,0.155719132657156,0,0,0,0,0,0,0,0,0,0,-0.0234978261191593,0,0,0.0107127115326337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492710667259755,0,0,0,0,0,0,0,0,0,0,0,-0.0227851265148654,0.0377209980296949,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.192454085090948,0.581096983109578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0956107143951321,0,0,0,0.0530386138188066,0,0,0,0,0,0,0,0,0,0,0,-0.0747986688163272,0.105264541781396,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.260277619548017,0,0.00849570532662676,0,0,0,0.00785196441164865,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.10702085026723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213530683648231,0,0,0,0,0,0,0.17074165619914,0,0,0,0,-0.0107248649033979,0.0157780465285333,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.516513242390896,0.0616730052501001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888507396600573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741168403858581,0,0.041504278828548,0,0,0,0.0100829011159581,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.398362216630033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958149775813022,0,0,0,0.217181641677406,0,0.00410929061971571,0,0,0,0,0,0,0.392299869842528,0,0,0,0,0,0,0.123452377029678,0,0,0.257774473929627,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.272143232536922,0,0,0,0,0,0.343232378339041,0.12003752775894,-0.0148234560367333,0,0,0,0.0172999893867745,0,0,0,0,0,0,0,0,0,0,0,0,0.146674537373241,0,0,0,0,0,0,0,0,0,0,0.495976587018532,0,0.0153902014502635,0,0,0,0,0,-0.0216884631346289,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.232616211466555,0,0,0,0,0.0197859462580438,0,0,0,0,0,0,0,0,0,-0.0137708204193217,0.155975991285783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307889056110093,0,0,0,0,0,0,0,0,0,0,0,0,0.00425735400668764,0,0,0,0,0,0
