,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X000100.SZ,X002292.SZ,X600703.SH,X002241.SZ,X600741.SH,X600066.SH,X002506.SZ,X600031.SH,X600118.SH,X002236.SZ,X002475.SZ,X000559.SZ,X600372.SH,X002049.SZ,X000157.SZ,X002465.SZ,X000338.SZ,X300124.SZ,X000568.SZ,X600089.SH,X002294.SZ,X600867.SH,X002074.SZ,X601877.SH,X600177.SH,X002007.SZ,X002456.SZ,X300003.SZ,X600498.SH,X002180.SZ,X002085.SZ,X000050.SZ,X000869.SZ,X000550.SZ,X600582.SH,X002129.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.0263623634516206,0,0,0.0161527431178431,0,0,0.0798320451407394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140626502213818,0,0,0.0870479216683813,0,0,0,0.0322532716050517,0,0,0,0,0,0,0.0112173613044276,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.160477862640056,0,0,0,0,0,0,0,0.1333442563433,0,0,0,0.225321408507332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984299253412216,0.0696292023597204,0,0,0,0,0,0,0,0.0105311601344494,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.245070820448898,0.0387294800355289,0,0,0,0,0,0,0,0.0198135964578725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346718702545943,0.295657780848166,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0646192558847459,0,0,0,0,0,0,0.242521717734823,0,0,0,0,0,0.0140019890167064,0,0,0,0,0,0,0,0,0,0,0.128260891576944,0,0,0,0.0807312983679855,0,0,0,0,0.0866570811753918,0,0.0440418437555224,0,0.0300212322507113,0,0,0,0,0,0.139148611493758,0,0,-0.0120703388174609,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103552183886064,0,0,0,0,0,0.0391079554576765,0,0,0,0,0.0774716457608066,0,0.22092471601331,0,0.0706178285946475,0,0.0180604681782746,0,0,0,0,0,0,0.0941332896941282,0,0,0,-0.00795494961145851,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0289811064343468,0,0,0,0.0741982037770776,0,0,0,0,0.0708975961889562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205021804927276,0,0,0.0849543566094012,-8.67361737988404e-19,0,0,-0.00939406389429795,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.000595234836727988,0.0387456953005028,0,0,0,0,0,0,0,0,0.0476647231711855,0,0,0,0,0,0,0,0,0,0,0.04773922491567,0.0331812492415091,0,0,0.0589462188379682,0,0.00235445737608906,0,0,0,0,0,0.0184643372843882,0.0591544348112517,0,0,0.0166392426436261,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340369915859383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179393882357722,0,0,0.159753523380081,0,0.042038134680378,0.0818586331777299,0,0,0,0.0150682607102805,0,0,0,0,0,0,0,0,0,0,-0.032517728493158,0,0,0,0,0,0
X000625.SZ,0,0,0.137666422765422,0,0,0,0,0,0,0,0,0.0517770133338081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053401208261831,0.0276468767696345,0,0,0.0314896693846323,0,0.104233812316951,0.28482122610073,0,0,-0.0147389151374315,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374020437367494,0,0,0,0,0,0,0,0.232498491879424,0,0,0,0,0,0,0,0,0,0,0.177079844841817,0,0.166026444923322,0.0254580115716932,0,0,0,0.0698685455089498,0,0.00536458781043276,0,0,0,0,0,0,0,-0.00454967241582593,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,-0.0615117691515352,0,0,0,0,0,-0.00875136521443662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00266444553054517,0,0,0,0,0,0,-0.0320162598098865,-0.00693691091778024,-0.00608371707463993,-0.0306542889903759,0,0,-0.393550453336419,0
