,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X000625.SZ,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X600031.SH,X002236.SZ,X002241.SZ,X600066.SH,X000338.SZ,X000100.SZ,X002456.SZ,X601877.SH,X002508.SZ,X300124.SZ,X600271.SH,X002085.SZ,X600089.SH,X600177.SH,X600118.SH,X000157.SZ,X300136.SZ,X002007.SZ,X300003.SZ,X600522.SH,X002008.SZ,X600372.SH,X002294.SZ,X000981.SZ,X600699.SH,X600867.SH,X600487.SH,X600809.SH,X600566.SH,X000066.SZ,X002074.SZ,X300115.SZ,X002180.SZ,X000559.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.0775088608507087,0,0.115316604065433,0,0,0,0.0835593487167731,0.169300761868746,0,0,-0.079094418413403,0,0,0,0,0,0.0673094196063223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614258563155078,0.0922392248932126,0,0,0,0,0,0,0,-0.00423324622357015,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0515112806188164,0.173325360662974,0,0,0.37927263585418,0,0.25761383061389,0,0,-0.0475127630339397,0,0,0,0,0,0,0.00418763576156285,0,0,-0.202483892663362,0.0195387148904748,0,0,0,-0.0731835327109337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196402422049169,-0.00752514946720347,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.229043478325212,0,-0.0112294505492667,0,0,0,0,0,0,0,0.361928926180969,0,0,0,0,0.0217194197610839,0,0.104096279541046,0,0,0,0,0,0,0,0,0,0,0,-0.066295453216551,0,0,0,-0.0123019495804818,0.059921960020543,0,0,0,0,0,0,0,0,-0.0635844035689074,-0.00923410408638669,0.0160703861868759,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0619981763055482,0,0.0234745716385811,0,0,0,0.0998460403481407,0.13802515449304,0,0,0,0.00794184104920731,0,0.023817756575657,0,0,0,0,0.0514060723711844,0,0,0,0,0,0,0,0,0,0,0,0,-0.062839351922519,0,0,0,-0.0247946340335811,0,0.0217163028300945,0,-0.0128973569752132,0,0,0,0,0,0.0188765223467031,-0.00329455961083877,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0277782612297533,0,0,0,0,0.412754290751977,0,0.0757560248931418,0,0.0549955327782778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021262024088485,0,0,0,0,0,0,0,0,-0.000294940502888888,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0928767295257782,-0.0399756147195682,0.10372875209418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384639842324427,0,0,0,0,0,0.0168586298645602,0,0.191132149686386,0,0,0,0.157578098467229,0,0,-0.0292935083699621,0.0360862082126103,0,0,0,0,0,0
X600276.SH,0,0,0.0641142514359454,0.141077492855571,0,0,0,0.007229582817279,0,0.0213874442891364,0,0,0,0,0,0,-0.017590633557134,0,0,0,0,0,0,0.00174220829743606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031497740758338,0.0380834599920643,0,-0.0555352695092595,0,-0.102838252921034,0,0,0,0.00834577875798711,0.0112959494652259,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0625424146700807,0.178854363259234,0,0,0,0,0,0,0,0.203446160663156,0,0,0.140053258066363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141077639253229,0.16800388207546,0,0,0,0,0.194507483561301,0,0,0.00511358959472662,0.00781508945466384,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.184958175429143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188712167088162,0,0,0,0,0,0,0.138605531483274,0,-0.0307565847512269,0,0.0207397718047068,0,0,0,0.00293143768612292,-0.0123368087257677,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.0296007871401362,0.0752596102518883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421285054748099,0,0,0,0.0873793629381755,0,-0.217822807157549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115723296289696,-0.0476919887497276,0,0,-0.034912333494512,0.080052926973909,0,0,0,-0.00272028345423075,-0.00513386206679597,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587920795610242,0,0,0.10362652080803,0,0,0.204948055191399,0,0,1.73472347597681e-18,0,0.113015387177468,0,0,0,0,0,0.0184717582758894,-0.115654621070004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837069053278549,0,0,0,0,-0.00332601498777452,0.0258563925312597,0,0,0,0,0,0
