,X600519.SH,X600104.SH,X000725.SZ,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X600703.SH,X600118.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X002129.SZ,X002241.SZ,X600741.SH,X000559.SZ,X600839.SH,X600089.SH,X600066.SH,X002292.SZ,X600177.SH,X300124.SZ,X002475.SZ,X000800.SZ,X000568.SZ,X002236.SZ,X600582.SH,X002456.SZ,X000550.SZ,X000727.SZ,X601877.SH,X600435.SH,X300003.SZ,X002465.SZ,X002223.SZ,X600060.SH,X002276.SZ,X000581.SZ,X000016.SZ,X000869.SZ,X600166.SH,X002008.SZ,X600198.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.00247099731737818,0,0,0.0752562677836554,0,0,0.00681706945177509,0,0,0,0,0,0.0596009425479183,0,0,0,0,0,0,0,0.0806675214179221,0,0,0,0,0,0,0,0.214432442890051,0,0,0.0402205833115317,0,0,0,0,0,0,0,0.0184807909808122,0,0,0,0,0,0,0,0,0,0.0140997252262867,0,0,0,0,0,0
X600104.SH,0,0,0,0.0374510472123177,0,0,0,0,0.111475544673347,0,0,0,0,0.0442941871482548,0,0.0357936292982783,0.0191768441543059,0,0,0,0,0,0,0.0648610750467884,0.0999537732108602,0,0,0,0,0,0,0.0591979016625259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00414536307130816,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225649853550648,0.119089203413137,0,0,0,0,0,0,0,0,0.0480828536617441,1.73472347597681e-18,0,0,0,0,0,0.0387268335219724,0,0,0.245102178450086,0,0,0.0786155720780876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132010174044101,-0.0123468202773982,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159841934937613,0.0111816873611966,0,0,0.0557533004434691,0,0,0.137037297560892,0,0.0807726531845455,0,0.0533950750336887,0,0,0,0,0,0,0,-0.0183531330504687,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.014942310490201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147167788762312,0,0,0,0,0,0,0,0,0.0732233197158075,8.67361737988404e-19,0,0,0,0,0,0,0,0.0180080452473099,0,0.100421115098529,0,0,0,0,0,0,0,0,-0.0117490330099969,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.117424160885263,0,0,0,0,0.0383782710563551,0,0,0.00618393578782263,0,0,0,0,0,0.0799602036716626,0,0,0,0,0,0.00539147303366674,0,0,0,0,0,0,0,0.240010264037119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283064804349043,0,-0.00331404319592327,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0558664961784227,0,0,0,0,0.0530171850747099,0,0,0,0,0.0880675502509634,0,0.021035088646325,0.0388705101664238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444574310100875,0.0669863907378817,0,0,0,0.00358050964969087,0,0,0,-3.46944695195361e-18,0,0.0960635638644562,0,0,0,0,0,0,0,0,-0.0115318890750017,-0.0208167672370273,0,0,0,0,0,0
X000625.SZ,0,0,0,0.142006265665475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408148647759291,0.0142189044627678,0.00255261409610797,0.0452562819356264,0,0,0,0,0,0,0,0,0.0323715412365609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164997109320184,0.0326573412409567,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0948321884419473,0,0,0,0,0,0,0,0,0,0,0,0.024236270531694,0,0.105589163420839,0,0,0,0.119664924476591,0,0.0494268928026825,0.0981357986433636,0,0,0.196223379356766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450542491759797,0,0,0,0,0,0,0,0,-0.0104495988060912,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0317309324859742,0,0,0,0,0.0447053762273172,0,0,0.0546053868200814,0,0,0,0,0,6.93889390390723e-18,0.106894932691032,0,0,0,0,0,0,0,0,0.012119948878318,0,0,0,0,0,0,0,0.0965851473767015,0,0.0155394222565703,0.0204289395945028,0.119542547881566,0,0,0,0,0.0373376469276308,0,-0.00276895255892637,-0.0143441497342833,0,0,0,0,0,0
