,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600703.SH,X600690.SH,X002292.SZ,X600741.SH,X000100.SZ,X600066.SH,X002236.SZ,X600031.SH,X002506.SZ,X600118.SH,X002241.SZ,X000559.SZ,X002475.SZ,X000157.SZ,X600372.SH,X002074.SZ,X000568.SZ,X600177.SH,X300003.SZ,X000338.SZ,X002085.SZ,X300124.SZ,X002294.SZ,X600089.SH,X002456.SZ,X600867.SH,X600498.SH,X002465.SZ,X002426.SZ,X601877.SH,X300001.SZ,X600699.SH,X002007.SZ,X000869.SZ,X002180.SZ,X000050.SZ,X002049.SZ,X002512.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0839103153655906,0,0,0.373576100332563,0,0,0,0,0,0,-0.0125974277977061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576218909979709,-0.0549535928838804,0,0,0,0,0,0,0,0,0,0,0,0,0.00225861216860107,0,0,0,0,0,0,0
X600104.SH,0,0,0.138158272637399,0,0,0.00405013959863165,0,0,0,0,0,0,0,0.311020513191378,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117326926660381,0,0,0,0.113644531299036,0,0,0,0,0,-0.00352248931822226,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102526852388749,0,0,0,0,0.0435349992238601,0,0,0,0.225348123007849,0,0,0,0,0,0.0476669810335267,0,0,0,0,0.0870293113386346,0,0,0.0363498747282658,0,0.0208333961294381,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0560262776213072,0.0213949275150934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433868032684847,0,0,0,0,0,0,0,0,0.0166400293021596,0,0,0.0478903399250185,0.00638774720461215,0,0,0,0.0470883720513339,0,0,0,-8.67361737988404e-19,0,0.0495227540716284,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.114433392639357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131545738367606,0,0.0238301197049353,0,0,0.0415669091750654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0.167177407305954,0.126236886698869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104759199466724,0,0,0,0,0,0,0,0.0604569041247199,0,0,0,0,0.062012927643434,0,0,0,0,0,0,0,0,0.0692361944152103,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0491678793725537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357623442211544,0,0,0,0,0,0,0,0,0.0600197297111337,0,0.153508437254763,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188401846276397,0,0,0,0,0,0.0234497939363398,0,0,0,0.0324771709290684,0,0,0.0544558748512218,0,0.226390021424148,0,0,0.0327606465803675,0,0,0,0,0,0.0776341085195527,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.0361459540273531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209001055777557,0,0,0.0234383312637659,0,0,0,0,0,0.0155627724149022,0,0,0,0.081408262101685,0,0.131690204748337,0,0.010036923299061,0.11963135739185,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.066070701799223,0,0,0,0,0,0,0,0,0,0,0,0,0.246691830157797,0,0,0,0,0,0.381909525051265,0,0.000604642893871974,0.0174058840532331,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0160851836774556,0,0,0,0,0,0,0,0,0,-0.0218313771782967,0,0,0,0,0,0,0
