,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600271.SH,X600741.SH,X600066.SH,X000100.SZ,X002241.SZ,X002292.SZ,X600177.SH,X600031.SH,X002236.SZ,X600118.SH,X002475.SZ,X000568.SZ,X002506.SZ,X000559.SZ,X600372.SH,X000157.SZ,X000338.SZ,X300003.SZ,X002456.SZ,X000050.SZ,X002085.SZ,X300124.SZ,X002007.SZ,X002074.SZ,X600867.SH,X002294.SZ,X002180.SZ,X600089.SH,X002426.SZ,X000981.SZ,X000869.SZ,X002249.SZ,X600699.SH,X600498.SH,X002465.SZ,X002508.SZ,X002049.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.00521495562858703,0,0,0,0,0,0,0,0,0,0,0,-0.0341991263232051,0,0,0,0,0,0,0,0,-0.0409465952676367,0,0,-0.0217761507603304,0,0,0,0,0.327774601735157,0.0462529858647038,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0757862625495946,0,0.0230907495753892,0.138701053641976,0,-0.0651427816430653,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.163080140272044,0,0.164625992145144,0,0,0.0891267657407814,0,0,0,0,0.0382259150923891,0,0,0,0,0,-0.025241941697232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376197836398011,0,0,-0.0201938893551572,0,0,0.0946394410518557,-0.0247600018214271,-0.00442050886818611,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0519743930955765,0,0,0,0,0,0.128827467430218,0.0524604713382873,0,0,0,0,0,0,0,0,0,0,0,0,0.0605237661797431,0,0,-3.46944695195361e-18,0,0.0592807998037953,0,0,0,0,0,0,0,0.135562973409616,0,0,0,0.0517273316360272,0.0138505999155693,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.236108461459271,0,0,0,0,0,0,0,0,0,0,0,0.00855449171960904,0,0,0,0,0,0,0.00914682773047082,0,0,0,0,0,0,0.0918996294744594,0,0,0,0,0,0,0,0,0.0505103948082357,0.0794195172735644,0.00787984015203857,0,0,0,0,0,0,0,0,0.0059732724575867,0,0,0,0,0,0,0
X002304.SZ,0.220452431686364,0,0,0.223860748327242,0,0,0,0,0,0,0.131109688182748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363284945855885,0,0,0,0,0,0,0,0.111672081700371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121234447568162,0,0,0.0133125276520519,0,0,0,0,0,0,0
X600276.SH,0,0.283921060946346,0,0,0,0,0,0,0,0.14387245779413,0,0,0,0.110912231670501,0,0,0,0,0,0,0,0,0,-0.0608228443663957,0,0,0,0,0,0,0,0,0,0,0.0568369734924813,0,0,-0.0050441718565302,0,0,-0.00414896870613475,0,0,0,0.171411916301296,0,0,0.0248084057894164,0,0,-0.00949590747665642,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122589777864756,0,0.095516271059109,0,0,0,0,0,0,0.0768251349531711,0.116028323007051,0,0,0.0151584359247978,0,0,0.0419276732750663,0,0,0,0,0,0,0,0,0,0.0509786598920468,0,0,0,0,0,0,0,0,0,-0.00578016730796409,0,0,0,0,0,0,0
X000625.SZ,0.0380679080706323,0,0,0,0,0,0,0,0.156710250211109,0,0,0,0,0,0,0,0,0,0,0,0,0.174432150935752,0,0.132407195781886,0,-0.0492699979872561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050015273051532,0,0,0.00800709245708005,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0886744744314853,0,0,0,0.130799449777574,0,0.0868436199159469,0,0,0,0,0,0,0,0.14951722018024,0,0,0,0,0,0,0.148010386430403,0,0,0,0,0,0.0252334969471019,0,0,0,0.0116746042178928,0,0,0,0,0,0.00589050178656421,0,0,0,0,0,0,0.00515664774909977,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.0259730820159851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068878968462298,0,0,0,0,0,0,0,0.0487793767071988,0,0,0.150813447398428,0,0,0,0,0.413000983215885,0,0,0.0523910594339025,0,0.0236033286496417,0,0,0,0,0,0,0.00453981272818219,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743453394931334,0.160890773163853,0,0,0.090328965648971,0,0,0.0303676851311051,0.000957822140344847,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262919987245446,0,0.109253098715379,0.0789673743679419,0,0,-0.0448367683552379,0,0,0,0,0,0,-0.0140157632484809,0,0,0,0,0,0,0
