,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X000100.SZ,X600703.SH,X002292.SZ,X600741.SH,X600066.SH,X600031.SH,X002475.SZ,X600118.SH,X002236.SZ,X002506.SZ,X002241.SZ,X000559.SZ,X000157.SZ,X600372.SH,X000338.SZ,X002085.SZ,X000568.SZ,X300003.SZ,X002049.SZ,X600177.SH,X002294.SZ,X002074.SZ,X600089.SH,X300124.SZ,X600867.SH,X600582.SH,X002465.SZ,X002180.SZ,X600498.SH,X002007.SZ,X601877.SH,X002456.SZ,X000869.SZ,X000550.SZ,X000050.SZ,X002508.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0174014868850225,0.338304482425454,0,0.227559251451785,0,0,0,0,0,0,0,0,-0.028997377911877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009612877700815,0,0,0,0,0,0,0,0,0,-0.00904965289188085,-0.0194994380829735,0,0,0,0,0,0
X600104.SH,0,0,0.291891341591385,0.115901293814387,0,0,0,0,0,0,0,0.102305361766033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.112447390651476,0,0,0,0,0,-0.0200820172496562,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209756078064134,0,0.0439676001300097,0,0,0,0,0,0,0,0,0,0.216574652821534,0,0,0.0641355231955542,0,0.258137325066921,0,0.0173204747379943,0,0,0,0,0,0,0
X000651.SZ,0,0,0.0360230453468168,0,0,0,0,0,0.203163102610313,0,0,0.041561294460942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764430693981762,0,0.0789702604877723,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0469702981420242,0,0,0,0,0,0,0
X002304.SZ,0.128616115809276,0.217999917541898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899919532087373,0,0.233798295756504,0,0,0,0,0,0,0,0,0,0,0.0351559277721751,0,0,0,0,0,0,0,0,0,0,-0.00424869319226123,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108176338368751,0,0,0,0,0,0,0.0738539240647454,0,0,0,0,0,0.0277962076701917,0.153361786227678,0,0,0.0662946401758165,0,0,0,0,0,0.0063649172913959,0,0,0,0,0,0,0,0,0,0,0,0,0.00539838992379477,-0.0268697619468643,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0465976561344718,0.0250591929667972,0,0,0,0,0,0,0,0,0.0692807938567779,0,0,0,0,0,0,0,0,0,0.053673029419357,0,0,0,0.0894388276293938,0,0,0.0315691241833582,0,0.0274018670205934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.15459004495046,0,0,0,0,0,0,0,0.0182803913008354,0.04259660593657,0,0.0817200305076355,0,0,0,0,0,0,0,0.142451332951381,0,0,0.170728638082703,0.0569866832615925,0,0,0,0,0.0994091444603129,0,0,0,0,0,0,0,0.0304855665092589,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.128898837552573,0,0,0,0,0,0.115009099078519,0,0,0,0,0,0,0,0,0,0,0,0,0.178352654571686,0,0,0,0.0473670568720793,0,0,0,0,0,0,0,0,0,0,0,0.00120231540795292,0,0.0659635955505676,0,0,0,0,0,0,0.170126336085756,0,2.16840434497101e-19,0,0,0,0,0,0,0
X000063.SZ,0,0,0.0309428737231851,0,0.183735075567827,0.0866343203838835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682300848351373,0,0.100809006083879,0,0,0,0,0,0,0,0.203699186004489,0,0,0,0,0,0,0,0.111873305839248,0.00864588437963904,0.108101268932625,0,0.0690781722230162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103342318445578,0.154505670503743,0,0,0,0,0,0,0,0.0978403892519704,0,0,0,0,0,0,0,0,0,0,0,0.00669694578433313,-0.0114043175559102,0,0.057213456113602,0,0,0,0,0,0,0,0,-0.0200064827469575,-0.102972711824291,0,0,0,0,0,0
