,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002129.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002049.SZ,X002371.SZ,X000596.SZ,X000625.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X600522.SH,X300142.SZ,X000733.SZ,X002241.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X600460.SH,X000157.SZ,X600702.SH,X300003.SZ,X600884.SH,X600584.SH,X600487.SH,X000799.SZ,X002414.SZ,X002223.SZ,X601799.SH,X002294.SZ,X002236.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.134774049177689,0.139243792052237,0,0.16744375813452,0,0.0485183946546216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620873359271397,0,0,3.46944695195361e-18,0,0,0,-0.140620612061071,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0968996616802026,0,0,0,0,0,0,0,0.0220231542177084,0,0,0,0,0,0,0
X000858.SZ,0.257294849482424,0,0,0,0.337872193995929,0.0112521186310442,0,0,0,0,0,0,0,0,0,0,0,0,0.0343672941910526,0,0,0,0,0,0,0,0,0.0556626711177277,0,0,0,0,0,0,0,0,0,0,0.098989590665355,0,0,0,0,0,-0.0254155118005161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0.307994662924477,0,0,0,0.439855800760077,0,0,0,0,0,0,0,0,0.0445665643818337,0,0,0,-0.170498886852121,0,0.0257532405842231,0,0,0,0,0,-0.0516777926271869,0,0,0,0,-0.0159884273558958,0,0,0,0,0.0944306119160429,0,0,0.160871539995882,0,0,0,0,0,-0.0152768500660941,0,-0.0397799365616839,0,0,0,0,0.0178373339656875,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0935534280677938,0,0,0,0,0,-0.0409018959580383,-0.0704569016502124,0,0,0,0,0,0.0216672984642759,0,0,0,0,0,0,0,0,-0.0624194851200558,0,0,0.209055249362132,0,0,0,0,0,0,0,0,0,0,0,0.0207784392385677,0,0,0.10138353841779,0.184792651135078,0.151248592590806,0,0.259909485569245,-0.0284136812419879,0,0,0,0,0,0,0
X000568.SZ,0.272001455827185,0.0473375304572663,0.727181625016283,0,0,0,0,0,0.0905472573965795,0,0,0,0,0,0,0,0,0,0,0.0146369645389143,0,0,0,0,0,0,0,0.0465050041749681,0.0948448804958663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714204720807661,0,0,0,0,0,0
X600276.SH,0,0.103502262570154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152282012556849,0.0138123655228376,0,0,0,0,0,0,0.0614907482899095,0,0,0.10215016496279,0,0,-0.0246744113095459,0.0565667966341028,0,0.111145848534008,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0.121833630032621,0,0,0,0.258350726758941,0,0,0,0,0,0.117583084936539,0,0,0.095555156312944,0,0,0,0,0,0,0,0,0,0,0.00830447026455916,0,-0.0317110846586771,0,0,0,0,0.0151379114925824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328351151938385,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0600674601304252,0,0,0.126013571607959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340479363144344,0.444672904146185,0,0,0,0,0,0,0,0,0,0,0,0,0.097659686038971,0,-0.0418027065320392,0,0.0238228566252114,0,0,-0.0713608869352325,0,0,0,0,0,0,0
X002304.SZ,0,0.241839721099045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105155000855128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26405946688627,0,0,0,0,0,-0.0575066492968194,0.040797821415653,0.0386446482642566,0,0,0,0,0,-0.0193319255426191,0,0,0,0,0,0
X300124.SZ,0,0,-0.0498871669203115,0,0,0,0,0.0214330290455576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316330450529546,0,-0.109136311803042,0,0,0,0,0,0,0,0,0,0.302950341580204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825457178478287,-0.183092426802967,-0.0555031229659363,0,0,0,0,0,0,0
