,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600031.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X003816.SZ,X300014.SZ,X000063.SZ,X000100.SZ,X000157.SZ,X000596.SZ,X600703.SH,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X002179.SZ,X601877.SH,X002007.SZ,X002236.SZ,X300142.SZ,X002371.SZ,X002049.SZ,X002414.SZ,X600584.SH,X601799.SH,X600183.SH,X300003.SZ,X000800.SZ,X000799.SZ,X002074.SZ,X300146.SZ,X002008.SZ,X000066.SZ,X600089.SH,X600707.SH,X000977.SZ,X002294.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.154218627499385,0,0,0,0.210521693046618,0.134166080496289,0,0,0,0,0,0,0,0,0,0,0,0,0.00198343512439522,0.0381690802776304,0,0,0,0,0,0,0,0,0,0,0,-0.145297267206008,0,0,0,0,0,0,0,0.0635050682444399,0,0,0,0,0,0,0,0,0,0,0,-0.0143157179857127,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.363555139235873,0,0.15561933238926,0,0.0834444115445064,0,0,0,0,0,0,0,0,0,0,0.016884340240468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119281175089166,0.00520858356072756,0,0,0,0,0,0,0,0,0,0,-0.021962481192799,0,0,0,-0.0269344675428513,0,0
X002415.SZ,0,0,0,0,0,0.014358197165611,0.0853929218865572,0,0.0130790143577234,0.0583531969728724,0.0330286127893949,0,0,0,0,0,0,0.023925579709008,0,0,0,0,0,0,0,0,0,0,0.104737562543029,0,0.37126303880254,0,0,0,0.16403973799523,0,0,0,0,0,0,0,0,0,0,0,-0.0440556707825459,0,0,0,0,0,0.00790108979969778,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0146818515386172,0,0,0,0,0,0,0,0,0,0,0,0,-0.00993994096493749,0,0.0973854979959341,0,0,0,0,0,0.0379435756589514,0.157183300642548,0,0,0,0,0,0,0,0,0.097415941314224,0,0,0,0,0,-0.142256820229963,0,0,0,0,0,0.100072054410378,0,0,0.00662369127342399,0,0,0,0,-0.0135099750434611,0,0
X000651.SZ,0,0.0377861053242836,0,0,0,0,0,0.0639819784409576,0.13583049918531,0.0330179217505826,0,0,0,0,0,0.116163049763423,0,0,0,0,0.0245301518786557,0,0,0,0.0374805125766906,0,0,0,0,0,0,0,0,0,0,0,-0.0873650628380528,0,0,0,0,0,0,0,0,0,0.0111623687979757,0,0,0,0,0,0,0,0,0,-0.0298492944574587,0,0
X000568.SZ,0.0973088208399998,0.507301407642825,0.044050020798102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578871595300105,0,0,0,0,-0.0331477890790964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309951989923291,0,-0.00687321155248215,0,0,0,0,0,0,0,0,0,-0.0307829326271934,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.133133073345479,0,0,0.124324918881875,0,0.062078242508127,0,0,0,0,0,0,0,0.0286962311031776,0,0.0737907648024082,0,0.0536230160845835,0,0.0758544301027026,0,0,0,0,0,0,0.118882345652869,0,0,0,0,0,0,0,0.0686209139901307,0,0,0,0,0,0,0,0,0,-0.0435782422401807,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.111623833551931,0,0,0,0,0,0,0,0,0.0590350141390657,0,0.0527852750397495,0,0,0,0.0104191414816846,0,0,0,0,0,0.132536214620554,0,0,0,0,0,0,0,0,0.326137106451042,0,0,0,0.117679639732061,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0707079776666409,0,0,0,-0.038274831115915,0,0
X600690.SH,0,0.186911732138243,0.0809837623605845,0,0,0.0355338214601188,0,0.186131948302725,0,0,0,0,0,0.0749483953249013,0,0,0,0,0,0.0326111674389851,0,0,0,0,0,0,0,0.121327345130411,0,0,0,0,0,0,0,0,0,0,0,0,0.00988471052338024,0.00283245012013962,0,0,0,0,-0.010816807407825,0,0,0,0,0,0.0334501815073458,0,0,0,0,0,0
X002304.SZ,0,0.341822963550873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543290512083329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792017779999723,0,0,0,0.129540386232244,0.145522899527033,0,0,0,0,0,0,0,0,0,-0.0206440886945558,0,0,0,0,-0.0852887783883325,0,0
