,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000063.SZ,X000625.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000338.SZ,X300014.SZ,X002179.SZ,X002129.SZ,X600703.SH,X000100.SZ,X600089.SH,X002236.SZ,X600372.SH,X002049.SZ,X002241.SZ,X600741.SH,X000157.SZ,X000661.SZ,X600584.SH,X600522.SH,X601877.SH,X000977.SZ,X601799.SH,X000800.SZ,X002007.SZ,X002074.SZ,X600183.SH,X002463.SZ,X000066.SZ,X002028.SZ,X300142.SZ,X600702.SH,X002180.SZ,X002456.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.302993397390017,0,0,0,0,0,0,0.227288302281201,0,0,0,0,0,0.0715350910355343,0,0,0,0.0378823219060731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813489336731526,0.0178149158729413,0,0,0,0,0,0,0.055419800368463,0,0,0,0,0,0,0.0103671985500784,0,0,0,0,0,0,0
X000858.SZ,0.0102889094754159,0,0,0.144804538340077,0,0,0,0,0,0,0,0,0,0,-0.0240724276110194,0.14674112321055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168343414023946,0,0,0,0,0,0,0,0.128239441836537,0,0.21599502002539,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,-0.0030264063106789,0,0,0,0,0,0,0,0,0,0,0,0,0.106057474545223,0,0,0.229065827229839,0,0,0,0,0,0.0415640882015377,0,0,0,0,0,0,0,0,0,0.0628850784440544,0,0,0,0,0,0,0,0,0,0.0672739337688464,0,0.037958036312516,0,0,-0.00925702952941987,0,0,0,0,0,0,0
X000568.SZ,0.287110873999719,0,0,0,0,0.041116813514384,0,0,0,0,0,0,0,0,0,0,0.308912315604369,0.000187596741433739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151086103098607,0,0,0,0,0.0168382808396644,0,0,0,0,0,0,0
X600276.SH,0,0,-0.110016499824513,0,0,0,0,0,0,0,0,0,0,0,0,-0.0508734458297177,0,-0.201291860489015,0,0,0,0,0.131824535462304,0,0,0,-0.0979090979037564,0,0,0,0,0,0.438862746420436,0,0,0,0,0,0,0,0,0,0,0,0,0.162307891779797,0,0,0,0.0513588322613206,0,-0.041501039969444,0.00667898032904245,0,0,0,0,0,0
X600809.SH,0,0,0,0.525905111576541,0,0,0.113398315156075,0.0563845622252037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456678658299253,0,0.0659203253242248,0,0,0.0283838471537543,0,0,0,0,0,0,0,0.00100336520768642,0,0,0,0,0,0,0,0,0.101433554482097,-0.198512974168281,0,-0.0468423599523996,0,0.0145998162271015,-0.0274209220340682,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.00282896520925471,0,0,0,0.0343695037203813,0,0,0,0,0,0,0,0,0.0871700278093134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606388174624367,0.0247014107197713,0,6.93889390390723e-18,0,0,0,0.0290833143646254,0,0.220492579906708,0.142495159749,0,0.174374740226001,0,0,0,0.0797275453910026,0,-0.0617939315212967,0.0923489182963049,0,0,0,0,0,0
X600690.SH,0.0194592276378136,0,0,0,0,0.055959039992851,0,0,0,0,0,0,0,0,0,0.0770887640900484,0,0,0.153036008951867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354920733485726,0,0,0,0.0288859694990068,0,0,0,0,0,0.0132713783738997,0,0,0,0,0,0
X000651.SZ,0,0.0951653229239765,0,0,0,0,0.15631334246018,0,0,0,0,0,0,0,0,0.0415552133317209,0,0,0.164401152210533,0,0,0,0.0124287510222284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102373982276932,0,0,0,0.0235196622481785,0,0,-0.0215674172099897,0,0,0,0,0,0
X002304.SZ,0,0.154983280595892,0,0,0,0.135165127573516,0,0,0,0,0,0,0,0,0,0.20574077004846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00812120099806142,0,0,0,0,0,0,0,0,0.0968866308681069,0,0,0,0.110342507337481,0,-0.125127095228875,0,-0.00238145926825458,0,0,0,0,0,0,0,0
