,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X000651.SZ,X600809.SH,X600690.SH,X600031.SH,X002475.SZ,X002304.SZ,X000725.SZ,X600104.SH,X000661.SZ,X300014.SZ,X000338.SZ,X003816.SZ,X300124.SZ,X000063.SZ,X000100.SZ,X002241.SZ,X000596.SZ,X600703.SH,X000157.SZ,X300142.SZ,X000625.SZ,X002129.SZ,X002371.SZ,X002007.SZ,X600741.SH,X002179.SZ,X002236.SZ,X601877.SH,X002049.SZ,X600584.SH,X000799.SZ,X601799.SH,X002414.SZ,X300003.SZ,X600183.SH,X600779.SH,X000800.SZ,X300146.SZ,X002008.SZ,X002074.SZ,X600089.SH,X600460.SH,X000977.SZ,X600707.SH,X600702.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.188583962410926,0,0,0,0,0,0,0,0,0.0228357092412828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223514129023106,0,0,0,0,0,0,0,0,0,0,0,0,-0.00411027602044068,0,0,0,-0.0353885028277343,0,0,0,-0.00611188400058654,0,0
X000858.SZ,0,0,0,0,0.352001592323641,0,0.0509287889602272,0.0445042983322022,0,0,0.117248238667553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715629419946559,0.0265324113280107,0,0,0,0.180553640342612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124221607693114,0,0,0,0,-0.00258749471558539,0,0
X002415.SZ,0,0,0,0,0.144012643606794,0,0,0,0,0.174905089957014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148651313313445,0,0,0.291751065284734,0,0,0,-8.67361737988404e-19,0,0.115006076576295,0.0731336443705709,0,0,0,0,0,0,0,0,0,0,0,0,0.0223781459329921,0,0,0,0,-0.0177893413574942,0,0
X600276.SH,0,0,0,0,0.0408286311845915,0,0.0472495414066805,0,0,0.0320566025694386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622357434205726,0,0,0,0,0,0,0.223452323085539,0,0,0,0,0,0.0319912798228681,0,0,0,0,0,-0.153521378606421,0,0,0,-0.0257731194416135,0,0,0,0,0,0,0,0,0,0.00549671787300151,0,0
X000568.SZ,0,0.638404961024212,0,0,0,0,0.0256780110664782,0,0,0,0,0,0,0.0177980361824376,0.0411221448721446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25783334790848,0,0,0,0,0,0,0.0146485799070293,0,0,0,0,0.124771376688249,0,0,0,0,0,0,0,-0.0101865400296072,0,0,0,-0.0116528188231313,0,0,0,-1.0842021724855e-19,0,0
X000651.SZ,0,0,0,0,0,0,8.67361737988404e-19,0.0757998349097167,0,0,0.0242110532553832,0,0,0,0,0,0,0.0860381832117761,0,0.0759863148496261,0,0,0,0.0634040272482295,0,0,0.00828554439740367,0,0,0.119153760706707,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.00805234014452102,-0.0298039097871224,0,0,0,0,0,-0.00569222536197417,0,0
X600809.SH,0,0,0,0,0.0318365973693097,0,0,0,0,0,0,0,0,0,0.119234314011079,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.104157918562324,0,0,0,0,0,0.020716458643864,0,0.412427261480702,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083726010094501,0,0,0,-0.0620027162487216,0,0
X600690.SH,0,0.100695328023489,0.0373790493080423,0,0,0.126759300316418,0.143024545687252,0,0,0,0,0,0,0.19915398841671,0,0,0,0,0,0,0,0,0,0,0,0,-0.0288844021379067,0,0,0,0.163256722760435,0,0.0946833088498585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0044056081529277,0,0,0,0.0174620326901829,0,0,0,-0.00714006713292886,0,0
X600031.SH,0,0,0,0,0,0,0.0647048957987633,0,0,0,0,0,0,0,0,0,0,0.34932809105962,0,0,0,0,0.053685483748404,0.0315200056069849,0,0,0,0,0,0,0.125401724660791,0,0,0.219294290729615,0,0,0,0.0590871029919604,0,0,0,0,0,0,0,0,0,0,0.000363493934912276,0,0,0,-0.0174067191002251,0,0,0,0.0086928384614121,0,0
X002475.SZ,0,0,0,0,0.0268426151383298,0,0,0,0,0,0,0,0,0,0.103157356136106,0,0,0.0987291597868417,0.0329058001249942,0.0265830885456686,0.368151465597645,0,0,0.0848918686235074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194087584778703,0,0,0,0,0,0
