,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600271.SH,X600690.SH,X002292.SZ,X600703.SH,X600741.SH,X000100.SZ,X600031.SH,X600066.SH,X002241.SZ,X002506.SZ,X600118.SH,X002236.SZ,X000559.SZ,X600177.SH,X000157.SZ,X002475.SZ,X600372.SH,X000338.SZ,X000568.SZ,X002074.SZ,X300003.SZ,X002085.SZ,X300124.SZ,X002294.SZ,X600089.SH,X002426.SZ,X600867.SH,X002456.SZ,X002465.SZ,X601877.SH,X600498.SH,X002512.SZ,X002007.SZ,X000977.SZ,X000869.SZ,X600699.SH,X000050.SZ,X002180.SZ,X002049.SZ,X300001.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.19530679995118,0,0.139103066124975,0.372884086816375,0,0,0,0,0,0,-0.0345364373630026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0555339549042101,0,0,0,0,-0.0688712505333652,0,0,-0.109713202466005,0,0.00320404089763268,0,0,0,0,0,0,0,0,0,0,-0.00236809693449906,0.0370127726507566,0.00093337713444194,0,0,0,0,0
X600104.SH,0,0,0.169567752263207,0,0,0,0,0,0,0,0,0,-0.016078045697111,0,0.334178088243767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00788460868569099,0,0.00917638733040118,0,-0.0129660806332858,0,0,0,0,0,0,0
X002415.SZ,0,0.0523114207509422,0,0,0,0,0,0.066877913877842,0,0,0,0,0,0,0,0,0,0,0,0.0780273603332476,0,0,0.0183663754089715,0,0,0,0,0,0,0.11396315870527,0,0,0,0,0,0,0,0.200429912548275,0,0,0,0,0,0,0,0,0.0935522120963522,0,0,0,0,0.0210100094539148,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0411151703250512,0,0,0,0,0,0,0,0,0,0.0105573494869167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00516566598873452,0,0.0152444575907108,0,0,0,0,0,0,0.0107519164787367,0,0,0.0145702584910697,0,0.0521457143621567,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.119024381428535,0,0,0,0,0,0,0.0830851996768007,0,0,0,0,0,3.46944695195361e-18,0,0,0.0149136049118047,0,0,0,0,0,0,0.283619578928626,0,0,-0.0179124906092448,0,0,0,0,0,0,0,0,0,0,0,0.040409439646118,0,0,0,0,0,0,0,0.0067331215275704,0,0,0,0,0,0,0
X002304.SZ,0.248676899685057,0.0424181958458383,0,0,0.103885467154437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114819235290844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303635971848017,0,0.0362119133393813,0,0,0,0,0.149581282468079,0,0,0,0.0445903593033147,0,0,-0.00906328105791919,0,0,0,0,0,0,0
X600276.SH,0.0546744038020598,0,0,0,0,0,0,0,0,0,0,0,0.042082426336661,0,0.187900571046071,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0468384884547165,0,0,0,0,0,0,0,0.000236327886863646,0,0.00562963405658003,0.0214173417208518,0,0.0192818890662357,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0203009732582819,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379564568797543,0,0,0.167587716260942,0,0,0.161538459704401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887360348009822,0,0,0.0960117046535647,0,0,0,0,0,0.0113189738616936,0,0,0,0,0.0143508150068237,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.104995026812048,0,0,0,0,0.0791474915393406,0,0.0409605574667528,0,0,0.0309371298792448,0,0,0,0,0,0.0456506873342655,0,0,0,0,0,0,0,0,0,0,0,0,0.0191930610884692,0,0,0,0.0530517234224038,0.0172758140781364,0,0,0.135994195695766,0,0,0.0399304090385105,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0138265573859173,0,0,0,0,0,0,0,0.00937117251377001,0,0,0.0579521350290321,0,0,0.0888548575619181,0.342163297657253,0,0,0,0,0,0,0,0,0,0,0.229015258023705,0,0,0,0,0,0,0,0,0,0,0,0,0.0230921103306578,0,0,0,-0.0268841130902904,0,0,0,0,0,0,0
