,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X000063.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000625.SZ,X300014.SZ,X000338.SZ,X002129.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600741.SH,X000661.SZ,X600584.SH,X000157.SZ,X601877.SH,X002241.SZ,X600522.SH,X600702.SH,X000733.SZ,X002074.SZ,X002180.SZ,X300142.SZ,X002463.SZ,X002007.SZ,X000800.SZ,X601799.SH,X002028.SZ,X600460.SH,X000066.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.387118165847963,0.0257928700318099,0,0,0.0329598610616881,0,0,0,0.0340379212920207,0.0227369025360185,-0.0376839506403897,0,0,0,0,0,0,0,0.0555852750526371,0,0,0,-0.00255837326208567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880231114274269,0,0,0,0,-0.0306650299235049,0,0,0,0,0,0,0,0,-0.00779747954068555,0,0,0,0,0,0,0
X000858.SZ,0,0,0.717681913714172,0,0,0,0,0,0.0529229430110662,0,0,0,0,0,0,0,0,0,0.0128862492289377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504931357547155,0,0,0,0,0,0.0503044537798468,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0.286060618591619,0.405031887708519,0,0,0,0,0,0,0,0,-0.0596418696424888,-0.0324969123645867,0,0,0,0.177691323605251,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241472000704228,0.00408416170741278,0,0,0,0,0,0,0,0.194926124920725,0,0,0,0,0,0,0,-0.0344866972198112,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.296934290342623,0,0.0134207342364995,0,0,0,0,0,0,0,0,0,0,0,-0.00422528054179724,0,0,0,0,0.148554297038075,0,0,0,0,0.333824656380514,0,0,0,0,0,0,0,-0.306889343672784,0,0,0,0.285936810282096,0,-0.112700330689615,0,0,0,0,0,0,0,0,0.00410225023392864,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.141968867435639,0,0,-0.0322364829446296,0,0,0,0,0,0.215727659137898,0.0366993859408471,0,0,0,0,0,0,0,0,0,0,0.0200511074395935,0,-1.35525271560688e-20,0,0,0,0,0,0.215812902766237,0,0,-0.0506858619354481,0,0,0,0,0,0,0,0,0,0,0.100556309517032,0.106783952590741,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.160897633463696,0,0,0,0,-0.0398489866187125,0,0,0,0,0,0,-0.322958585972537,0,0,0,0,-0.0970766710959505,0,0,0.215118528479659,0,0,0,0,0.05167048871594,0,0,0,0,0,-0.0592836633765824,0,0,0,0,0,0,0,0,-0.0528380111076031,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.0960295437695244,0,0.140276022806689,0,0,0,0.0267911743253467,0,0,0.152106343739234,0,0.00903920568208727,0,0,0,0,0.0623790647251214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.112704374724106,0,0,0,0,0,0,0,0.101039531701347,0,0,0,0,0,0,0.0110673763215895,0.0331063104547835,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11159033640362,0,-0.000804090987457524,0,0,0,0,0,-0.0123608749979887,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X002304.SZ,0,0.363283313411083,0.207129937077325,0,0.015132764559676,0,0,0,0,0,0,0,0,0,0,0.0374446358822947,0,0,0.0670284249682346,0.00382884933638853,0,0,0,0,0,0,0,0,0.0142803232285813,0.0182134186777224,0,0,0,0,0,0,0,0.00684327077174758,0,0,0,0,0,0,0,0,0,0,-0.00416032108997389,0,0,-0.00338766045316503,0,0,0,0,0,0,0
X000651.SZ,0.185532265558263,0,0,0,0,0,0,0.327853082167733,0,0,0,0,0,0,0,0,0,0,0.0575595539978591,0,0,0.0544125364874446,0,-0.00275707336003408,0,0,0,0,-0.0479280029998197,-0.0378471410443422,0,0,0,0,0,0,0,0,0.0191200911608616,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.0071229215722143,0,0,0,0,0,0,0,0,0
