,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X300124.SZ,X002371.SZ,X003816.SZ,X600104.SH,X000063.SZ,X000725.SZ,X000596.SZ,X300014.SZ,X002129.SZ,X600031.SH,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X002236.SZ,X000661.SZ,X600372.SH,X000100.SZ,X002241.SZ,X000977.SZ,X601877.SH,X002180.SZ,X600741.SH,X600702.SH,X600584.SH,X000157.SZ,X600522.SH,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X300003.SZ,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002463.SZ,X002028.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.144592974712905,0,0,0,0.00719810720063141,0,0,0,0,0,0.037279359478719,0,0,-0.0390768764161849,0,0,0.0394121006050932,0,0,0.00893233060314411,0,0,0,0,0,-0.01815066946793,0,0,0,0,6.7762635780344e-21,0,0,0,0.141491129357748,0,0,0,0,0,0,0,0,0,0,0.0105319609116979,0,0,0,0,-0.0154762221250819,0.00761734743723429,0,0,0,0,0,0
X000858.SZ,0,0,0,0.181660425047973,0,0.0832832177216058,0,0,0,0,0,0,0,0,0,0,0.0622942362891498,0,0,0.0692435267217021,0,0,0,0,0,0.0149349687822959,0,0,0,0,0,-0.00660230549124674,0,0,0,0.0819422514539001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375132739801242,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858352468721038,0,0,0,0,0,0,0,0,0.191038583159736,0,0,0,0,0,0,0.214662287324171,0,0,0,0,0.0258008547749181,0,0,0.0782711674491527,2.16840434497101e-19,0,0.137187714974282,0,0,0,0,0,0,0,-0.0383091617774552,0,0,0,0,0,0
X000568.SZ,0,0.441677487505003,0,0,0,0.0157297468535963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377770275102634,0,0,0,0,-0.00612915216835486,0,0,0,0.166041015034375,0,0,-0.037648771513629,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0656698727163099,0,0,0,0,0,0
X600276.SH,0,0,0.147530584709988,0,0,0.0607050212454731,0.0141741428396654,0,0,0,0,0.0669283548193263,0,0,0,0,0,0,0,0,0.0434219877517579,0,0,0,0,0,0,0,0,0,0,-0.0271983236789057,0,0,0,0,0,0,0,0.0200217256069912,0,0,0,0.247317150969778,0.225061099652154,0,0,0,0,0,0,0.00254368969022994,-0.0268632162404783,0,0,0,0,0,0
X600809.SH,0,0,-0.0886884690002359,0,0.152833619957431,0,-0.135274084204695,0,0,0.199299206166428,0,0.0397965557421256,0,0,0,0,0,0,-0.0496199090647598,0,-0.0915196694335876,0,0.166759726587203,0,0,0,0.00778342175317572,0.0599922957745529,0,0,0,0,0,-0.085564467462283,0,0,0,0,0,0.0765492182207614,0,0,0,0,0,-0.00500708918894369,0,0,0,0.209684852475068,0.156487038433886,-0.0918767271501277,0.0216899227150766,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.167802668741971,0,0,0,0,0.0142333199615971,0,0,0,0,-0.163154567357485,0,0,0,0,0,0.042079141563375,0,0,0,0,0,0,0,0.00418533595465636,0,0,0.0466086910475458,0,0,0.057369494873902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00873433624559203,-1.0842021724855e-19,-0.0144619547414662,0,0,0,0,0,0
X002304.SZ,0,0,-0.0427815077004232,0,0,0.107266089983225,0.096413356829224,0,0,0,0,0,0,0,-0.0440902973005491,0,0,0,0,0,0,-0.103756657545153,0,0,0,0,-0.0176268547300092,0.0300499956242156,0,0,0,-0.0143361139326082,0,0,0,0.0881876573026957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225493606562014,-0.00691441609519914,-0.0265479995747498,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204712254522138,0,0,0,0.0670625059224962,0,0,0,0.123388456489093,0,0,0,0.117428444887359,0.0686142267611229,0,0,0,0,0.00594878934318684,0,0,0,0,0,0,0,0,0,-0.2035912238939,0,0,0,0,0,0.014090090826673,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433509651220353,0,0,0,0,0,0,0,0,0,0
