,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X000625.SZ,X000063.SZ,X600031.SH,X000596.SZ,X000100.SZ,X600089.SH,X300014.SZ,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002241.SZ,X600372.SH,X600741.SH,X002129.SZ,X000661.SZ,X000977.SZ,X002049.SZ,X002463.SZ,X600584.SH,X600522.SH,X601877.SH,X002028.SZ,X601799.SH,X000800.SZ,X600066.SH,X600183.SH,X000921.SZ,X002223.SZ,X002007.SZ,X002074.SZ,X600177.SH,X002156.SZ,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.267889067620002,0.0167172464544873,0.186031689247401,0,0,0,0.0511615738857804,0,0,0,0,0,0,0.00792331668744264,0,0,0,0,0,0.0588328524367888,0,0,0,0,0,0,0,0,0,-0.0225379413082875,0,0,0,0,0,0,0.133520298417655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0311735698163817,0,0,0,0,0.532200590875548,0,0,0,0,-0.104565313958382,0,0,0,0,0,0,0,0,0.0146968474688167,0,0,0.109119463367757,0,0,0,0.0407019418328949,0,0,0,0.0221354434155462,0,0.0213610079959002,0,0.00194685496836316,0,0,0,0,0,0,-0.0990818825128518,-0.00343046446482323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.162231392020074,0,0,0,0,0,0.0585198586899043,0.0895048160853361,0,0,0,-5.42101086242752e-20,0,0,0.0464851578798096,0,0,0,0.114866196123976,0,0,0,0.101463196558122,0,0,0,0,0.0355251908906964,0.0523015665635548,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.00845670848306632,4.33680868994202e-19,0,0,0,0,0,0
X600809.SH,0.183398956447146,0,0,0,0,0.442159059678774,0,0,0,0,0,0,0,0,0,0,-0.0749089140647602,0,0,0.336787293175944,0,0,0,0,0,0,0,-0.0177963469261562,0,0,0,0,0,0,0,0,0,0,0,0.0436618275354147,0,0,0,0,0,0,0,0,-0.0420005341134092,1.73472347597681e-18,0,-0.00632775182380739,0.00332977852876901,0.0409448739263893,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042303500710804,0,0.174613357487665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614137610859407,0.155039340083196,0.00264586360514084,0,0,0,0,0,0,0,0,0,0.075238597880885,0,0,0,0,0,0,0.0452724608300062,0,0,0.00252177578389457,0,0,0,0,0,0
X000568.SZ,0,0.617146784692948,0,0.322904029208291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1025621184296,0,0,-0.0762823508753626,0,0,0,0,0,0,0.0387393715222908,0,0,0,0,0.0361591612084619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114746478502077,-4.33680868994202e-19,0,0,0,0,0,0
X600690.SH,0.0387287266841246,0,0,0.0529020364721121,0,0.165813989978628,0,0.0569352877024783,0,0,0,0,0,0,0.262251175282776,0,-0.0820998908780881,0,0,0,0,0,0.0716182048533453,0,0,0,0,0,0,0,0.0215506286627881,0,0,0,-0.0369153096199041,0,0,0,0,0,0,0,-0.0900724852106264,0.0764279955370439,0,0,0,0,0,0,0.0160048778860985,-0.0126084910921443,0.0106602776722135,-0.0720555866773671,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597108641768281,0,0,0,0,0.0771593449188718,0,0,0,0,0,0,0,0,0,0.10495678830483,0,0,0,0,-0.10350867519916,0,0,0,0,0,0,0,0,0.116688765202645,0,0,0,0,0,0.0214148763103258,0,0,-0.0103277105487472,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0.12159394388457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243285837024051,0,-0.177258670673546,0,0.306919060517809,0,-0.197463124198558,0,0,0,0,0,0,0,0,-0.00015288125308719,0,0,0,0.0943289869386269,0,0.139323232194289,0,0,-0.0591271521967726,0,0,-0.0276608971108634,0,0.0163406853339965,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.134846557739158,0,0,0,0,0,0,0,0,0,0,0.0701403448793592,0,0,0,0,0,0,0,0,0,0,0.558482957008758,0,0,0,0,-0.139933965681869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079740323053658,0.038164117877325,-0.156226359594814,0,0,0,0,0
