,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X000651.SZ,X002475.SZ,X000063.SZ,X002371.SZ,X600104.SH,X300124.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X000977.SZ,X002049.SZ,X000100.SZ,X002236.SZ,X600372.SH,X002241.SZ,X600584.SH,X600741.SH,X000157.SZ,X601877.SH,X000661.SZ,X600522.SH,X002180.SZ,X600702.SH,X000066.SZ,X002074.SZ,X002463.SZ,X300003.SZ,X600460.SH,X000733.SZ,X300142.SZ,X002007.SZ,X300146.SZ,X002156.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.243268567977771,0,0,0.0418990257295253,0.0197248594564522,0,0,0,0,0,0.0539023446170691,0,0,0,0,0.0449878170358667,0,0,0,0.0212760135061522,0,0,0,-0.0725083170618831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101299503901422,0,0,0,0,0,0
X000858.SZ,0,0,0.207169243952534,0,0,0.0689282299689625,0,0,0,0,0,0,0,0,0,0,0.086738294165394,0.0824636558858267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128448515796598,0,0,0,0,0,0,0,0,-0.052106094860435,0,0,0,0,0,0
X000568.SZ,0,0.1645274757908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171786050151857,-0.0702074640573969,0,0,0.0887079636978706,0,0,0,0,0,0,0,-0.00872525376998075,0,0.070571503271115,0,0,0,0,-0.0801741633093285,0,0,0,0,0,0,0,0,-0.0178620447702737,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.00370349660842387,0,-0.071237323581209,0,0,0,0,0,0,0,0,0.235133179797395,0,0,0,0.169221746865538,-0.00431017054306873,0,0,0.252479945694184,0,0,0,0,0,0,0,0,0,0,0.0600060319620058,0,-0.15457976342481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0967309177470417,0,0,0,0,0,-0.0436917800698976,0.0226822699348497,0,0,0,0,0,0,0,0,0,0,0,0,0.0469494598226805,0,0,0.101470235987762,0,0.089484862443586,0,0,0,0,0,0,0,0.0194705680570054,0,0,0,0,-0.283342767776142,0,0,0,0,0,0,0,0,0,0.0151679351378965,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.244716599206569,0.115176908549061,0,0,0,0,0,0,0,0,0,0,-0.225015386980914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115831308426368,-0.0341513398943096,0.098434706241072,-1.35525271560688e-20,-5.42101086242752e-20,0,0,0,0,0,-0.33502145192259,0,0,0,0.127223020799495,-0.0360354124337171,0.0412893286115253,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.110941739876893,0,0,0,0.126823763035957,0,0,0,0,0.00178837941012888,0.301711038148763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00830591070099321,0,0,-0.117377472981345,0.03553311856946,-0.0201287826419941,0,0,0,0,0,0,-0.0614504261248775,0,-6.93889390390723e-18,0.0526628622056818,0,0,0,0,0,0,0
X002304.SZ,0,0.284063480755265,0.10188267188978,0,0,0.00195547226417952,0.0454809880249562,0,0.0811941432645693,0,-0.0261347175294447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114851029422294,0,0,0.042470984769865,0,0,0,0,0,0,0.156624731506655,0,0,0.0271481095076178,0,0,0,0,0,0,0,0,0,0,-0.0124824998706639,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185562431839074,0,0,0,0,0,0,0,0,0,0,0,0,0.0354493017284404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194790335965947,0,0,0,0,0,0.0363510769729067,0,0,0.107661984225665,0,0.323885208649691,0,0,0,0,0,0,0,0,0,0,0.0406335261303244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
