,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600741.SH,X600703.SH,X000063.SZ,X002475.SZ,X000338.SZ,X600031.SH,X002236.SZ,X300003.SZ,X002008.SZ,X300124.SZ,X600809.SH,X600867.SH,X601877.SH,X002456.SZ,X600066.SH,X600271.SH,X000625.SZ,X000596.SZ,X600487.SH,X002294.SZ,X000100.SZ,X600566.SH,X000661.SZ,X002508.SZ,X002241.SZ,X300142.SZ,X000981.SZ,X000157.SZ,X002038.SZ,X002179.SZ,X002007.SZ,X002180.SZ,X000050.SZ,X600177.SH,X300136.SZ,X000869.SZ,X002049.SZ,X600522.SH,X600498.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.268426857500873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085460251350464,0,0,0,0,0,0,0,0.0771399515905474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443207770889536,0.0339304438204332,0,0.0204315360058619,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0.00631278024696577,0,0,0,0,0,0,0,0.488701056352402,0,0,0,0,0.0459693586244992,0,0,0,0,0,0,0,0,0,0.0474870719274373,0,0,0,0,0,0.058485162566931,0,0,0,0,0,0,0,0,0,-0.00835525974478521,0,0,0,0,-0.149195658226802,0,0,0,0,0,-0.0088848361325147,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.00292706130088266,0.162865942078251,0,0,0,0,0,0,0,0,0,0.185736642627788,0,0,0,0,0,0,0,0,0,0,0,0.0943620724350583,0,0,0.192312323384176,0,0.161825306517645,0.0538621710249461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010027173777343,-0.0277116834558787,0,0,0,0,0,0
X000858.SZ,0.252255180714906,0,0,0,0,0.208572014651919,0,0,0.0190965386212159,0.1356798810137,0,0,0,0,0,0,0,0,0,0,0.210271743929923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060251940442599,0,0,0,0,0,0.0013489544832515,0,0,0,0,0,0,0,0,0,0.000313937349591917,-0.016361860160723,0,0,0,0,0,0
X600276.SH,0,0,0,0.00622303980444255,0,0,0,0,0,0.167319896688407,0,0,0,0,0,0,0,0.333686206845466,0,0,0.0798336928080686,0,0,0,0,-0.0761714436091169,0,-0.0596470187899066,0,0.135475030917751,0,0.126628584783603,0.167013141696949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399087408658955,0.00605764624806589,0,0,0,0,0,0
X000651.SZ,0,0,0,0.266112813889966,0,0,0,0,0.562792458910457,0,0,0,0,0.0546065077057212,0,0,0,0,0,0,0,-0.0386249909000874,0,0,0,0,0,0,0.0471458634625546,0,0,0,0,0.0181239997368532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084193697109815,0,0.00746265996550065,0.0236191202220201,0,0,0,0,0,0
X002304.SZ,0,0,0.158344432580109,0,0,0,0,0,0.207566545276399,0.0494846217850473,0.0358573929064205,0,0,0,0,0,0,0,0,0.034710024484853,0.189644857745348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152591974506057,0,0,0,0,0,0,0,0,0,0.0208234850224418,-0.010063490939456,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.0127179283338242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281545811205241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0928157001230137,0.20144735692687,0,0.0221378000273575,0,0,0.157455966494455,0,0,0,-0.00348417199826796,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.396960960875723,0,0,0.114821321973855,0,0,0,0.068221087722509,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0588753182282881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0076651861207721,-0.00863055761240037,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.244954305822338,0.0457153953958498,0.156807864284311,0,0.223506145992431,0,0,0,0,0.0704821227311432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770505887903369,0,0,0.0152353241569007,-0.0049502569927934,0,0,0,0,0,0
