,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X002475.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X002236.SZ,X000100.SZ,X300003.SZ,X300124.SZ,X002008.SZ,X600809.SH,X600487.SH,X000625.SZ,X000596.SZ,X000661.SZ,X600498.SH,X002456.SZ,X600776.SH,X002007.SZ,X600066.SH,X002179.SZ,X000157.SZ,X300142.SZ,X000050.SZ,X600522.SH,X300146.SZ,X600177.SH,X600089.SH,X300136.SZ,X600867.SH,X600372.SH,X002241.SZ,X600566.SH,X000977.SZ,X002180.SZ,X600118.SH,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0363914942964536,0.139366976819843,0,0,0,0,0,0,0,0,0,0.162212820381088,0,0,0,0,0,0,0.0375267488980575,0,0,0,0,0,0,0,0.0588466932827232,0,0,0,0,0,0,0,0,0,0.0462959989982863,0,0,0,0,0,0,0,0,0,0,0,0,-0.00952041873808433,0.0074123975975129,0,0,0,0,0,0
X600104.SH,0,0,0.0304193137925734,0,0,0,0.00366166690791766,0,0,0.114234390438509,0,0,0.0455157582848903,0,0.270660548849561,0,0,0.0223089418444442,0.107591588518786,0,0,0,0,0.0510291491642154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.167532484902933,0,0,0,0.0362189395003053,0,0,0.0115850503314462,0,0,0.0829879546236757,0,0.381019189690839,0,0,0,0,0,0,0,0,0,0,0.0194552339600831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264687338369554,0.0663139504724951,0,0,0,0.0378270272448396,0,0
X000858.SZ,0,0,0.0496271609954469,0,0,0.0230414405220701,0.0934112942089025,0,0,0,0,0,0,0.315826545351861,0,0,0,0,0.0670809973036432,0,0,0,0,0.0525431837150235,0,0,0.0489480722578447,0,0,0,0,0,0,0,0,0,0.00811601343141817,0,0,0,0,0.0117032012283998,0,0,0,0,0,0,0.0431603175272529,0,0,-0.00930245892031866,0,0,0,0,-0.0110171283216571,0,0
X000651.SZ,0,0.170552494259205,0,0.0287877288255733,0,0,0,0,0,0.179020630200124,0,0,0,0.0661256054430778,0.0303899201938885,0.0183692830332281,0,0,0.0248491015161724,0,0,0,0,0,0,0.103665141696487,0,0,0,0,0.0149943791639795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00434659774391817,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378441453024061,0,0,0.346918569027091,0,0,-1.38777878078145e-17,0.086487087226809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052962554422264,0,0,0,0,0,0.000782441962408755,0.0457505990918493,0,0,0,0,0,0
X002304.SZ,0,0.134077168550771,0,1.73472347597681e-18,0,0,0,0,0,0.0469756210800871,0,0,0,0.18092264398242,0.0226509005457448,0,0,0,0,0,0.0918700164462699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222868480629918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303001307597761,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350449452765838,0,0,0,0,0,0,0,0,0,0,0,0.000174305440822158,0,0,0,0,0.212556617463455,0,0,0,0,0,0,0,0,0.0997077800399443,0,0,0,0,0,0,0.0243611210851087,0,0,0,-0.00521049888643029,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0228082718107603,0,0,0,0,0.00780191690961552,0,0.0774910182536681,0,0,0,0,0,0,0.193940441006154,0,0,0,0.181171607597392,0.0325245428246337,0,0,0,0,0,0,0,0.163242011895852,0,0,0,0.0453925149725073,0,0,0,0,0,0,0,0,0,0.00446089722618255,0,0,0,0,0.127928176570546,0,0
X600690.SH,0,0.215573103436967,0,0,0,0,0.232365371599524,0,0,0,0,0,0,0,0,0,0,0,0.0316854014636669,0,0.044756409862581,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412836724312059,0,0,0,0,0.0114466996967391,0,0,0,0,0.151721825352589,0,0,0,0,-0.000994928813866185,-0.00782872363246928,0,0,0,0.0208576901582386,0,0
