,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X600118.SH,X000100.SZ,X600703.SH,X601877.SH,X000623.SZ,X000559.SZ,X000581.SZ,X002236.SZ,X000568.SZ,X600066.SH,X600271.SH,X000550.SZ,X000800.SZ,X000050.SZ,X600177.SH,X002475.SZ,X300124.SZ,X002294.SZ,X600839.SH,X002465.SZ,X000869.SZ,X002129.SZ,X002456.SZ,X000400.SZ,X300003.SZ,X002007.SZ,X002292.SZ,X600435.SH,X600252.SH,X002038.SZ,X000977.SZ,X600809.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.174824621910852,0,0,0.0923672660153748,0,0,0,0,0,0,0.279963184965222,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.222255904802202,0,0,0,0,0.02823790993354,0,-0.0234368316440569,0,0.041612329334407,0.0162509344139535,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220092267467889,0.0170294963408742,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.0213168184187265,0.162635943641922,0,0,0.222804084330343,0,0,0,0,0.117004726119755,0,0,0.0689837164134063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194117692502947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291414679024959,-0.0309842018041288,0,0,0,-0.0741851082134181,0,0
X000651.SZ,0,0,0,0.0166016755905885,0,0,0,0,0,0,0.0645263668086184,0,0,0.0250646617063518,0,0,0.0133540176021981,0,0,0,0,0,0.024966741094246,0,0,0,0,0,0,0,0,0,0,0,0.0814196129713876,0,0,0.0912785024821657,0,0.0351404571859898,0,0,0,0,0,0,0,0,0.0479902340447636,0,0,-0.0366801969224753,0.0149039284501301,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242845559228947,0,0,0,0,0,0,0,0,0.111289275320513,0,0,0,0.109638682590427,0,0,0,0,0.086628670583539,0,0,0,0,0,0.0210085876043446,0,0,0,0,0,0,0,-0.00846699032744978,0,0,0,0,0,0,0
X002415.SZ,0,0,0.0366347002273364,0,0,0.00833999452057475,0,0,0,0.107025734813614,0,0,0,0,0,0,0,0,0.0496630761087913,0,0,0,0,0,0,0.236746176327752,0,0,0,0,0,0,0,0,0,0,0,0,0.173254097427756,0,0,0,0,0,0,0,0,0,0,0,0,-0.077815360811278,0,0,0,0,0,0,0
X000625.SZ,0.370894197153044,0,0,0,0.0351273096702328,0,0,0,0,0.148998236338252,0,0,0,0,0,0,0,0.0312977126871544,0,0,0,0,0.070833423460324,0,0,0.00911927954121078,0,0,0,0,0.0491072981500386,0,0,0,0,0,0,0.135227347546599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028197808510541,0,0,0,0,0,0
X000858.SZ,0,0,0.0991222827198518,0,0,0,0,0.0685926733000222,0,0,0,0,0.0401880480022654,0,0,0.049070817731898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251547568928192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021808885234957,0,-0.00659598760814496,0.0135100941167709,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.00644700305077118,0,0,0,0,0,0,0,0,0,0,0.143976801540211,0,0,0,0,0,0,0,0,0,0,-0.0400758714376722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124016494163615,0,0.307990730176858,0,0.0076795054104754,0.0136378923056986,0,0,0,0,0,0
X600031.SH,0.142437834540867,0,0,0,0,0,0,0,0,0,0.139994437945494,0,0,0,0.667699161978557,0,0,0,0,0.0228961850719354,0,0,0,0,0,0,0,0,0,0.0448402479080193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191365714495875,0,0,0,0,0,0
X000063.SZ,0.1968913207529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13854003233579,0,0.0400111764348935,0,0,0,0,0,0,0,0,0,0.0398598587750172,0,0,0,0,0,0,0,0,0,0,0.0716105460995521,0,0,0,0,0,0,0,0,0.000707331748550731,0,0,0,0,0,0
