,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X000725.SZ,X600031.SH,X003816.SZ,X002129.SZ,X000625.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X000661.SZ,X600089.SH,X002180.SZ,X601877.SH,X000100.SZ,X002241.SZ,X300142.SZ,X000733.SZ,X600702.SH,X600522.SH,X600741.SH,X002074.SZ,X000157.SZ,X000799.SZ,X600584.SH,X600460.SH,X300003.SZ,X600884.SH,X002007.SZ,X600779.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0520859399782071,0.239279252715396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578582332159328,0,-0.0299638287280553,0.0549088303030907,0,0,0,0,0,0,0,0,0,0.00872165760493164,0.190156450570815,0,0,0.0184826100203832,0,0,0,-0.00241932755595969,0.0227155821477848,0,0,0,0,0,0
X000858.SZ,0,0,0.10593702932478,0.338193840076517,0,0.238540609157309,0,0,0,0,0,0,0,0,0,0.107034089517126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0439202302385737,0,-0.00792095500915154,0.00871108301318987,0,0,0,0,0,0
X600809.SH,0,0,0,0.512794306893193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412590167715097,0,0,0,0,0,0,0,0,0,0,0,0.139734332440157,0,0,0,0,0,0,-4.33680868994202e-19,0.0110774795381877,0,0,0,0,0,0
X000568.SZ,0.0995177211883778,0.513759856936923,0.342244984459459,0,0,0.00114403969062891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137567068502145,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141369541273011,0.0123949366714328,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00529310188653447,0,0,0,0,0,0,0,0,0,-0.00842281307369861,0,0,0.162192935407644,0,0,0,0,0,0.0585981038863501,0.0220941151636028,0,0,0,0,0,0,0.105466354380349,0,0,0,0.0116173677038121,0.130435856776528,0,0,0,0,0.0707215251448799,0,0,-0.0146334528027793,-0.0271832906571303,0,0,0,0,0,0
X002304.SZ,0,0,0,0.511754176215375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311835913093024,0,0,0,0.0387105219484596,0,0,0,0,0,0.0529485168825789,0,-0.0318171126557345,0,0,0,0,0,0.0143236905014746,0,0,0,0,0,0
X600690.SH,0,0,0.0343266080231419,0.169635911346932,0,0.0699190034201911,0,0,0,0,0,0,0,0,0,0.133953627846318,0,0,0.0323633589774905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116309808920951,0.00469270389169519,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198639633646131,0,3.46944695195361e-18,0,0,0.0133614561401223,0,0,0,-0.0728172073785521,0,0,0,0,0,0,0.110131249866781,0,0.00391877939555137,0,0,-0.0532671139661371,0.175093193322337,0,0.0258388225238219,-0.121364357478734,-0.00621946012508698,-0.0153777364565393,0,0,0,0,0,0
X002475.SZ,0,0,0.0374873829089079,0,0,0,0,0,0,0,0,0.0577142049787211,0,0,0,0,0,0,0,0,0.08577492293004,0,0,0,0,0,0,0,0,0,0.262886161175889,0,0,0,0,0,0,0,0,0,0,0.00876356178039417,0,0.00743830026201162,0,0,0,0,0,0.0784131972384565,0,-0.00464950432562018,-0.0267229273445305,0,0,0,0,0,0
X000651.SZ,0,0,0,0.123515708949788,0,0,0.208867400474776,0,0,0,0,0,0,0,0,0.0413188240532599,0,0.0119603445881185,0,0,-0.0245897844493805,0,0,0,0,0.036436858585275,0,-0.0836328368812617,0,0,0,0,0,0.0786316249245081,0,0,0,0,0,0,0,0,0,0.0138905326583945,0,0,0,0,0,-0.026502383009792,0,-0.011749980547867,0.0139176873654534,0,0,0,0,0,0
