,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002475.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X000725.SZ,X000661.SZ,X003816.SZ,X000568.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X002007.SZ,X002241.SZ,X300142.SZ,X000100.SZ,X300014.SZ,X002371.SZ,X000596.SZ,X600183.SH,X600741.SH,X300003.SZ,X300124.SZ,X000977.SZ,X002236.SZ,X000625.SZ,X601877.SH,X002129.SZ,X000800.SZ,X000157.SZ,X300136.SZ,X002456.SZ,X600584.SH,X002463.SZ,X002414.SZ,X002179.SZ,X002049.SZ,X000066.SZ,X600118.SH,X002185.SZ,X002180.SZ,X002008.SZ,X600522.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0707321465246648,0.143123042332658,0,0.052721205886213,0,0,0,0.13468681796519,0,0,0,0,0.0155407311030607,0,0,0,0,0,0,0,0.00467337066351963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00643686082456853,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221711400271245,0.252522664082048,0,0,0,0,0.0847849398745521,0.0205069117767286,0,0,0,0.0415434988214535,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0542592012830054,0,0.00636410315696658,-0.00772826869016691,0,0,0,0,0,0
X600276.SH,0.165274278278117,0.110518113652599,0,0,0,0,0,0,0,0,0,0.325148502594366,0,0,0,0,0,0,0,0,0.0515596696295315,0,0,0,0,0.182445831531951,0.0474324617045975,0.0446412375975055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591642178235471,0,0,0,0,-0.0540348410692293,-0.00174477560554674,-0.0480992380310612,-0.0301361564224502,-0.0197123696527669,0,0,0,0,0,0,0
X000651.SZ,0,0.0446067711708053,0,0,0.123191526582943,0,0,0,0,0,0,0,0,0,0,0.206721580947918,0,0,0,0.0150446291978318,0,0,0,0,0,0,0.0120003968013459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00836608503650198,-0.00804930057225958,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0.0836730197531642,0,0,0,0,0,0,0,0,0.0498601610417882,0,0,0,0.186939745481774,0,0,0.124792809396276,0,0,0,0,0,0,0,0,0,0,0.0766357869645467,0,0,0,0.123785842267655,0,0,0,0,0.0821315819359432,0,0.112345285506504,0.0601882903540584,0,0,0,0,0,0.00110837837867614,-0.0180210440559824,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0316197217196989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154107853972484,0,0,0,0.0164824653300801,0,0,0.0319024504369378,0,0,0,0.179898885240974,0,0,0,0,0,0,0,0,0,0,0,0.200276675766063,0,0,0,0,0,0,0.0912278238438772,0,0.00221637570608023,-0.00900283613394956,0,0,0,0,0,0
X600104.SH,0,0.0990724435629447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104213864483903,0,0.248066883364261,0.100131606094103,0,0.13595220684868,0,0.052265980666335,0,0,0.106796648600682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00504308859266099,0.0150551864991188,-0.0155692420971725,0,0,0,0,0,0
X000063.SZ,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164321341979467,0,0,0,0,0,0,0,0.00494379209642262,0,0,0,0,0,0,0,0,0.0218558486955767,0,0,0,0,0,0,0,0.0170773923865572,0.248564133034993,0,0.00603558004974258,-0.0261151866603145,0,0,0,0,0,0
X002304.SZ,0,0.159996364988966,0,0,0.0188341388620113,0,0,0,0,0,0,0,0,0.0219250730913795,0,0,0.256594918565405,0,0,0,0.082880532877061,0,0,0,0,0,0.00433641023511838,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00575927771258104,0,0,0,0,0,0
X600031.SH,0,0,0,0.240520071938998,0.00264536984471318,0,-6.93889390390723e-18,0,0.00978456860197053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425497945722225,0,0,0,0,0,0.134544508748306,0.0514919288396233,0,0,0,0,0,0.218835284597919,0,0,-0.0256063198711668,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142773944933368,0.00958921764274856,0,0,0,0,0,0
