,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600690.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600089.SH,X000157.SZ,X002463.SZ,X600703.SH,X600372.SH,X002241.SZ,X002028.SZ,X600066.SH,X000921.SZ,X002236.SZ,X000977.SZ,X600741.SH,X600584.SH,X600522.SH,X002049.SZ,X600183.SH,X601877.SH,X000661.SZ,X002129.SZ,X002223.SZ,X000800.SZ,X002180.SZ,X600060.SH,X002156.SZ,X600177.SH,X601799.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.036657648412484,0,0,0.30283703739786,0,0,0,0,0,0,0,0,0.0219478785873937,0,0,0,0,0.0166339723542615,0,-0.0115653520193796,0.00945698929056828,0,0,0,0,0,0,0,0,0,0.0269293330276798,0,0,0,0,0,0,0,0,0,0,0,0,0.00667067775464416,0,0,0,-0.00733986457617034,0,0,-0.0443801963539963,0,0,-0.0061322963024941,0,0
X000858.SZ,0,0,0,0,0,0,0.413483017410465,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0280600693031596,0,0,0,0,0,0,0,0,0,0.0512816690240485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00145054024773447,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0545976487539194,0.0307757250723118,0,0.0256604617340267,0,0,0,0,0,0,0,0,0,0,0,0.0535913563690864,0,0,0,0,0,0,0,0,0,0,0,0.13471124079348,0,0,0.101739922674665,0,0,0.0149015557406231,0,0,0,0,0.117291214932619,0,0,0,0,0,0,0,0.0335932130459333,-0.0231652944678378,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.187314923895074,0,0.0325393598873327,-0.0138981766709752,0.0369861633109977,0,0,0.111420645375636,0,0,0,0,0.133790174572552,0,0.0179494381979723,0,0,0,-0.107506176234415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068076114045753,0,0,0,0,0,0,0,0.00891812458251639,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.0306557164872748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030629579958539,0,0,0,-0.0139933621667251,0,0,0,0,0,0.318791402916303,0,0,0,0.0231127746907654,0,0,0,0,0,0,0,0,-0.125972631180069,0,0,0,0,0,0,0,0,0,0,0,0.126082808335054,0,0
X600276.SH,0,0,0,0,0,0,0,-0.120493677402423,0,0,0.112791260454857,0,0,0,0,0,0,0,0,0,0.266885605260857,0,0.268439670452827,0,0,-0.0873064673885134,0,0,0,0.150584317305467,0.0563746133837297,0,0,0,0,0,0.0202120834885065,0.0215664142138609,0,0,0,0,0,0,0.0806255922207878,0,0,0,0.273671921021286,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,1.02140794949839,0,0,0,0,0,0,-0.0650829611678001,0,0,0,0,0,0,0.0346933104326658,0.0595371391605488,0,0.141736115036585,0,0,0,0,0,0,-0.125673239167486,0,0,0,0,0,0,0,-0.0216636010874117,0,0,0,0,-0.0179945899673656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307677582967901,0,0
X000651.SZ,0,0,0,0,0.143402548555956,0,0,0,0,0,0,0,0,0,0,0,0,-0.102489681674789,0.107543610131595,0,0,0,0,0.173021928197205,0,0,0,0,0,0,0,0.280443505112768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034516426786686,0,0,0,0,0,0,-0.00633508079266671,0.0388330142216894,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163005831382516,0,0,0,0,0.199291028053798,0,0,0.110554785154759,0,0,0,0.0278197977371043,0,0,0,0,0.083198990304453,0.0637839223775893,0,0,0.0926262505414064,0,0,0,0,0.00937626628468197,0,0,0,0,0.064721458528543,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.00838999364320474,-0.164421522979925,0,0,0,0,0,0,0,0,-0.0447094245655796,0,0,0,0,0,0,0,0,0.0933733703660777,0,0,0,0,0.0171063773117689,0,0,0,0,0,-0.00537498281056656,0,0,0,0,0,0,0,0,0,0,-0.069772913931919,0,0,0,0,0,-0.0250216800939164,0,0,0,-0.0386331649169902,0,0
