,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X000651.SZ,X600809.SH,X600690.SH,X600031.SH,X002475.SZ,X002304.SZ,X000725.SZ,X600104.SH,X000661.SZ,X300014.SZ,X000338.SZ,X300124.SZ,X003816.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X002241.SZ,X600703.SH,X000157.SZ,X300142.SZ,X000625.SZ,X002129.SZ,X600741.SH,X002179.SZ,X002371.SZ,X002007.SZ,X002236.SZ,X601877.SH,X002049.SZ,X000799.SZ,X600584.SH,X002414.SZ,X601799.SH,X600183.SH,X600779.SH,X300003.SZ,X000800.SZ,X300146.SZ,X002008.SZ,X002074.SZ,X600089.SH,X600702.SH,X000977.SZ,X600707.SH,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.223582530755505,0,0,0,0,0,0.0925072989949553,0,0,0,0,0,0,0,0,0,0,0,0,0.102332591344961,0,0,0,0,0.031979834919688,0,0,0,0,0,0.0958270745393437,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0263876694163695,0,0,0,-0.0206825265458939,0,0,0,-0.00555339636309848,0,0
X000858.SZ,0,0,0,0,0.357464809470887,0,0.0472293604752943,0.0242438718084081,0,0,0.112929048692279,0,0,0,0,0,0,0,0,0,0,0,0,0.0146124348253338,0,0,0,0,0.0780720173381894,0,0,0,0,0,0.176017676226837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00377063153461448,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.13719468821179,0,0,0,0,0.183417194978859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123554135655945,0.295366488999945,0,0,0.0239829393347979,0,0.120532209556067,0,0,0,0.0678226977270003,0,0,0,0,0,0,0,0,0,0,0.023459378355012,0,0,0,0,-0.0171601012957706,0,0
X600276.SH,0,0,0,0,0.0882810181434271,0,0.0835585186502321,0,0,0.0549021624695147,0,0,0,0,0,0,-0.092939704158035,0,0,0,0,0,0,0.0294573191615736,0.0509037065790873,0,0,0,0.232485781715679,0,0,0,0,0,0,-0.0171515309713112,0,0,0,0,0,0,-0.126123669499976,0,0,0,0,0,0,0,0,0.0121460630569926,0,0,0,0,0.0349049717988938,0,0
X000568.SZ,0.1349244751012,0.575320068114203,0,0,0,0,0.0578018592108608,0,0,0,0,0,0,0,0.0228897833310407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250960630161669,0,0,0,0,0,0,0,0,0.0919950300884151,0,0,0,0,0,0.0294531612869252,0,0,-0.0317144150745478,0,0,0,-0.01065553560592,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0301412236875814,0.0842629791541164,0,0.0116765761017871,0.014665429335016,0,0,0.0320868506293012,0,0,0.042868520425655,0,0,0.171681860445121,0,0,1.73472347597681e-18,0.0269295183898688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00904114834732048,0,0,0,0,-0.0134221723843113,0,0
X600809.SH,0,0,0,0,0.0312599046959088,0,0,0,0.0734684171302785,0,0,0,0,0,0.109545485195105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987414611888924,0,0,0,0.035752511175345,0.422140224269269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837973147430715,0,0,0,-0.0532454789938068,0,0
X600690.SH,0,0.077602877203518,0.0380685634953224,0,0,0.0962944108254223,0.158529874280336,0,0,0,0,0,0,0.159035541015145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171887949886458,0,0,0,0.0901929694158183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248060054639638,0,0,0,0.0192468242077029,0,0,0,-0.00416704670064024,0,0
X600031.SH,0,0,0,0,0,0,0.0992190241493271,0,0,0,0,0,0,0,0,0,0.187343750146759,0,0,0.0960587087261372,0,0,0.121816738929724,0.109110053461757,0,0,0.113277013664376,0,0.12993252915508,0,0,0,0,0.128059882251646,0,0,0.0712661353974862,0.00739481377497812,0,0,0,0,0,0,0,0,-0.0842075477437301,0,0,0,0,-0.0106896307042105,-0.0117626796138836,0,0,0,0,0,0
X002475.SZ,0,0,0.0209462108124609,0,0,0,0,0,0,0,0,0.0339380428433265,0,0,0.116218019330067,0,0.0865003055529395,0,0.0347527598473136,-1.73472347597681e-18,0,0.415827772234417,0,0.0970034446440237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0200828054767315,0,0,0,0.0154576478674889,0,0
X002304.SZ,0,0,0,0,0.240971123266771,0,0.159025652250222,0.0686000355924014,0,0,0,0,0,0,0,-0.00895875952249833,0,0,0,0.0592128023028769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979149359700114,0,0,0,0,0,0,-0.0518107135983157,0,0,0,0,0,0,0,0,0,-0.0270947427822785,0,0,0,0,-0.0224612966994626,0,0
X000725.SZ,0,0,0.159611438025965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203734362338559,0,0,0.0552553055959338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135842760098422,0,0,0,0,0,0.0258382015051128,0,0,0,-0.0314856123721998,0,0
