,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600703.SH,X600741.SH,X002241.SZ,X600271.SH,X600177.SH,X600066.SH,X002129.SZ,X600118.SH,X600582.SH,X601877.SH,X002236.SZ,X000550.SZ,X000568.SZ,X000581.SZ,X000623.SZ,X000800.SZ,X002475.SZ,X002294.SZ,X000559.SZ,X600839.SH,X300146.SZ,X000050.SZ,X600060.SH,X000869.SZ,X000977.SZ,X300124.SZ,X000400.SZ,X002465.SZ,X300003.SZ,X002292.SZ,X600166.SH,X002007.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.090219250192971,0,0,0,0,0.120499464552901,0,0.0175249468906289,0,0,0,0,0,0,0.00967098860670526,0.015786900493707,0.141581751542023,0,0.076235212117004,0.0323236341542423,0.203978182706452,0,0,0,0,0,0,0.174046327303431,0,0,0,0,0,0,0,0,0,-0.000926890049297659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600519.SH,0,0,0.0826232422809352,0,0,0,0.124480534973546,0.173375232755362,0,1.73472347597681e-18,0,0,0,0.0961240930304201,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0483387545533523,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139741814664443,0,0,0,0,0,0,0,0,0,0.00973444024013673,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0408570731613328,0,0,0,0.0380914281296271,0,0,0,0,0,0,0.111153784170893,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0786696292333847,0.0601215775065197,0,0,0,0,0,0,0.120829412470231,0,0,0,0,0,0.0985083042545287,0,0,0,0.27042133277589,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.142895924663791,0,0,0,0,0,0.0603934418504798,0,0.0159997988142817,0.131278150300163,0,0,0.173175261770871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660533234739688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00269499894043102,-0.0242747603436979,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0568721911932657,0.0411059709310339,0,0,0.0316747059299749,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.00367655132619892,0,0,0.181159528123069,0.308255756204002,0,0,0,0,0,0,0,0,0,0,0.00908705470717071,0,0,0,0.125570575847774,0,0.0519283399618531,0,0,0,0,0,0.0140263522139126,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.00887524581452916,0.024078127726738,0,0.29760435816617,0,0,0,0.0431551079899604,0,0,0,0,0,0,0,0,0,0,0.094790140264297,0,0,0,0,0.151624758714098,0.0344309525860205,0,0,0,0,-0.108111593697771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00834138794667926,-0.0516253177600323,0,0,0,0,0,0
X000858.SZ,0,0,0.153950728402223,0,0,0.0405795033219395,0,0,0,0.0675307583477541,0,0,0,0.119997621907269,0,0,0,0,0,0,0,0.05044134760907,0.0125813611853922,0,0,0,0,0,0.0191810175584712,0,0,0.157443607790653,0,0,0,0,0,0,0,0.0365370401047232,0,-0.0440314354857821,0.0192727899783054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0.0165321611321821,0,0,0,0,0,0,0,0.164574452573042,0.0589004738985671,0,0.108729408469024,0.100829957096933,0,0,0,0,0,0,0,0.00574280911809274,0,0,0,0,0,0,0,0,0,0.108334412402355,0,0,0,0,0,0,0,0.000111354883694162,0,0,0,0,0,0,0,0,0,0.201749018293501,0,-0.00326397371873353,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.14926860431957,0,0,0.0339390778312989,0,0,0,0,0,0.136058253200009,0,0,0,0,0.127017595191499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173290867524319,0.00530846233436101,0,0,0,0,0,0,0,0,0.0114803758967973,-0.0280139033010386,0,0,0,0,0,0
X600031.SH,0.158254272600714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6768199151522,0,0.0392954924046232,0,0,0,0,0.0411470045709677,0,0,0,0,0,0,0,0,0,0.0221055274135843,0,0,0,0,0,0,-0.035287078638181,0,0,-0.0574611321410223,0,0,0,0,-0.0210661386995929,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0.25963164937967,0,0,0,0,0,0,0,0,0,0,0,0,0.0294348269151142,0,0,0,0,0,0,0,0.115609012699488,0,0,0,0,0,0,0,0,0,0.0954874151309327,0,0,0,0.0306636207777733,0,0,0,0.227411222214403,0,0,0,0,0,0,0,0,0,0.0255532374478091,0,-0.00667706366179124,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0352327831396945,0,0,0,-0.0161544950320756,0,0,0,0,0,0.109677189416696,0,0,0,-0.0900563730099328,0,0,0,0,0,0,0,0.0103523421982294,0,0,0,0,0,0.132160281357924,0,0,0,0,0,0,0,0,0,0,0.0256590024206615,0,0,0,0,0,0,0
X000100.SZ,0,0,0.0746969279638164,0,0,0,0,0.044433537859548,0,0.223578801373487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157235753342119,0,0,0,0,0,0,0.26849265873057,0,0,0,0,0,0,0,0,0,0.123207294384618,0,0,0,0,0,0,0,0,0
