,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X002475.SZ,X600741.SH,X600031.SH,X000338.SZ,X000063.SZ,X300003.SZ,X002236.SZ,X600809.SH,X600271.SH,X002008.SZ,X601877.SH,X000596.SZ,X300124.SZ,X002456.SZ,X600867.SH,X600487.SH,X000100.SZ,X600566.SH,X000625.SZ,X600066.SH,X002294.SZ,X000661.SZ,X002179.SZ,X000977.SZ,X300136.SZ,X300142.SZ,X000157.SZ,X002007.SZ,X002180.SZ,X002241.SZ,X600498.SH,X000981.SZ,X000050.SZ,X000869.SZ,X600522.SH,X002049.SZ,X002508.SZ,X600779.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.344773146051648,0,0,0,0.0117693327639042,0,0.0893869233630987,0,0.0168201750599403,0,0,0,0,0.0867315011638509,0,0,0,0.0324237014367066,0,0,0,0,0,0,0,0,0,0.0140787913373664,0,0,0,0,0,0.0456118876538456,0,0,0,0,0.0247488852288857,0,0,0,0.038750055351098,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.197701922721371,0,0,0,0,0.0346956217414009,0,0,0,0.154264187612295,0.0730732292794605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00574723192998982,0,0,0,0,0.136552346723786,-0.113926912280963,0,0,-0.173716046307349,0,-0.0705375025407137,0,0,0,0,0,0,0,0,0,0.0211072951471997,0.0333785387339854,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0320608890030131,0,0,0.0312071859556258,0,0,0,0,0,0,0,-0.106001912145367,0,0.16581895251605,0,0,0.0401658665793417,0,0,0,0,0,0.0503998954008337,0,0,0,0,0,0,0,0,0.105748542859506,0,0,-0.0174002407023898,0,0,0,0,0,0,0,0,0.156513102675139,0.0334009235447016,0,0,0.00664099016500542,0.0135931340351847,0,0,0,0,0,0
X000858.SZ,0.108594096478034,0,0,0,0,0.0773566648769488,0,0,0.158118862718252,0,0,0,0,0,0,0,0,0.00904599983495795,0,0,0.0758250444196856,0,0.183365591189224,0,0.0878178267142565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145000673275003,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0911558755590775,0.0292957228236819,0,0,0,0,0,0,0,0,0,0,0,0.0700722710479596,0,0.00679399200540262,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.00105354378086922,0,0,0,0,0,0,0.00314167365173984,0,0,0,0.0351974215948868,0,0,0,0.0315015831628961,0.0225200962067075,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.300956171368761,0,0,0,0,0,-0.0491813964739716,0,0,0,0,0,0,0,0.0408934083436782,0,0,0,0,0.0412813212414085,0,0,0,0.307856447460897,0,0,0,0,0,0,0,0,0.0726103459078248,0,0,0,0,0,0,0,0,0,0.0257364389798277,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.137894309007017,0,0,0,0,0.29695852722506,0,0,0,0,0,0,0,0,0,0.270208058058375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192015091496467,0.0236501293162204,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103851068969415,0,0,0,0,0,0,0,0.0305807097979233,0.0380804866649139,0,0,0,0,0.0521943478583375,0.0226457526902222,0,0.00798423211587117,0,0.053502558034047,0.0486914274037765,0,0,0,0,0.0137038446651401,-0.0182852994243907,0,0,0,0,0,0
X600690.SH,0,0,0,0.511506974946599,0,0,0.0208210485258304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121166291203877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197410997644796,0,0,0,0,0.0213697932689683,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0.0233100040548766,0.0769779521825676,0,0.0491005256740999,0,0,0,0,0.0655376822497516,0.134113478665761,0,0,0,0,0,0,0,0.311308045260919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00818564952790266,0,0,0,0,0,0.0210916322435732,0.00412845254918706,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0.00603498224481203,0,0,0,0,0,0.0529978143229428,0.0236073047649237,0.00610440420928071,0,0,0.0259421056193444,0,0,0,0.069864416409182,0.0857564039475199,0.257712004073108,0,0,0,0,0,0.0257241681630626,0,0,0,0,0,0,0.109488965142023,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.000742257008210008,0,0,0,0,0,0
X002475.SZ,0,0.101750637975469,0,0,0,0,0,0,0,0,0,0,0,0.0515139487260642,0,0,0,0,0,0,0,0,0,0,0.627995487494696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195963605014038,0,0,0,0,0,0,0
X600741.SH,0,0.177937114594878,0,0,0,0,0,0,0.0389160389408391,0,0,0,0,0,0,-0.0428857971954169,0,0.0584980843680135,0,0,0,0,0,0,0.0912084155898316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343716409370663,0,0,0.037352798520537,0,0,0,0,0,0,0
