,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X600066.SH,X600741.SH,X002292.SZ,X600031.SH,X002475.SZ,X002236.SZ,X002049.SZ,X600118.SH,X002506.SZ,X000559.SZ,X002241.SZ,X000157.SZ,X000338.SZ,X600372.SH,X000568.SZ,X600089.SH,X300003.SZ,X002294.SZ,X002085.SZ,X600177.SH,X002074.SZ,X600867.SH,X300124.SZ,X600582.SH,X002180.SZ,X002465.SZ,X002007.SZ,X600498.SH,X000869.SZ,X601877.SH,X002426.SZ,X002456.SZ,X000550.SZ,X002512.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.195236830400817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386290220633922,0,0,0,0,0,0,0,0.00526715669992181,0.0284224518682722,0,0.0907863826680966,0,8.67361737988404e-19,0,0,0,0.0255033765044029,0.0448932103171564,0,0,0,0,0,0,0.0752877685230892,1.0842021724855e-19,0,0,0,0,0,0
X600104.SH,0,0,0.182833837482215,0,0,0,0,0,0,0,0,0,0.0433291024707158,0,0.333508916033324,0,0.0674390382290106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186704619920407,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.0329223184265637,0,0,0,0.010443613843959,0,0,0,0,0,0
X002415.SZ,0,0.0464567178496223,0,0,0,0,0,0.0618834027655044,0,0,0,0,0.249496506271053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783581000000601,0.0884415698346715,0,0.0318796503562726,0,0,0,0,0,0,0.055502730592394,0,0,0.20303771362198,0,0,0,0,-0.0325144357192056,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0616814713663385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167565869954286,0,0.228296323725089,0,0,0,0,0.0118674717269686,0,0,0,0,0.0167463851545117,0,0,0,0,0.0112167513124471,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0.365620261803774,0,0,0,0,0.0412760662772472,0,0.0798263167290258,0,0,0,0,0,0.0187395703203893,0.117444162190455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912967513628379,0,0,0,0,0,0.0346863171015746,0.0347595785770876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231262674389048,0.297822082545903,0,0,0.0345828481724415,0,0,0,0.0155226463790797,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0669205014756084,0,0,0,0,0.0953218859533643,0,0,0.0509936771895909,0,0.0252137082812618,0,0,0,0,0,0,0,0,0.0349582100402317,0,0,0,0,0,0,0,0,0,0,0.0409482002373374,0,0,0.0347938476825691,0,0,0,0.021457818476871,0,0.00371548103460077,0,0.0242367827223568,0,0,0,0.0214434255412626,0.00217304618804813,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.177278068715555,0,0,0,0,0,0.024381660585391,0,0,0.0326704354859128,0.01085037699863,0,0,0,0,0,0.109040104137225,0,0,0,0.3155448481861,0,0,0,0,0,0,0,0.121833305167094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.145316747751525,0,0,0,0,0,0,0,0,0.0830216352836707,0,0,0.0198293528622993,0,0,0,0,0,0,0.193372767847844,0,0,0,0,0,0,0,0,0.00194802823596823,0.189847293813938,0,0,0,0,0,0,0,0,0,0,0,0,0.0922709452529299,0.0486684724950495,0,0,-0.00121219247657138,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32896261526819,0.0191680994303791,0,0,0,0,0,0,0,0,0.171731963290523,0.101658528627112,0,0.0571322274954493,0,0,0,0.103059683201829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
