,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X003816.SZ,X600690.SH,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X600031.SH,X000063.SZ,X300124.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X600089.SH,X600372.SH,X002463.SZ,X600703.SH,X000157.SZ,X600584.SH,X002028.SZ,X000977.SZ,X600522.SH,X600741.SH,X002236.SZ,X600066.SH,X600183.SH,X600418.SH,X002049.SZ,X601877.SH,X000921.SZ,X000661.SZ,X000800.SZ,X002180.SZ,X002223.SZ,X600487.SH,X601799.SH,X600460.SH,X002074.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.329853807946642,0,0,0,0,0,0.0787517775488275,0,0.0209043323963437,0,0,0,0,0,0,0,0,0.0268059679050812,0.147980772722968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258414137329906,0,0,0,0,0,0,-0.0471329895214286,-0.0324558379664806,-0.0927205392652511,0,-0.00434840144565843,0,0,0,0,-0.0779411462121452,0,0,0,0.0124261532700547,0,0
X000858.SZ,0.153462680578992,0,0,0,0,0,0,0,0,0.343459462396587,0,0,0,0,0,0,0,0,0,0.108034057796803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651580527280148,0,0,0,0,0,0,0.0193366661145559,0,0.0370663944037437,0,0,0,0.00636112446449464,0.0151036165152364,0.0163080690375564,0,0,0,0,0,0,0.0232832780271217,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203363788274602,0,0.00960661727401721,0,0.0628905805543793,0.0198602717357221,0,0,0,0,0,-0.0430683823562499,0,0,0,0,0,0,0,0,0.0094180338061857,0,0,0.0588230915667374,0,0,0,0,0,0,0.105101718605095,0,0,0,0,-0.00413757883400252,-0.0632606959142004,0,0,-0.0139759353341072,0,0
X002415.SZ,0,0,0,0,0,0,0.0277357953203953,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.252736620424292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335462126332318,0.119979162169258,0.0764741065534515,0,0,0,0,0,0.08043646673653,0,0,0,0,0,0,-0.0338707539422001,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0503731851809667,0,0,0.481654910931834,0,0,0,0,0,0.201701349163223,0,0,0.0521216493890446,0,0,0.0362321044877443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0435703070352744,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.0854567382290077,0,0,0,0,0,0,0,0,-0.140274318941195,0,-0.0166968475310657,0,0,0,0,0,0,0,-0.0185669868831027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34574608902091,0,0,0,0,0,0,-0.00271943826514131,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.175581051714949,0,0,0,0,0,0.272513147287058,0,0,0,3.46944695195361e-18,0,0,-0.190902528299608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319543211299084,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213689723577946,0,0,-0.000981004498703483,0,0
X600809.SH,0,0,0,0,0,0.0180753702612326,0.145795572380609,0,0,0,0.0131712430503659,0,0,0,0,0,0,0,0,0.475585271645492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274810527629663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.107436373133004,0.0187555014137914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091897798722947,0,0,0,0.0534236261306114,0,0,0,0,0,0,0,0,0,0,0.0233950440905049,0.134983652745762,0,0,0,0,0,0,0,-0.0218467484373159,0,0,0,0,0,0,0,-0.00772900800570106,0,0
X000568.SZ,0.461782814449208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276930272604118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152969519634589,-0.0238362438382444,0,0,0,0,0.0582753403547108,0,0,0,0,0,-0.049795817882177,0,-0.0259032148780067,0,-0.0100022710268359,0,-0.0258381856765829,0,0,-0.00379789034411259,0,0
