,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X002292.SZ,X600703.SH,X600690.SH,X000100.SZ,X002241.SZ,X600271.SH,X600118.SH,X000559.SZ,X600031.SH,X600066.SH,X002236.SZ,X600741.SH,X600372.SH,X000157.SZ,X002475.SZ,X000338.SZ,X600089.SH,X000568.SZ,X600177.SH,X002049.SZ,X300124.SZ,X002465.SZ,X000977.SZ,X002129.SZ,X601877.SH,X000869.SZ,X002294.SZ,X300003.SZ,X002456.SZ,X002074.SZ,X600582.SH,X600867.SH,X002506.SZ,X002085.SZ,X002426.SZ,X002008.SZ,X600498.SH,X300001.SZ,X600839.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.0115072934313303,0,0,0,0,0,0,0,0.0485430900188581,0,0,0,0,0,0,0,0,0,0,0,0.0228824031607281,0,0.0555779315650331,0,0,0,-0.0383360779924013,0.020404325909389,0,0,0,0,0,0,0,0,0.039739943879053,0,0,0,0,0,0.0496550284661126,0,-0.0169185917111722,0.0226579297501331,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.331649894991593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763331576948518,0,0,0,0,0,0,0,0,0,0.0161856213280827,0,0,0,0,0,0,0,0,0,-0.0367392194376496,0,0,0,0,0,0,-0.0103510210728048,0.0261454040019128,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.00424362595765998,0,0,0,0,0,0.0264353726374274,0,0,0,0,0,0.176234488825593,0,0,0,0.220213046461867,0,0,0,0.0739001450176309,0,0.00778809454434838,0,0,0,0,0,0.0664629772663696,0,0,0.0618494109432747,0.0377648186048505,0,0,0,0,0,0,0,0,-0.00854533774641401,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.264926594164187,0,0.00179689012992468,0,0,0,0,0.134798537962192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174359090601723,0,0,0,0,0.128088823120103,0.031858899831217,0,0,0,0,0,0,0,0,0,0,-0.00722290587594642,0,0,0,0,0.0143981039763563,-0.00249138742039203,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215387925129384,0.0471287419924314,0,0,0,0,0,0,0,0,0,0,0.100131308758647,0,0,0,0,0.0887787047426296,0,0,0,0,0.0310246697860929,0,0,0,0.0136402067757774,0,0,0,0,0.00730283536894921,0.14815579831842,0,-0.000251482606998609,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.00974281310833664,0,0,0,0,0,0,0,0,0.178727242850274,0,0,0.0601995121049933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809779067503308,0.0239379794711891,0,0,0.00427359396703147,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0117527049309726,0.0410096672948672,0,0,0,0,0
X002304.SZ,0,0,0,0.018165888408346,0,0,0,0,0,0.0142076128380811,0,0,0,0,0,0,0.0246793350666823,0,0,0,0,0,0,0,0,0,0,0.307582639278543,0,-0.0567872497190371,0,0,0,0.0302330263844954,0,0,0.0840396391742739,0,0,0,0,0,0,0,0,0,0,-0.0423641801533991,0,0,0,0.00731077051783926,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0446319604540637,0,0,0,0,0,0,0,0,0.0503695955585221,0,0,0,0,0,0,0,0,0,0,0,-0.0426814906992608,0,0,0,0,0,0.150353617755661,0,0,0.0157956589467399,0,0,0,-0.0137683751514935,0,0,0,0,0,0,0,0,0.00266597101618658,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161891218070632,0,0,0,0,0,0,0,0,0,0,0.0768210637378741,0,0,0,0,0.0538356937875288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204129815519032,0,-2.16840434497101e-19,-0.026971529803612,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171146797524006,0,0,0,0,0.206616424146691,0,0.00950552203319873,0.0646528028819748,0,0,0,0,0,0,0,0,0,0,0,0,0.147446092496719,0,0.0603560325474769,0,0,-0.00281535100042931,0,0,0,0,0,0
