,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000625.SZ,X002304.SZ,X000725.SZ,X002371.SZ,X000338.SZ,X000063.SZ,X600031.SH,X000596.SZ,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X600703.SH,X002241.SZ,X000157.SZ,X002129.SZ,X600372.SH,X002236.SZ,X600741.SH,X000661.SZ,X002049.SZ,X000977.SZ,X600584.SH,X601877.SH,X002028.SZ,X600522.SH,X002463.SZ,X600183.SH,X601799.SH,X000800.SZ,X002074.SZ,X600066.SH,X002007.SZ,X600460.SH,X000921.SZ,X002223.SZ,X300142.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002371.SZ,0,0,0,0,0,0,0.0267392815602442,0,0,0,0,0,0,0,0,0,0,0.268743781508352,0,0,0,0,0,0,0,0.0214498836659588,0,0,0,0,0,0,0,0,0.0827747109830066,0,0,0,0,0.116841181075435,0,0,0,-0.0367882281455621,0,0,0,0,0.0723000278076192,0,0,0.0119528875573181,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.199682419514005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248797191760575,0,0,0,0,0,0,0,0.0568459794303852,0,-0.0681651978863584,0,0,0,0,0.040183784405625,0,0.123178965304024,0,0.0212570026491788,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616267923972602,0,0,0,0,0,0,0,0.224726102448898,0,0,0.277665329553332,0.0828436741874774,0,0,0,0,0,0,0,0,0.108510412259333,0,0,0,0,0,0,0,0,-0.048375871833034,0,0,0,0,0.056982066233748,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127543527400724,0,0,0,0.033674367347508,0,0.108409754543096,0,0,0,-8.67361737988404e-19,0,0.0182792541189773,0,0,0,0,0,0,0,0,0,0,0,0,0.0124660253312757,0,0,0,0,-0.00712038388211216,0.0117928445583053,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0.316189299499803,0.216192224025608,0,0,0,0,0,0,0.0486485645643199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0640542780597265,0,0.205136893766872,0,0,0.0213159456756512,0,0,-0.0122496028427319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104172266929002,0,0,0,-0.00969031714926726,0,0
X000100.SZ,0.0347199841846648,0,0,0,0,0,0,0,0,0,0,0,0.0748658821013217,0,0.707857362777685,0,0,0,0,0,0,0,0,-0.133904732590705,0,0.0124279456182151,0,0,0,0,0,0,0,0,0,0,0,0.0122895817732436,0,0,0,-0.0351652337065739,0,0,0,0,-0.0200775288289191,0,0.0902789223256926,0,0,-0.020560551800079,0.0207692681396348,0.0131731290211149,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187565954635382,0,0.41458665312523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330639060784048,0,0,0,0,0,0.0693670281355923,0,0,0,-0.00659782306188566,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0.00314543761964269,0.040398110350523,0,0,0,0,0.208305348783034,0,0,0,0,0,0,0,-0.0046092520158617,0,0.0453459664692931,0,0,0,0,0,0.0221635669574287,0,0.151608646446856,0,0,0,0,0,0,0,0,0,0,0.144456486576039,0,0,0,0,-1.0842021724855e-19,0.000839067181785737,0,0,0,0,0,0
X002179.SZ,-0.329157586464442,0,0.157650599880267,0,0,0,0,-0.237990934894715,-0.0472087159761283,0,0,-1.73472347597681e-18,0.0756750692293761,0,0,0,0,0,0,0,0,0.105311088944729,0,0,0,0,0,0,0.171629848415636,0,0,0,0,0,0,0,0,0,-0.149412960879882,0,0,0,0,-0.0389505561355128,0,0,0,0,0.161488726617027,0,0,-0.0297189250666536,0,0,0,0,-0.0518872158265704,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120964470664949,0,0.0519203403403495,0,0,0,0,0.025988247455242,0,0,0,0,0.122102386641069,0,0,0,0,0,0,0.181029032416977,0.0499361597174871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286144496545563,0,-0.123420779319924,-0.0299676130160178,0.03331765635373,0,0,0,0,0,0
