,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002304.SZ,X002475.SZ,X600690.SH,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X300014.SZ,X002371.SZ,X300124.SZ,X003816.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002241.SZ,X002129.SZ,X000625.SZ,X000596.SZ,X002049.SZ,X000661.SZ,X601877.SH,X300142.SZ,X000100.SZ,X002179.SZ,X600089.SH,X000799.SZ,X600460.SH,X600741.SH,X002236.SZ,X000157.SZ,X600702.SH,X600779.SH,X002074.SZ,X600584.SH,X601799.SH,X002414.SZ,X002007.SZ,X600183.SH,X600884.SH,X000800.SZ,X000733.SZ,X300003.SZ,X000977.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.385940031419658,0,0,0,0.0673585903021183,0,0,0,0,0,0,0,0,0,0.0450088566044877,0,0.00484042387405005,0,0,0,0,0,0,0,0,0.0444749884557136,0.0114152803264069,0,0,0,0,0,0,0,0.0737560851293692,0.0265868518875963,0,0,0,0,0,0,0,-0.0161948810396322,0,0,0,0,0,0,-0.00515392272770666,-0.0100208884534761,0,0,0,0.0073256592242583,0,0
X000858.SZ,0.0403403015014193,0,0,0,0.119291902952197,0.271867427017229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675359260686599,0,0,0,0,0,0.0203663444921253,0,0,0,0,0.00210671005280106,0.230544114469727,0,0,0,0,0,0,0,0,-0.0187255272468029,0,0,0,0,-0.0131263920270725,0,0,0,0,0,0,0
X002415.SZ,0,0.146142459425162,0,0,0,0,0.0629443693151888,0,0,0,0,0,0,0,0,0,0,0,0.10114060807013,0,0,0,0,0,0,0,-0.00755654559883554,0.0511328177072583,0,0,0,0,0,0,0,0,0,0.0549238596972664,0,0,0,0,0,0,0.0437879944448459,0,0,0,0,-0.0505708460809695,0,0.0243140888712691,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.215457810859292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372198540284699,0,0,0,0,0.488382231266935,0,0,0,0,0.148348032455201,0.0243860165471367,0,0,0,0,0,0,0,0,0.0309758800024055,0,0,0,0,0,0,0,0,0,0.039322213577797,0,0
X600276.SH,0,0.234802934290051,0,0,0,0,0,0,0,0,0,0,0,0.198331735655021,0,0,0,0,0,0,0,0,0,0,-0.0443413784638238,0.0444506506196691,0,0,0,0,0,0.103023400109866,0,0,0,0,0,0,0,-0.043551284396921,0,0,0,0,0.000250357481989925,0,0,0,0,-0.0861470408719733,0,0,-0.0354836479598967,0,0,0,0,0,0
X000568.SZ,0,0.418807479033974,0,0.0266156828649813,0.00789585423533208,0,0,0,0,0,0,0,0,0,-0.024882720288874,0.0024945764698725,0,0,0,0,0,0,0,0.0666720029121936,0,0,-0.0373003316256618,0,0,0,0,0.180341916797483,0,0,0,0,0.0239960514208816,0.0105577460044144,0,0,0,0,0,0,-0.0448420772690562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.211784526530382,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659862851593578,0,0,0,0,0,0,0.113773005652482,-0.0954498467475541,0,0,0,0,0,0,0.0583740166829429,-0.0316997362163242,0,0,0,0,0.0828447661367202,0,0,0,0,0,0,0,0,-0.0124849438091308,0,0,0,0,-0.00967651944769216,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0544935318379474,0,0,0.00332611446701041,0.0202115510775453,0,0,0,0,0.0278905853789772,0,0,0,0.0845846673898908,0,0,0.00887589945665672,0,0,-0.221870867211608,0,0.0646709139449572,0,0,0,0.0524938086751919,3.46944695195361e-18,0,0,0,0,0,0,0.0130378045968887,0,0,0,0,-0.140362628424805,0,0.00560930372685203,0,0,0,0,0.0403531462678341,0,0
X600690.SH,0,0,0,0,0.0653884221657489,0,0.0834800865706914,0,0,0,0,0,0,0.0458893139696168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373866468689996,0,0,0,0,0.08986426531134,0,0.156703729739784,0,0,0,0,0,0,0,0,0,0,0,-0.0517931838348114,0.000660978209072032,4.33680868994202e-19,-0.00875701961941101,0,0,0,0,0,0
X000651.SZ,0,0.139754661170591,0,0,0,0,0,0,0,0,0,0.0484448215727775,0,0,0,0,0,0,-0.0155460101127536,0,0,0,-0.0260700836341911,-0.0606666163133432,0,0.0225005650681912,0,0,0,0,0,0,0,0,0,0.0301358812945483,0,0,0,0,0,0,0.129859237022822,0,0,0,0,0,0,0,0,0,0.0360690331620637,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440154161895759,0,0,0,0,0,0,0,0,0.167370278094694,0,0,-0.0116412299332747,0,0.0365500658210182,0,0.0256293592176969,0,0.0722078210554891,0,0.138463636191563,0,0.0829251569689882,0,0,0,0,0,0,0,0,0.0119324967097716,0,-0.0506325662245701,0,0,0,0,0,-0.030141448205373,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.0534749116335773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026292995125366,0,-0.146811747715607,0,0,0,0,0,0,0,0,0.602433523486894,0.0138228660467017,0.112219920765379,0.0329122463732337,0,0,0,0.028665903075635,0,0,0,0.0421295879128674,0,0,0,0,0,0.0182070440519999,0,0,0,0.0532467449994132,0,0
X000725.SZ,0,0,0,0,-0.0611095577974325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475850327903023,0,-0.0387412892506534,0,0,0.092672243795555,0.373327611753937,0,0,0,0,0.0262500014183598,0,0,-0.0100679400400634,0,0,0,0,0,0,0,0,0.0322366859256633,0,0,0,0,0,0,0.00110668199821838,0,0,0,-0.0196186937002111,0,0
