,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X002304.SZ,X600031.SH,X600690.SH,X000338.SZ,X000568.SZ,X600703.SH,X000661.SZ,X600741.SH,X000100.SZ,X002241.SZ,X600809.SH,X300014.SZ,X002371.SZ,X600183.SH,X300003.SZ,X002236.SZ,X000596.SZ,X000977.SZ,X601877.SH,X002007.SZ,X300124.SZ,X000625.SZ,X000157.SZ,X600584.SH,X002456.SZ,X002180.SZ,X002129.SZ,X300142.SZ,X600118.SH,X002008.SZ,X600271.SH,X300136.SZ,X002463.SZ,X000066.SZ,X002179.SZ,X002414.SZ,X600699.SH,X002049.SZ,X600177.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189637129778977,0,0,0,0,0,0.161621476659581,0,0,0,0.123019526930862,0,0.110502495836564,0,0,0,0,-0.0312571122805216,0,0,0,0,0,0.120012597060192,0,0,0,0,-0.0966317630846672,0,0,-0.0154517506574849,0,0,0,0,0,0,-0.00311542019320721,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0740385138232614,0,0,0.413212549614469,0,0,0,0,0,0,0.0254648779762873,0,0,0,0,0,0,0,0,0,0.0058658773912602,0,0,0,0,0,0,0,0,0,0,0,0.127525596738963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.2179735235121,0,0,0,0,0,0,0,0,0,0,0,0.0220929410337233,0,0,0,0.0880680673914485,0,0,1.73472347597681e-18,0,0,0,0,0.0731469266201044,0,0,0,0,0.111699642943986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187705185878034,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.141686031168147,0,0,0.0931235612276743,0,0,0,0,0.0291020359332873,0,0,0.027628302517646,0,0,0,0,0.179781510172772,0,0,0,0,0,0,0,0,0,0.032759924518602,0,0,0,0,0.154940656316107,0,0,0,0,0,0,0,0,0,0,0.0222069687991925,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0835668290494028,0,0,0,0.0896954800003122,0,0,0,-3.46944695195361e-18,0,0,0,0,0.144385277657238,0,0,0.036486993139499,0,0,0.315656098676038,0,0,0,0,0.0239357487706812,0.105410617782736,0,0,0,0,0,0,0,0,0,0.0584778400885255,0,0,0,0,0,0,0,0,0,0,0.0313422056926069,0,0,0,0.0178920499483769,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.17753632453744,0,0,0,0.0425299515871467,0,0,0,0,0,0.144991725102171,0,0,0,0.0323259527035675,0,0,0,0,0,0,0.137914872038952,0.230914958389775,0,0,0,0,0,0,0,0,0,0.0229848889711581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000663069873652385,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703098268280542,0,0,0.30543131539844,0,0.0223895435949684,0,0,0,0,0,0,0,0,0,0,0,0,0.0153192499285219,0.0418571520564419,0,0,0,0.180053693847556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271578888929272,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061788289278663,0,0,0,0,0,0,0,0,0,0,0.0329611696066827,0,0,0,0.0844057063837019,0,0.108527642819439,0.0474254886529103,0,0,0,0,0,0.0514404073751567,0.204530365636713,0,0,0,0,0.104634269539835,0,0,0,0,-0.0236476805997182,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030486862756529,0,0,0.333933483010474,0,0,0.0206507546246941,0.032174531813558,0,0,0,0,0.0463042749760167,0,0,0,0,0,0,0,0.0702019547813886,0,0.122343552900401,0,0,0,0.0187650643685281,0,0,0,0,0,0,0,0,0,0,-0.00381107986470045,0,0,0,0.0230063072667288,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.0181475502495973,0,0,0,0.107747622048876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153361822611443,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.172289357562571,0.16376354280865,0.0727320397509813,0,0,0,0,0,0.127912245646392,0,0,0.000649153539127649,0,0,0,-1.73472347597681e-18,0,0
X002304.SZ,0,0.218680555075797,0,0,0,0,0,0,0,0,0,0.0130129124589468,0,0.0586609739732406,0.0327816496387132,0,0,0,0.102529610684862,0,0,0,0,0,0,0,0,0,0,0,0,0.0523550635956866,0,0,0,0,0,0,0,0,0,0,0,0.0146433877985894,0,0,0,0,0,0,0,0,0,0,0,0,0.0573970661824978,0,0
X600031.SH,0,0.0549826636822896,0,0,0,0,0,0,0,0,0.160159375925753,0,0,0.0847908460084962,0,0,0,0,0,0.0699704239567577,0,0,-6.93889390390723e-18,0,0,0,0.107757416358324,0,0,0,0,0,0.357698500107964,0.0108565135417659,0,0,0,0,0,0,0,0,0,0.0219856191814507,0,-0.0151144710986622,0,0,0,0,0,0,0.0126392764176954,0,0,0,0.0159993470443523,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0.139023140100253,0,0,0,0,0,0,0,0,0,0.0857834169970212,0.0401419458030722,0,0,0.0017417134367701,0.106983189674536,0,0,0,0,0.0558453642517327,0,0,0.00876415729627781,0,0,0.0134137602115577,0.0387349012832919,0,0,0,0,0,0,0,0.169392823099206,0,0,0,0,0,-0.00737454185134712,0,0,0,0,0,0
X000338.SZ,0,0,0,0.0775635513930513,0,0,0,0,0,0,0.0584715530947397,0.32671599267402,0,0,0,0.0831082139852971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152167901181682,0,0,0,0,0.0953324900433302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325410671972088,0,0
X000568.SZ,0,0.519274433246797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20339092377932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249958802195097,0,0,0,0,0,0,0,0.0354944661936115,0,0,0,0.0466419311202614,0,0.0443441279396758,0.109541230023618,0,-0.00174395292527629,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242132822894193,0,0.111117735124067,0.0583838453463793,0,0,0,0,0.0461455926560314,0,0,0,0,0,0.153763023500302,0.0795415698552795,0,0.0692435013300698,0,0,0,0,0,0,0.0405382862676119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0.0279229931197429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314591011091345,0,0,0,0,0,0.149010208553661,0,0,0,0,0,0,0,0.0537964319822163,0,0.0243966554825359,0.139837314308037,0,0,0,0,0,0,0,0,0.0569800128872991,0,0,0,0,0,0,0,0,0,0,0,0
