,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X601877.SH,X000661.SZ,X600809.SH,X000100.SZ,X600703.SH,X300003.SZ,X600271.SH,X000157.SZ,X002007.SZ,X300142.SZ,X002236.SZ,X300124.SZ,X002008.SZ,X000625.SZ,X002179.SZ,X600177.SH,X000977.SZ,X002371.SZ,X600776.SH,X600498.SH,X600487.SH,X002506.SZ,X000066.SZ,X300146.SZ,X600183.SH,X600867.SH,X600066.SH,X000050.SZ,X600118.SH,X002129.SZ,X600522.SH,X002049.SZ,X600566.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.183175778649157,0,0,0,0,0,0.0429933424900205,0,0,0,0,0,0.0620525777094595,0,0.0756452353193034,0,0,0,0,0,0,0,0,0,0.0519278242648616,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0718909682547888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159561897008091,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0525944820278864,0,0,0,0,0,0.204416482735939,0.0733977835444444,0,0.0330099989221252,0,0,0.451030449191356,0,0,0,0,0,0,0.00505722528831211,0,0,0,0,0,0,0.0189123389285397,0,0,0,0,0,0,0,0,0,0,0,0,0.0464467059147711,0,0,0,0,0,-0.0194005683485413,0,0,0,0,0,0,0
X000651.SZ,0,0.117527206231586,0,0,0,0,0.144272534046007,0,0,0,0.0585199768835388,0,0,0.106758308091791,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0139597856531278,0,0,0,0.0421145666430639,0.0141968714147685,0,0,0.0347144895357021,0,0,0,0,0,0.00353898061490726,0,0,0,0,0,0,0,-0.0386446455992779,0,0,0,0,-0.0173756443680851,0,0
X600104.SH,0,0,0.0652666902539617,0,0,0.155167801583705,0,0,0,0,0.0637713046460858,0,0,0,0.0103884311599321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689836012250064,0.119805596499252,0,0,0,0,0,0,0,0,0.0990654292517641,0,0,0,0.00906449960922015,0,0,0,0,0,0,0,0,-0.0232320621377047,-0.0263901958005922,0,0,0,0,0,0
X600276.SH,0,0,0.127640132752379,0,0,0,0,0,0,0,0,0,0,0.277255554550201,0.000226567977713612,0.00697088642466558,0.0713268580710785,0.106590651346515,0,0,0,0,0,0,0,0.0443769050629976,0,0,0,0,0,0,0,0,0.0067448340093383,0,0,-0.0814908558235831,-0.0442913115888594,0.0948590496968448,0,0,0,0,0,0,0,0,0,0,0,-0.0107040935646384,0.0086952645037106,0,0,0,0,0,0
X002415.SZ,0,0,0.0415158249356419,0,0,0,0,0.0372289460102538,0,0.0463189971216458,0,0,0,0.0665663639304549,0.115769581950688,0,0,0,0,0,0,0,0,0,0,0,0.444048347265855,0,0,0,0,0,-0.0168130804318606,0,0,0,0,-0.0154622207870138,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119107976406481,-0.0319341542503833,0,0,0,0,-0.0358095143898098,0,0
X002304.SZ,0,0.142534257002297,0.218191613566215,0,0.0548915017591768,0,0,0,0,0,0.0527378932921665,0,0,0,0,0.209308781679109,0,0,0.113240453235381,0,0,0,0,0,0.087909650453153,8.67361737988404e-19,0,0.00579172753943211,0,0,0,0,0.00595320684750835,0,0,0,0,0,-0.00411024411392697,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0308394285572821,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282485355864577,0,0,0,0,0,0,0.135697378071847,0,0,0,0,0,0,0,0,0,0,0,0.000428671614873941,0.125433586651257,0.118549675131032,0,0,0.080856509329693,0,0,0.160121843094853,0.00313960515291107,0,0,0,0,0,0,0,0,0,-0.0521474432867793,-0.0661889518979901,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208313878930573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593905018248231,0,0.0422004300559415,0,0.0363914024666114,0,0.193697575514526,0,0,0.16637302434873,0,0.0793297896816699,0,0,0,0,0,-0.0345612518136725,0,0,0,0,0.0461273862496176,0,0
X000568.SZ,0,0.33615264015865,0,0,0,0,0,0,0,0,0,0,0.209955906925179,0,0,0.0934633780028739,0,0,0.0878854883223575,0,0.0427395618600194,0,0,0,0,0,0,0,0,0.0664341396084536,0,0,0,0,0,0,0,0,0,0,0,0.0430715751362875,0,0,0,0,0,0,0,0,0,-0.0135786993115745,0,0,0,0,-0.00934853119169144,0,0
