,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X600031.SH,X002236.SZ,X300003.SZ,X002008.SZ,X000063.SZ,X300124.SZ,X600809.SH,X600867.SH,X601877.SH,X600271.SH,X000596.SZ,X002456.SZ,X000625.SZ,X600066.SH,X600487.SH,X000100.SZ,X600566.SH,X002294.SZ,X000661.SZ,X002241.SZ,X000157.SZ,X002179.SZ,X000977.SZ,X300142.SZ,X300136.SZ,X000981.SZ,X002007.SZ,X002180.SZ,X000050.SZ,X002508.SZ,X600498.SH,X600177.SH,X000869.SZ,X600522.SH,X600779.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.260226559459667,0,0,0,0,0.118956104475243,0,0,0,0,0,0,0,0,0,0.0112244581194389,0,0.11961406797212,0,0,0,0,0,0,0,0,0,0.0610986616832623,0,0,0,0,0,0,0,0,0,0,0,0.027088335375489,0,0.0515658073610094,0,0.0246161970697549,0,0,0.0129899733075918,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.371579360049155,0,0,0.00856912350023031,0,0,0,0.108447530158476,0.173877136797314,0,-0.0352382141113309,0,0,0.209576506114494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0710678817583171,0,-0.0377659458988298,0,0,-0.0351257565266083,0,0,0,0,-0.0238411991847888,0,-4.33680868994202e-19,-0.0267514049198693,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0806991230517718,0,0,0,0,0.0204919542064791,0,0,0,0.164305263799346,0,0,0,0.046541365180852,0,0,0,0,0,0,0,0,0.136248686677882,0,0.190389019057807,0,0,0.0927036177691289,0,0,0,0,0,0,0,0,0,0.213703522143358,0,0,0,0,0,0,0,0,-0.0323753913517182,0,0,0,0,0,0
X000858.SZ,0.0922969993150574,0,0,0,0.0519060918844765,0,0.229620305570784,0,0.225487309909871,0.106841123823834,-8.67361737988404e-19,0,0,0,0,0.0852292262893601,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13648486719637,0,0,0.00368160975718163,0.00591840539571634,0,0,0,0,0,0
X000651.SZ,0,0,0,0.223916142226498,0,0,0,0,0.131771466790304,0,0.00415200994447418,0,0.0751851232386094,0,0,0,0,0,0,0,0.217209421374225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0658617232397064,-0.0652192193776585,0,0,0,0,0.210705428061619,0,0,0,0,0,0,0.13021529297744,0,-0.0197616776912628,0.0230339405142147,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.244431039339987,0,0,0,0,0,0,0,0,-0.0730807315821918,0,0,0,0,-0.0934365841538802,0,0,0,0,0,0,0.230980952944726,0.23474613549316,0.0398259238126707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398304791873072,0,0,0,0.00746416108368215,0,0,0,0,0,0
X002304.SZ,0,0,0.0823657128317742,0.204155267205918,0,1.73472347597681e-18,0,0,0.387870839270248,0,0,0,0,0,0,0,0,0.0359580625695622,0,0,0.0318380252136163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156127595404286,-0.0167433232650222,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1151349355437,0,0,0,0,0,0,0,0,0,0.0756499773669594,0,-0.115873409165869,0,-0.11455404015814,0.0841090766444922,0,0,0,0,0.021524711331064,0,0,-0.0619861607882618,0.240122688068926,0,0.0837789433438641,0,0,0.147302204559922,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.45285280979224,0,0,0.189676763413869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123699036632478,0,0,0,0.034056604168774,0,0,0,0,0,0,0,0,0,0,0,-0.0570187136735688,0,0,0,0,0,0,0.000667002938032946,0,0,0,0,0,0,0,0.0107536640482569,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0.273805584613842,0.0600626748401256,0,0.30010928869206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740226510483082,0.0113771489613184,0,0,0,0,0,0,0,0,0,0,0,-0.0356787231899212,0,0,0,0,0,0,0,0,0,0,0.086257904917236,-0.0568029606767425,0,0.0163117856050632,0,0,0,0,0,0,0
