,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X002241.SZ,X600741.SH,X002292.SZ,X600066.SH,X002506.SZ,X600118.SH,X002049.SZ,X600031.SH,X002236.SZ,X002475.SZ,X600372.SH,X000559.SZ,X000157.SZ,X002465.SZ,X000568.SZ,X300124.SZ,X000338.SZ,X600089.SH,X600867.SH,X002294.SZ,X300003.SZ,X002007.SZ,X600177.SH,X601877.SH,X002074.SZ,X002456.SZ,X000869.SZ,X000050.SZ,X600582.SH,X300146.SZ,X002008.SZ,X600584.SH,X600498.SH,X002129.SZ,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0054335228165193,0,0,0,0,0,0,0.119027069199829,0,0,0,0,0.111984765712114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768753120511824,0,0,0,0,0.0211198975804928,0,0,0,0,0,0,0,0,0.0293469879936783,0,0,0,0,0.00153707602078354,0,0,0,0,0,0
X600104.SH,0,0,1.73472347597681e-18,0.0804481272145414,0,0,0,0,0,0,0,0,0.107530192236477,0.0978681953156721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108963297248309,0,0,0,0.112183294793984,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.152791821616655,0,0,0,0,0,0,0,0,0.00356058167151414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639350638981839,0,0,0.0349241384888417,0.290681524277648,0.0367145699899713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339310302884636,0,0,0.13748637578272,0,0,0,0.247105065114362,0,0,0.105342985193822,0,0,0,0.111700821286615,0.103072545088903,0,0.00665732253873798,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562900093323651,0,0,0,0,0,0,0,0,0,0,0,0.0266019593844293,0,0.0227989635344652,0.118893598966693,0,0,0,0.0541700168484651,0,0,0.0970627959435263,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145616913721553,0,0,0,0,0.0435011252924154,0,0,0,0,0,0,0,0,0,0,0,0,0.214286233539961,0,0,0,0.111872521055005,0.0904065896907408,0,0,0,0,0.0146836563892553,0,0,0,0.0142410069535994,0,0,0,-0.0431401494859755,-0.0166245965841699,0,0,0,0,0,0
X600276.SH,0,0,0.156712358052394,0,0,0,0,0,0.0175042584489131,0,0,0,0,0,0,0,0,0,0.067462891888247,0,0,0,0,0,0.00929558692569731,0,-0.00720415409404867,0,0,0,0,0,0,0,0,0,0.0158191848569858,0,0,0.0840431099037821,0,0.0897352674930992,0,0,0,0.0254928411207144,1.73472347597681e-18,0,0,0,0.00495147805106687,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.097563292740782,0,0,0,0.0146075937053763,0,0,0,0,0,0,0.187325041658102,0,0.0646567262707228,0.0143113052077597,0,0,0,0,0,0,0.016929034021061,0.146068127180259,0,0,0,-0.00566394193272773,0,0,0,0,0,0
X000625.SZ,0,0,0.0714807608231543,0,0,0,0,0,0,0,0,0,0,0.0225602632422351,0,0,0,0,0.0952288432524258,0,0,0,0,0,0.25272761989799,0,0,0,0,0,0,0,0,0,0.116231849230814,0.0699146382458973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174861816181128,0,0,0,0,0,0
X000063.SZ,0,0,0.0557449962582351,0,0,0,0,0,0,0,0,0,0,0,0,0.00747736827554806,0,0,0,0,0,0,0,0,0.196391423523248,0,0,0,0.0741628246551883,0,0,0,0,0,0,0.0783859629821154,0,0.023049958620989,0,0,0,0,0.211456377811313,0,0,0.0126101443717848,0.0447894529807857,0,0,-0.0344717110688521,0,0,0,0,0,0,0
