,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X600703.SH,X300003.SZ,X000100.SZ,X002007.SZ,X002236.SZ,X000157.SZ,X300142.SZ,X600271.SH,X300124.SZ,X002008.SZ,X002179.SZ,X002506.SZ,X600183.SH,X000625.SZ,X600177.SH,X600498.SH,X600867.SH,X600487.SH,X002371.SZ,X002241.SZ,X300014.SZ,X600066.SH,X000977.SZ,X000050.SZ,X300146.SZ,X600522.SH,X600118.SH,X600372.SH,X000066.SZ,X600776.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.216353316864237,0,0,0,0,0,0,0,0.0681790266238642,0,0,0.118934587443679,0,0,0,0,0,0,0.0206069363058295,0,0,0,0.0533355451892322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340797512894191,0,0,0,0,0,0,0,0,0,0.0334543124745176,0,0,0,0,0,0,0,0.0282596090160117,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0715499831218624,0,0,0.0803775324079161,0.361110171224186,0,0,0,0,0,0,0.199323587662473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667859751879094,0,0,0,0.124684746471716,0,0,0,0,0,0,0,0,0,-0.0196001117387651,0,0,0,0,0.0239649219149159,0,0
X000651.SZ,0,0,0,0,0,0,0.0804672122602229,0.130378460424275,0,0,0,0.151075462696908,0.185731927819132,0,0.0456453600505248,0,0,0.0707889875703508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0117992192960571,0,0,0,0,0.0122922852481718,0,0
X600104.SH,0,0,0.0814684343457731,0,0,0.0229921144762595,0,0,0,0,0,0,0,0,0.203325810550145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250653148625992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.00816259782407483,0,0,0,0,0.00197252835649111,0,0
X600276.SH,0,0,0.0681011176966291,0,0,0,0,0,0,0,0,0,0.182765644660086,0,0.0475718400994334,0,0,0.227788321049807,0,0,0,0,0,0,0,0.0288108914253118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887453901622124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648498903994469,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.322445635353318,0,0,0,0,0,0,-0.0367935497729245,0,0,0,0.542422911368326,0,0,0,0,0,0,0,0,0,0,0,0,0.171115534234242,0,0,0,0,-0.136268949812426,-0.0056694573820621,0,0,0,0,0,0,0,0,-0.00387480563180318,0,0,0,0,0,0,0
X002304.SZ,0,0.307591066142597,0.0800875954392568,0,0,0,0,0,0,0,0,0,0.0645344501974437,0,0,0.0943715468597714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635368799321003,0.0239881048319318,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,-0.0284992950090061,0,0,0,0,0.00218845238322855,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.0525416155906995,0,0,0.215846496502391,0,0,0,0,0,0,0.033083788760098,0,0,0,0,0,0,0,0,0,0,0.0319227102202695,0,0,0,0,0,0,0,0,0.0826711324369058,0,0,0,0,0,0,0,0,0.214913208374232,0,0,0,-0.0617593858627078,0,0,0,0.0177178061325862,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027094889039676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932377414439784,0.135408761150196,0,0,0,0.089214961847622,0.366887699075437,0,0,0,0,0,0.0210723437555597,0,0,0,0,0,0,0,0.0100954079578111,0,0
X000568.SZ,0,0.176675078186328,0,0,0,0,0,0.0138530673752064,0,0,0,0,0,0,0,0.0450120477497208,0.14394885597096,0,0,0.0421501715816353,0,0,0,0,0,0,0,0,0,0,0,0,0.0628537764270318,0,0,0,0,0,0.171666628903225,0.0319496968882201,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659868773167871,0,0,0,0,0,0
