,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002475.SZ,X002304.SZ,X600276.SH,X000651.SZ,X600104.SH,X002371.SZ,X300014.SZ,X300124.SZ,X002129.SZ,X000596.SZ,X003816.SZ,X000625.SZ,X002049.SZ,X000725.SZ,X600031.SH,X000063.SZ,X002241.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X600522.SH,X000733.SZ,X000661.SZ,X002180.SZ,X300142.SZ,X601877.SH,X002074.SZ,X600741.SH,X000100.SZ,X600884.SH,X600460.SH,X000157.SZ,X600702.SH,X601799.SH,X600487.SH,X000799.SZ,X002236.SZ,X600584.SH,X002414.SZ,X600563.SH,X002176.SZ,X300003.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.149259480956986,0,0,0,0.0234086868706115,0,0,0,0,0,0,0,0,0,-0.0341659373482985,-0.00888615829482728,0,0,0,0,0,0,0,0,-0.031064144058969,0,0.071622787465778,0,0,0,0,0,0,0,0,0,0.0634229737260328,0,0,0.1719165806742,0,0,0,0,0,-0.0037299045153182,0,0,0,0.009327154582134,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0698027107150483,0,0,0,0.0336335094372852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432222525347889,0,0,0,0,0.00522148723819946,0,0,0,0.0665077307901901,0,0.324112476868791,0,0,0,0,0,-0.0979285600371996,0,0.0114502440011711,0,0,-0.0282777778511633,0,-0.00475633613996773,0,0,0,0,0,0
X600809.SH,0,0,0,0.311232639922083,0,0,0,0,0,0,0,0,0,0,0,0.131909203759597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813829252006637,0,0.00771353732493585,-0.104929517681426,0,0,0,0,0.0129869386414412,0,0,0,0,0.156843787240302,-0.00697113684232807,-0.010239690603181,0,0,0,0,0,0
X000568.SZ,0,0,0.217968952160882,0,0,0,0,0,0,0,0,0,0,0,0,0.00865949389767401,0,0,0,0,0.0399056684465721,0,0,0,0,0.0241030923308198,0,0,0,0.00868278412919224,0,0,0,0,0,0,0,0,0,0.336321258626784,0,0,0,0,0,0,0,0,0,0,0,-0.00448801243433356,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0829321689264185,0,0,0,0,0,0,0,0,-0.0573383682449997,0,0,0.00947380237965846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333771957693204,0.00730848897534767,0,0,0,0.0287859478272492,0,0,0,0,0,0,0.510941345798146,0.12775163013919,0,-0.0354256004714544,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.197658126979822,0,0,0,0,0,0,0.134929102784831,0,-0.0293289679563044,0,0,0,0,0,-0.0222506219333006,0,0,0,0,0,0,0,0,0.234082303276389,0,0,0,-0.0191493534881315,0,-0.205482355541398,0,0,0,0,0,0,0,0,0,0,0,0,-0.00420812744034979,0,0.0280572712573967,0.139910810470528,0,0,-0.048375165255172,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0533190237236654,0.379887972775011,0,0,0,0,0,0,0,0,0.0563978767761435,0,0,0,-0.0855719570089048,0,-0.0911160367237841,0,0,0,0,0,0,0,0,0.0759312608550345,0,0,0,0,0,0,0.0121686623777125,0.102765242936787,0,0,0,0,0,-0.113307232106857,0,0,0,0,0,0,0
X002304.SZ,0,0.215600154459923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202836060920011,0,-0.0397392281920636,0,0,0,-0.108498834265695,0,0.0731139529689953,0,0,0,0,0.0259219605357728,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758005136626862,0.0316654919800695,0.146085702941483,0,0,-0.0189514773647422,0,0,0,0.220156415357549,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,-0.0159037930762502,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061574930226289,0,0,0,0,0,0,0,0,0,0,-0.0708014876923104,0,0.0316210665286471,0,0.0659054025735367,0,0,0.0206574779877441,0,0,0,0,0,0,0,0,0,0.0332255562897075,0,-0.0255199611722065,0.0192798198125679,0.183892802801993,0,0,0,-0.0443242662234893,0,0,0,0,0,0
