,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X000568.SZ,X002475.SZ,X002304.SZ,X600104.SH,X600690.SH,X600031.SH,X000725.SZ,X300124.SZ,X300014.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000338.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000661.SZ,X300142.SZ,X002049.SZ,X000100.SZ,X000596.SZ,X002179.SZ,X600460.SH,X601877.SH,X600702.SH,X000799.SZ,X600584.SH,X002074.SZ,X002007.SZ,X600741.SH,X000157.SZ,X002414.SZ,X002236.SZ,X600183.SH,X601799.SH,X600779.SH,X600089.SH,X000800.SZ,X300146.SZ,X300003.SZ,X000066.SZ,X600884.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.219757292976522,0,0,0,0,0,0.145151788108075,0.0477369990979275,0,0.0264283725243246,0,0,0,0,0,0,0,0,0,0.0364885930902445,0,0,0.0707960628477023,0,0,0,0,0,0,0,0.0304516068358406,0,0,0,0,0,0,0,0,0,0,0.043077303684782,0,0,0,0,0,0,0,0,0,0.0312775131243463,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0399722650581414,0,0.391225949722262,0,0,0,0,0,0,0,0.0303034362337092,0,0,0,0,0,0,0,0,0.160765763862588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401019403575009,0.159428181238291,0,0,0,0,0,0,0,0,0.00327792230363303,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.237935232773478,0,0,0,0,0,0.136976547823587,0,0,0,0.131957312216879,0,0,0,0,0.0112286651759724,0,4.91521187407874e-05,0,0,0,0,0,0,0.0762692112743971,0,0,0,0.0877192090167197,0,0.0465717353770325,0,0,0,0,0,0,0.0124453803960101,0,0,0,0,0,0.040016771426648,0,0,0,0,-0.0297826738117952,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.122978794933254,0,0,0,0,0.141894141808101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496889049368755,0,0,0,0,0,0,0,0,0,0.063832149022876,0,0,0,0,0,0,0,0,0,0.0341219302033174,0,0,0,0,0,0
X600276.SH,0,6.93889390390723e-18,0,0,0,0,0,0,0.029527398486502,0,0,0.0488126997168385,0,0.0402186965515324,0.151805113059606,0,0.0477324367819115,0,0,0.00837734397423915,0,0,0,0,0,0,0,0,0,0,0,0.0911850644991149,0,0,0,0,0,0,0,0,-0.18187781814616,0,0,0,0,0,0,0,0.121005914689144,0,0,0.0053525263092493,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0246495612734781,0,0,0,0,0,0,0,0,0.143426030626372,0,0.00391078151753788,0,0,0,0,-0.0204035292476048,0,0,-0.0607252632646416,0,0,0,0.0927035185861095,0,0,0,0,0.0711901725367284,0,0,0,0,-0.00453161750601216,0,0,0,0,0,-0.0650931316939399,0,0,0,0,0.0603521994966924,0,0,0,0,0,0
X000568.SZ,0,0.602195004802809,0,0.0659016892257734,0,0,0,0,0.135613050368906,-0.260318912258459,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0607602931539504,0,0,0,0,0,0.148141416120849,0,0,0,0,0,0.0402682982733469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104468622758117,0.0844231206879625,0.093552351646701,-1.73472347597681e-18,0,0,0,0,0.117435722274869,0,0,-0.0257112107604885,0.0746519458919523,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.124115138309324,0,0,0,0,-0.15636116159396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.166969519888436,0,0,0.101765768226298,0,0,0,0,0,0,0,0,0,0.150702401981209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080467533975283,0,0,0,0,0,0,0.0487826435314861,0,0,0,0,0.0928685259572184,0,0.168775413426668,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.123540896165331,0,0,0,0.0597808214661517,0,0,0,0.115412412909317,0,0,0,0,0.106813305149355,-0.0349366109135921,0,0,0,-0.00944590304674259,0,0.00500438175812606,0,0,0,0,0.0744951292681868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438218556989722,0,0,0,0,0,0,0
