,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X002241.SZ,X600741.SH,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X000100.SZ,X000550.SZ,X002236.SZ,X601877.SH,X000581.SZ,X300124.SZ,X002475.SZ,X000623.SZ,X600582.SH,X000568.SZ,X000800.SZ,X002294.SZ,X000400.SZ,X600177.SH,X000559.SZ,X002129.SZ,X600839.SH,X000869.SZ,X002456.SZ,X002292.SZ,X002465.SZ,X000977.SZ,X600312.SH,X002007.SZ,X000050.SZ,X600435.SH,X300003.SZ,X002038.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000568.SZ,0,0,0,0,0.0168223983931042,0,0.42184589391828,0,0,0,0,0,0,0,0,0,0,-0.130625838375708,0,0,0,0.06484217752573,0,0,0,0,0,0,0,0.0515055651657785,0.10879110891055,0,0,0,0,0,0,0,0,0,0.0148351005106404,0,0,0,0,0,0,0.0725685805287619,0,0,0,-0.0616614966401136,-0.0304858111252267,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24344665179795,0.146089942402933,0,0,0.0726249623880613,0,0,0,0,0,0.0690658512432139,0,0,0,0,0,0.0565824780616825,0.0878034294480574,0,0,0,0,0,0,0,0,0,0,0.111064480910727,0.065780622292637,0,0,0,-0.0179867720581331,0,0,0,0,0,0
X002294.SZ,0,0,0.0968091394505426,0,0,0,0,0,0,0,0,0,0,0.0403088687345157,0,0,0,0,0,0,0,0,0,0,0,0.00927364708794565,0,0.132412104324458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346956878021652,0,0,0,0,0.0421179247696604,3.46944695195361e-18,0,0,0,0.00741111085075804,0.00531985324092424,0,0,0,0,0,0
X000400.SZ,0,0,0,0,0,0,0,0,0,0,0,0.146067002731591,0,0,0,0,0,0,0.0617089773598887,0,0,0.107027742926058,0,0,0.0424468922541801,0,0,0,0.182814793801708,0,0.0226288996594572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056268065632676,-0.0427964579349877,0,0,0,0,0,0,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.129129646113288,0,0,0.0778553858838278,0.0352554589362452,0,0.0496870718261029,0,0,0,0,0,0,0.115650200011384,0,0,0,0,0,0,0,0.435283172787414,0,0,0.0852997945096666,0,0,0,0,0,0,0,0,0,0.0151304768914017,0,0,0,0,0,0,0,0,-0.0303245684014682,-0.0150413648522847,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.215180595638781,0,0,0,0,0,0,0,0,0,0,0,0.483199073078986,0,0,0,0,0.10319330552911,0,0,0.0326161049486945,0,0,0,0,0,0.0176198343348886,0,0,0,0.18649862998404,0,0,0,0.0750142907457932,0,0,0,0,0.0120584896204844,-0.00683308200756097,0.10603879362474,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,-0.109731540743456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534754114434496,0.119277610054999,0.000655055431580138,0,0,0,0,0,0,0,0,0,0,0,0,0.00752262176538044,0,0,0.124672419161961,0.0732651959011533,0.0594439354732582,0,0,0,-0.025797311442974,0,0,0,0,0,0,0
X600839.SH,0.165772250598598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929059775985097,0,0.00873846368074917,0,0,0,0.0385696063342514,0,0,0,0,0,0,0,0,0,0,0,0.00567384429384068,0,0,0,0.124650364821771,0,0,0,0.017985502280043,0.156526471769289,0,0.0957257052843576,0,0,0,0.0884843266651191,0,0,0,0,0.00267183596710347,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0.150089856187566,0.298488004700397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231565241594916,0.135990936151773,0,0,0,0,0,0,0,0,0,0,0,0.0326928897705709,-0.0455363433187088,0,0,0.010767627971989,0,0,0,0.00221874482230463,-0.00257246288648346,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.063088331954772,0,0,0,0,0,0,0,0,0,0,0,0.396451164299923,0,0,0.0950766422607442,0.129200531055377,0,0.00367683498155942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681257576428993,0,0,-0.0248244295913142,-0.0443581586590877,0,0,0,0,0,0
X002292.SZ,0,0,0,0.0344648747934161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987765862818122,0,0,0,0,0,0.0327279579398831,0.0797714433546869,0,0,0,0,0,0.179980035132197,0,0,0,0,0.0539167145551595,0,0,0,0,0.277083647342295,0,0,0,0.0532343713127244,0,0,0,0.0559803757053316,0.0111599454211138,0,0,0,0,0,0
