,X600519.SH,X000858.SZ,X002415.SZ,X600104.SH,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X000100.SZ,X601877.SH,X000661.SZ,X000596.SZ,X600271.SH,X600809.SH,X002236.SZ,X300003.SZ,X300124.SZ,X002008.SZ,X002007.SZ,X000625.SZ,X600487.SH,X600867.SH,X002456.SZ,X300142.SZ,X600498.SH,X000157.SZ,X600776.SH,X600177.SH,X002180.SZ,X002241.SZ,X300146.SZ,X002179.SZ,X002371.SZ,X000050.SZ,X000977.SZ,X600089.SH,X600522.SH,X600066.SH,X002508.SZ,X000066.SZ,X600118.SH,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.270184178103292,0,0,0,0.075598756831734,0,0,0,0,0,0,0,0,0,-0.0113928512830624,0,0,0.00489891634622172,0.0136857879492836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00490981559516699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128261018495617,0,0,0,0,0,0,0
X000858.SZ,0.0646552473587495,0,0,0,0,0,0.177787900926816,0,0,0,0,0,0.00588385303933843,0.316965030466286,0,0,0,0,0,0.0329575100998706,0,0.132719251883668,0.07162059756409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162316188257684,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110160173837807,-0.0088282067718777,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,-6.7762635780344e-21,0,0,0,0,0,0.0207175055840516,0,0.0500997619171467,0.0106627427867035,0,0,0,0,0,0,0.0398991441197183,0.455466180501584,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254164769067987,0.015570162269531,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.209458706319403,0,0,0.0331376622211518,0.0356599085302123,0,0,0,0,0.0177123537354261,0,0.0641298953266339,0.054729491985128,0.10816189884064,0.0624724684625969,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0583449810584915,0,0,0,0,0.0373580841875607,0,0,0,0,-0.076591770666025,0,0,0,0,0,0
X000651.SZ,0,0.245082539296497,0.0818420996864419,0,0,0,0,0,0,0.132873311294842,0,0,0.0251231783236119,0,0,0,0,0,0,0,0,0,0.0427625606304632,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00738776482333997,0.00273695480221631,0,0,0,-0.0075322620296219,0,0
X600276.SH,0,0,0,0,0,0,0.0169329120929901,0,0,0,0,0,0,0.05314713368781,0,0,0,0,0.0282843304178937,0.0534981658611296,0,0.135912123487425,0,0.0419211612080259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359465040678332,0.0590338222604981,0,0,0,0,0,0
X002304.SZ,0,0.223435829808514,0,0,0,0,0,0,0,-8.67361737988404e-19,0.104058205412397,0,0,0.326303193203742,0,0,-0.0253328610330554,0,0,0.0636302018724786,0,0,0.024498983152408,0,0,0,0.0185896367654653,0,0,0,0,0.0804984407139583,0,0,0,0,0,0,0.062400096668626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146821841144168,0,0,0,0,0,0.0649395432565908,0.0706558208712236,0,0,0,0,0,0.0470282340809207,0.13824568991863,0,0,0,0,0,0,0,0,0.119958365792437,0,0.109068936616336,0,0,0,0,0,0,0,0,0,-0.0220224278541686,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.118638431038053,0,0,0.000958581413814432,0,0,0,0,0,0,2.16840434497101e-19,0,0,-6.93889390390723e-18,0,0,0.353860832353408,0,0.061222057237168,0,0.27850475720014,0,0,0,0,0,0,0.0357284892526115,0,0,0.142092297695448,0,0,0,0,0.00704882407005614,0,0,0,-0.0135149648975732,0,0,0,0,-0.0108886688357226,0,0
X600690.SH,0,0.238187744755066,0,0.104410131920395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0505027527407401,-0.0166585865963845,0.0664036540577881,0,0,0,0.441837005382758,-0.0234129651756025,0,0,0,-0.0131339448152797,-8.67361737988404e-19,0,0,0,0,0,0
