,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X300014.SZ,X300124.SZ,X000651.SZ,X600104.SH,X002129.SZ,X002371.SZ,X000725.SZ,X003816.SZ,X002049.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X002179.SZ,X600703.SH,X000338.SZ,X600089.SH,X002180.SZ,X002241.SZ,X600522.SH,X000661.SZ,X300142.SZ,X000733.SZ,X601877.SH,X002074.SZ,X000100.SZ,X600741.SH,X000157.SZ,X600460.SH,X600702.SH,X300003.SZ,X600884.SH,X600487.SH,X600584.SH,X002176.SZ,X600563.SH,X601799.SH,X002414.SZ,X000799.SZ,X002223.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0629248155481989,0.309633178866911,0,0.0813462107066396,0,0,0.0541496692061259,0,0.0198998055578824,0,0,0,0,0,0,0,-0.0161797132349679,0,0,0,0,0,0,0,0,-0.00445801626382947,0.0373980124871126,0,0,0,-0.156808186860834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109010712395057,0,0,0,0.0544026261454038,0,0,0,0,0,0,0
X000858.SZ,0.210197235988643,0,0,0,0.319985922197612,0,0,0,0,0,0,0.0237542809266638,0,0,0.0439920050824212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00667158954849261,0,0,0,0,0,0,0,0,0.127874447875115,0,0,0,0,0,0,0,0,0,0,0,0,0.0136662467517749,0,0,0,0,0,0,0
X600809.SH,0.420953860619747,0,0,0,0.402304192541519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399563542812086,0,0,0,0,0,0,0,0,0.0205736945168088,0,-0.0425473626125428,0,0,0,0,0,0,0.0260288223303022,0,0,0,0,0,0,-0.0590018120349423,0,0,0.0331309072805695,0.0272625704178395,0,0.00514143636571645,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0821312836655801,0,0,0,0,0,0,0,0,0,0,0,0.265613007878521,0,0,0,0,0,0.127239170730981,0,0,0.0484088839466163,0,0,0,0,0,0,0,0,0,0,0,0.0166620485224381,0,-0.0960616808741287,0.0860821775380411,0.00676116131823812,0.19671921824804,0,0.0818805557879589,0.252819443112059,0.0146889469157136,0,0,0,0,0,0,0
X000568.SZ,0.0838118346072061,0.233670969153519,0.612520238954464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383454047609028,0,0,0,0,0,0,0,0,0,0.108019306854067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.0930592848271589,0,0,0,0,0,0,0,-0.0407972405298764,0,0,0,0,0.0123981280105885,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126214545969517,0.0221576598716955,0,0.0185104533416717,0,0,0,0,0,0,0,0.0698252002873041,0,-0.0513553036180189,0,0,0,0,0,0.111363246161778,0.158047038742306,0,0,0.0214442733294887,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.149820415632667,0.302601294022656,0,0,0,0.048704563057549,0,0,0,0,0,0,0,0,0,0,0,0.033228215926191,0,0,0,0,0,0,0,0,0,0,0,0.0248002903556305,0,0,-0.0347788946920647,0,0.0264269192317104,0,-0.0311633410346341,0.103118109654247,0.205166571538821,0.0623202438874997,0,0,-0.0953989586694464,0.0489960765632215,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.384624786586586,0,0,0,0,0,0,0.0932457968969029,0,0,0,0,0,0,0,0,0,0,0,0.0575394159973276,0,0.0660115961749191,-0.102171800843459,0.043413699551619,0.0264121190845165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192801776307371,0,0,0,0,0,0,0
X002304.SZ,0,0.15667118475909,0,0,0,0,0.137280582437116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158751855698958,0,0,0,0,0,0,0,0,0,0,0,0.0777863205771771,0.021060140617335,0,0,0,0,0.251421100550341,0,0,0,0,0,0,0,-0.138726387667161,0,0.00800881903902076,0,0,0.00431340323871694,0,0,0,0,0,0,0
X300014.SZ,0,0,-0.0665206492497811,0,0,0,0.102665982699061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105354981485793,0.0489008604891108,0,-0.0381911637887547,0,0.540668365293974,0,0,0,0,0,0,0,0.0463506656642926,0,0,0,0,0.169967899090781,0,0,0,0,0.0159030750295551,0,0,0,0,0,0,0
