,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600690.SH,X600809.SH,X600031.SH,X002304.SZ,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X003816.SZ,X300014.SZ,X000063.SZ,X000100.SZ,X000157.SZ,X000596.SZ,X600703.SH,X002241.SZ,X600741.SH,X002129.SZ,X601877.SH,X000625.SZ,X002179.SZ,X002236.SZ,X002007.SZ,X002371.SZ,X300142.SZ,X002049.SZ,X002414.SZ,X600584.SH,X300003.SZ,X601799.SH,X600183.SH,X000800.SZ,X000799.SZ,X002074.SZ,X300146.SZ,X002008.SZ,X000066.SZ,X600089.SH,X600707.SH,X000977.SZ,X002294.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.140774682368917,0,0,0,0.204320149073408,0.0447909548971443,0,0.0492414699129992,0,0,0,0,0,0,0,0,0,0,0.00195763381173967,0.0689569309707904,0,0,0,0,0,0,0,0,0,0,-0.137805743886,0,0,0,0,0,0,0,0,0.0631456669618628,0,0,0,0,0,0,0,0,0,0,0,-0.0189626496525864,0,0,0,-0.0111828855753134,0,0
X000858.SZ,0,0,0,0,0,0.363555139235872,0,0.15561933238926,0,0.0834444115445055,0,0,0,0,0,0,0,0,0,0,0.0168843402404676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119281175089167,0.00520858356072773,0,0,0,0,0,0,0,0,0,0,-0.0219624811927991,0,0,0,-0.0269344675428512,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.00574109275895051,0.163238987982613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00510778589205282,0.340080369770817,0.143530101747505,0,0,0,0,0,0,0,0,0,0.07731417987433,0,0.129581246819927,0,0,0,-0.0118422584872201,0,0,0,0,0,0.0388755905218584,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0141691614804651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949563730296829,0,0,0,0.0081287910619311,0,0,0.0315492822763551,0.158298562666334,0,0,0,0,0,0,0,0,0.0908674352312343,0,0,0,0,-0.146114695421359,0,0,0,0,0,0.0972491501959611,0,0,0.00780412451336218,0,0,0,0,-0.0137036755099824,0,0
X000651.SZ,0,0,0,0,0,0,0.107381004331465,0.0736322180882703,0,0,0,0,0,3.46944695195361e-18,0,0.108219895889807,0,0,0,0,0.0422993064980655,0,0,0,0,0.0319503889825892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0321678651630139,0,0
X000568.SZ,0.0638215257231089,0.525502379814556,0.0542859348722658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593857546735488,0,0,0,0,-0.0396891410055411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312084345182087,0,-0.00445126062606717,0,0,0,0,0,0,0,0,0,-0.0308076228312439,0,0,0,0,0,0
X600690.SH,0,0,0.118533554782588,0,0,0,0,0.184861758633348,0,0,0,0,0,0.119457152671356,0,0,0,0,0,0.0326262133233658,0,0,0,0,0,0,0,0,0.132169869379033,0,0,0,0,0,0,0,0,0,0,0,0,0.0459888380974896,0,0,0,0,-0.0387782130987032,0,0,0,0,0,0.0223955202799264,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.111623833551932,0,0,0,0,0,0,0.0590350141390651,0,0.0527852750397502,0,0,0,0.0104191414816864,0,0,0,0,0,0,0.132536214620552,0,0,0,0,0,0,0,0,0.326137106451042,0,0,0.117679639732061,0,0,0,0,0,0,0,0,0,0,0,-0.0707079776666408,0,0,0,-0.0382748311159158,0,0
X600031.SH,0,0,0,0,0,0,0,0.159958333733481,0,0,0,0,0.0834666477730465,0,0,0,0,0,0,0,0.0669563480738475,0,0.0892783126402921,0,0,0.111463343119709,0,0.10616938727853,0,0,0,0,0,0.0697203193342424,0,0,0,0.0042323754754572,0,0,0,0.0358745031481955,0,0,0,0,0,0,0,0,0,-0.035426829229837,0,0,0,0,0.0416636873334374,0,0
X002304.SZ,0,0.323339614736348,0,0,0,0.00614627421637852,0.0101422636538361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455144642895526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125970047704663,0.193681474544761,0,0,0,0,0,0,0,0,0,-0.0192470684390665,0,0,0,0,-0.0866222367363344,0,0
X002475.SZ,0,0,0,0,0,-8.67361737988404e-19,0,0.0432917771281505,0,0,0,0,0,0,0,0.0622616855063405,0,0,0,0,0.0796695011151833,0,0,0.377435222386119,0,0,0,0,0,0,0.103266503253665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232206768584752,0.00924388522755188,0,0,0,0.0212396242177199,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851289373839235,0.0151361738071216,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0547793237593153,0,0,0,0,0,-0.0421271223657392,0.0228390778091474,0.132479166603754,-0.0593019627807129,0.203113256543065,0,0,-0.0532797949283312,0.0360679648042173,0,0,0,0,0,0.0122766138272752,0,0,0,0,-0.0758829633267339,0,0
X000725.SZ,0,0,0.132722865796833,0,0,0,0,0.0405513204295384,0,0,0,0,0,0,0,0,0,0,0,0.15469656547264,0,0,0.120616403930668,0,0,0,0,0,0,0.0818029870975967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058570838514501,0,0,0,0,0,0
