,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X600703.SH,X002007.SZ,X000100.SZ,X300003.SZ,X000157.SZ,X300142.SZ,X600271.SH,X002236.SZ,X300124.SZ,X002008.SZ,X002179.SZ,X000625.SZ,X600183.SH,X002506.SZ,X600177.SH,X600498.SH,X600487.SH,X600867.SH,X002241.SZ,X002371.SZ,X300014.SZ,X000977.SZ,X600066.SH,X000050.SZ,X600522.SH,X300146.SZ,X000066.SZ,X600118.SH,X600776.SH,X600372.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.251150659576217,0,0,0,0,0,0,0.0285139499228338,0,0,0,0.0851606238026461,0,0,0,0,0,0,0,0,0,0,0,0.0351082387114919,0,0.0715076640112254,0,0,0,0,0,0,0,0,0.0445830422007663,0,0.0206336079376462,0,0,0,0,0,0,0,0,0,0.0147280413510062,0,0,0,0,0,0,0,0,0.0185770262484543,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.118143853589039,0.22697395826623,0,0.0403327789887487,0.451956653756192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786018115028614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191304685461411,0,0
X000651.SZ,0,0.0897906467982556,0,0,0,0,0,0.11673031842946,0,0,0,0.080927651702473,0.201497770310325,0,0.0465982282607738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416598434454649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164061878630835,0,0,0,0,0.00534414366422646,0,0
X600104.SH,0,0,0.0710070126627787,0,0,0.0205110115753037,0,0,0,0,0,0,0.00587141636351681,0,0.196757872082057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223835750092098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110372354631591,0,0,0,0,0,0,0
X600276.SH,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.174281951352252,0,0.0850088985811398,0,0,0.188476234830603,0,0,0,0,0,0,0.0705896485924895,0,0,0,0,0,3.46944695195361e-18,0.0697395376474182,0,0,0,0,0.0804435603008156,0,0,0.0607624069114908,0,0,0,0,0.0262325125150781,-0.0291912524935901,0,-0.0204379403388361,0,0,0.0629010875383646,-0.00217742486870869,0,0,0,0,0.0162159291176662,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.328555147488485,0,0,0,0,0,0,-0.074751662297441,0,0,0,0,0,0,0.572018915868813,0,0,0,0.0775906687748614,0,0,0,0,0.0548501830906729,0,0,0,0,-0.110454003719328,0,0,0,0,0,-0.0076686912943975,0,0,0,0,0.0133045704431507,-0.0240030184680846,0,0,0,0.0302807012944692,0,0
X002304.SZ,0,0.160143586464194,0.209364759524745,0,0,0,0,0,0,0,0,0,0,0,0,0.167143976221267,0.11142662907438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656884403957144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215310228204249,-0.0310911766017546,0,0,0,0,0,0
X000063.SZ,0,0,0.100667519281892,0,0,0,0,0,0.0952640645876004,0,0,0,0.255092280112941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490099637122417,0.099588471732788,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.258855565848788,0,0,0,0,-0.0523889800887258,0,0,0,0,0,0
X000568.SZ,0,0.231568347402525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281087296841068,0.155009192091356,0,0,0.0448749947612367,0,0,0,0,0,0,0,0,0,0,0.0556620635335388,0,0,0,0,0,0,0.158191132415614,0,0.0440516483793965,0,0,0,0,0,0,0,0,0,0,0,0,-0.053490284404632,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281077543333864,0,0,0,0,0,0,0,0,0,0,0.0705078982364338,0,0.0354915625696647,0.0941231759075343,0,0.126345042087458,0,0.330471898515109,0,0,0.00532848191648346,0,0,0,0,0,-0.00265922017166843,0,0,0,0,0.011772976311658,0,0
