,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X601877.SH,X000157.SZ,X002236.SZ,X000100.SZ,X300003.SZ,X600703.SH,X002007.SZ,X300142.SZ,X600271.SH,X300124.SZ,X000625.SZ,X002241.SZ,X002179.SZ,X002506.SZ,X600183.SH,X600177.SH,X600867.SH,X600498.SH,X300014.SZ,X600487.SH,X002371.SZ,X000050.SZ,X002008.SZ,X600066.SH,X002129.SZ,X000066.SZ,X002049.SZ,X000977.SZ,X600522.SH,X600118.SH,X300146.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.180525893026638,0,0,0,0,0,0,0,0.147163045147697,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.120260780591101,0,0,0.0154369418836325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293059287981903,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113454795958146,0,0,0,0,0.0594482326835931,0,0
X000858.SZ,0,0,0,0,0,0,0.0372513450270579,0,0,0.355187461629699,0,0.138649756169141,0,0,0,0.197018654070983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441783064076031,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262437305561933,0,0,0,0,0,0,0
X000651.SZ,0,0.0060898770124146,0,0,0,0,0.0526279426452141,0,0.0108484562129787,0,0.172362489879118,0.103754966834993,0,0,0.0802292185920682,0,0.0827332366942563,0.19592097816027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327057528168036,0,0,-6.7762635780344e-21,0,0,0,0,0.0682581365646184,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.247498078847898,0,0,0.00199980084243726,0,0,0.169084683207984,0,0,0,0,0,0,0,0.0954799826155679,0,0,0,0,0,0,0,0,0,0,0.0306627958633863,0,0,0,0,0,0,-0.0542002397936611,0.0332510935441955,0,0,0,0.067500738257032,0,0.0614332651864319,-0.0158314956030112,0,0,0,0,0.0245914677889525,0,0
X600104.SH,0,0,0,0,0,0.0332675970014796,0,0,0,0,0,0,0,0,0.190410673944567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138822592058913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105281368575664,0,0,0,0,0,0,0,-0.0145882820006972,0,0,0,0,0.0066831861910776,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.335235321696814,0,0,0,0,0,0,0,0,0.595227495548877,0,0,-0.0482239009628926,0,0,0,0,0,0,0,0,0,0,0.0338257651109615,0,0,0,0,0,0,0,0,-0.0148493646054203,0,-0.0647891135962589,0,0,0,0,0,0.00463869488529871,0,0,0,0,0.0408663868453325,0,0
X002304.SZ,0,0.240832787727892,0,0,0,0,0,0,0,0.208177534767106,0,0,0,0,0.114576837606034,0,0.0121515366352341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513126180964111,0,0,0,0,0,0,0,0,0,0,0,-0.047498059205412,0,0,0,0,0,0,0,-0.00909558504967043,-0.016227958997397,0,0,0,0.0431556894219745,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0145366671039373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575277506094663,0.121702682872207,0.361564445579843,0,0,0,0.0523903556408409,0.0183491961792677,0.00243985858194209,0,0,0,0,0,-0.00783825933859893,0,0,0,0,0.0473224378964608,0,0
X000063.SZ,0,0.111921838025399,0,0,0,0,0,0,0,0,0,0.0895200166988179,0,0,0,0,0,0,0,0,0,0,0.0369196199507604,0.0943237291779173,0,0,0,0,0,0,0,0,0.0760790521608056,0,0,0.300078809074698,0.0118170295921518,0,0.0377084048854436,0,0,0,0,0.0257959452811515,0,0,0,0,0,0,0,0,0,0,0,0,0.0593676375712857,0,0
X000568.SZ,0,0.466993515479584,0,0,0,0,0,-0.0151581141056335,0,0,0,0.0655744103686029,0,0,0.00249709380967667,0.16735523542822,0,0.0856532223281705,0,0,0.0933322597410199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,0,-0.0025860879543198,0,0
