,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X002475.SZ,X600031.SH,X000338.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X600703.SH,X000100.SZ,X300142.SZ,X000157.SZ,X002236.SZ,X002007.SZ,X600271.SH,X300003.SZ,X002008.SZ,X300124.SZ,X002179.SZ,X000625.SZ,X002506.SZ,X600487.SH,X600498.SH,X600867.SH,X600183.SH,X600177.SH,X000977.SZ,X002371.SZ,X300014.SZ,X002241.SZ,X600066.SH,X000050.SZ,X000066.SZ,X600522.SH,X600776.SH,X300146.SZ,X002049.SZ,X002129.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.216783398480192,0,0,0,0,0,0,0,0,0,0.00757482774413698,0,0,0.0388832407536199,0,0,0,0,0.00965281977258108,0,0.0370006520915775,0,0.149587771363748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570953701081727,0,0.000883901057573709,0,0,0,0,0,0,0,0,-0.014346110140007,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204932919698921,0,0.0657964257183073,0.392285156215804,0,0,0,0,0,0,0.0686839181179207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703266472766474,0,0.0575286555447305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153164646516709,0,0
X000651.SZ,0,0,0,0,0,0,0.221401229056564,0.0591416472911037,0,0,0,0.1912221329343,0.271228659399114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166335093562816,0,0,0,0,-0.00143179080662864,0,0
X600104.SH,0,0,0.0921133494941822,0,0,0.0228615343683037,0,0,0,0,0,0,0,0,0.186310516723999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276195915696299,0,0,0,0,0,0,0,0,0.00446467485273783,0,0,0.00679282944299568,0.00264505846508457,0,0,0,0,0,0,0,0,-0.010303880164471,0,0,0,0.00693600800394995,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.20555643315358,0,0,0,0,0,0.177212209436643,0,0,0,0,0,0,0,0,0,0,0,0,0.0751050602785127,0,0,0,0,0,0,0,0,0.0862230582726461,0,0,0,0,0,0,0,0.00565576419370448,0,0,0,-0.0152165601201705,0,0,0,0,0.0186440382161733,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.309850439007824,0,0,0,0,0,0,0,-0.0574056378615619,0,0,0,0.586179450910463,0.0243265918439919,0,0,0,0,-0.0183258843458687,0.0337590594322699,0,0.158639530967872,0,0,0,0,-0.134500090640096,0,0,0,0,0,0,0,0,0,0,0,-0.0398377289383579,0,0,0,0,0,0,0.0163783248577095,0,0
X002304.SZ,0,0.201300931991162,0.205620922319938,0,0,0,0,0,0,0,0,0,0,0,0,0.145422343322555,0.0746640107324243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071618237667787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000374052099161888,-0.0471678542024825,0,0,0,0.026176089625732,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.118603211792131,0,0.152330693459202,0,0,0,0,0,0,0,0.0716388025266596,0,0,0,0,0,0,0,0,0,0,0,0.152480776142377,0,0,0,0.0431641200759613,0,0,0,0,0,0,0,0,0,0.290495651923533,0,0,0,0,0,0,-0.0535710078732081,0,0,0,0.00366080764176457,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174305221647575,0,0,0,0,0,0,0,0.033130602944539,0,0,0,0,0,0,0,0,0,0,0.0899484551235215,0,0,0,0,0.108408883655347,0,0,0,0.0514794130476702,0.311079416219378,0.0887067717513933,0,0,0,0.0364353650824356,0,0,0,0,0,0,0,0,0.00945565882602239,0,0
X000568.SZ,0,0.209707761838323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075950421716735,0.273052434330575,0,0,0.0643430490099634,0,0,0,0.00887947074768631,0,0,0,0,0,0,0.127162954255205,0,0,0,0,0,0,0,0,0.0613505545395562,0.108636018495548,0,0,0,0,0,0,0,0,0,0,-0.0100288688169571,0,0,0,0,0,0,0
