,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X002241.SZ,X600271.SH,X002236.SZ,X000338.SZ,X002456.SZ,X600118.SH,X600177.SH,X002085.SZ,X000157.SZ,X002292.SZ,X600372.SH,X300124.SZ,X000559.SZ,X600867.SH,X002007.SZ,X300003.SZ,X000623.SZ,X002294.SZ,X002180.SZ,X600089.SH,X002506.SZ,X601877.SH,X600522.SH,X002074.SZ,X000981.SZ,X600498.SH,X002426.SZ,X002508.SZ,X000869.SZ,X000550.SZ,X000050.SZ,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.222573132421457,0,0,0.0393190714659888,0,0.0657789028003484,0,0,0.0357506805322499,0,0.0478575673349461,0,0,0.0864770570631382,0,0,0,0.0807631250038708,0.0898938498476957,0,0.0124498158617865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0669962267487561,0,0,0,0,0,0,0,0.0264468273189056,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.00535290817522941,0,0,0,0,0.0148197008748914,0,0,0,0,0,0,0.109917668951576,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0391780505509292,0,0.00460107644587824,0,0,0,0,0,0,0.0449432657571385,0.117467321109197,0,0.00949098841774692,0,0,0,0,-0.0431876630872965,0,-0.0448181103769759,0,0.126215889799105,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565325832741649,0,0,0,0,0.109251993861338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132874027071852,0,0,0,0,0.181286425993025,0,0,0,0,0.108679797848679,0,0,0.0154027025656771,0,0,0,-0.0567420249569823,0.0947139091689145,-0.0703090423845194,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387342486670567,0,0,0,0,0,0,0.0863682138403886,0,0,0,0,0,0,0,0,0,0,0.0320713399415396,0,0.0566163794501868,0,0,0,0,0,0,0,0.0659407604549345,0,0.0518219001807414,0.494510078461869,0,0,0,0,0,0.0135271285786405,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374021441164703,0,0,0,0,0,0,0,0,0,0.0452398500608051,0,0,0.0405433132405589,0,0,0.0838667856000501,-4.33680868994202e-19,0,0.0736671381189003,0,0,0,0,0,0.153943332918088,0,0.02008636803537,0.0797237164448746,0,0,0,0.00486203260426333,0,0,0,0,0.0641730197758907,0,0,0,0,0,0
X600276.SH,0,0,0.00657889381002657,0,0,0,0,0,0,0,0,0,0,0,0.0259641638076998,0,0,-0.00968273323733031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124043614392228,0,0,0,0.103114282111368,0,0.107158168477097,0.0914351897121203,0,0,0,0,-0.0447164549157362,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.307473944062726,0,0,-0.0219364716308158,0,0,0,0,0,0,0.0112145082479578,0,0.0127464208823099,0,0,0,0,0,0,0,0,0,0,0,0.0330340901522335,0,0,0.0538271457592349,0,0.079163646115969,0,0,0,0,-0.021454513801216,0,0,0,0,0,0,0.113130239379492,0,0,0,0,-0.0142501467547724,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113381127462856,0,0,0,0,0,0,0,0.0815047655892174,0,0,0,0,0,0,0,0,0,0,0,0.0293869372672908,0,0,0,0,0,0,0,0.0525972389203076,0.0895118853218102,0,0,0,0.135107136760457,0,0,0,-0.0380378643006124,-0.0207682962286932,0,0,0,0,0,0
X000625.SZ,0,0,0.0813792094042824,0,0,0,0.0210188588317836,0,0,0,0,0,0,0,0,0,0.065126172373061,0,0,0,0,0,0,0,0,0,0,0,0.0404099580052781,0.142692810807812,0,0,0,0.0881974311849989,0,0,0,0,0.0776469791170737,0,0,0.0472536404366186,0.000879056277986612,0.121706021396204,0,0,0,0,0,0,0.0124672520247658,-0.0200524492743352,0,0,0,0,0,0
X000063.SZ,0,0,0.0722924836098076,0,0,0,0,0,0,0,0.0229162364965072,0,0,0.0396051246430409,0.0482611164170876,0,0,0.0935838155903692,0,0,0.139760624186682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780022619195465,0,-0.010500905158459,0,0,0,0,0,0,0,0.0460167725564251,-0.0808927287931611,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.169029667421021,0,0,0,0,0,0,0,0,0.0643479942295607,0,0,0,0.0930789193220844,0,0,0,0,0,0.206203401362142,0,0,0,0,0.0402383523089146,0,0,0,0,0,0,0,0,0.0898834713998112,0.0928127474670083,0,0,0,0,0,0,-0.0162767824973009,0,0,0,0,0.034946335040533,0.0480745521170071,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.169677883362265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247981803274412,0,0,0,0,0,0,0.0927077733206283,0,0.195178953038161,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0170878050105653,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.0806762690489198,0,0,0,0,0.079779413544251,0,0.192182088409554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656681478319588,0,0,0,0.0816587206168658,0,0,0,-0.0621220817566117,0.020242016475376,0,0,0,0,0,0,0,-0.0204858272221319,0.0648245356157967,0,0,0,0,0,0
X600031.SH,0,0,-0.0274899489290535,0,0,0,0,0.0955161774868881,0,0,0.0706153089334035,0,0,0,0,0,0.0627825768407995,-1.73472347597681e-18,0.144023429637072,0,0.0836803786140138,0,0,0.289056605085687,0.0525567783296274,0,0,0,0,0,0,0,0,0,0,0,0.161993884566047,0,0,0,0,-0.0482214187613561,0.0174494172696327,0,0,0,0,0,0,0,0,-0.0482804645728217,0,0,0,0,0,0
X000568.SZ,0,0,0.0613186100986184,0,0.447230610494927,0.0747096718479333,0,0,0,0,0,0,0,-0.0190428621558068,0,0,0,0.0234305778656181,0,0,0,0.0750543091620254,0,0,0.0879019966388088,0,0,0,0,0.0367271791476262,0,0,0,0,0,0,0,0,-0.02331566485969,0,0,0,0,0,0,0.0263699933792516,0,0,0,0,-0.0128118443999663,0,0,0,0,0,0,0
