,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002129.SZ,X003816.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X000661.SZ,X600089.SH,X002241.SZ,X002180.SZ,X000100.SZ,X601877.SH,X300142.SZ,X600702.SH,X000733.SZ,X600741.SH,X002074.SZ,X600522.SH,X600460.SH,X000157.SZ,X600584.SH,X000799.SZ,X300003.SZ,X600884.SH,X002294.SZ,X000066.SZ,X002007.SZ,X601799.SH,X002236.SZ,X002414.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-3.46944695195361e-18,0.279135662678483,0.202815778908042,0,0,0.0315565082348643,0.0357398825267537,0,0,-0.00307086145818811,0,0,0,0,0,0,0,0,-0.0235456691798786,0,0,0,0,0,0.042449656606109,0,0,0,0,0,0,0.0576875766018509,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00806048725519671,0,0,0,0,-0.00167051566941141,0.00622921401415528,0,0,0,0,0,0
X000858.SZ,0,0,0.334290060560953,0.163833440328991,0,0,0.28624163642275,0,0,0,0,0,0,0,0,0.020323714867244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104027260276119,0,0,0,0,0,0,0,0,0,0,-0.0153650769375269,0.00752157054774807,0,0,0,0,0,0
X000568.SZ,0,0.0777658830460307,0,0.13624480179039,0,0,0.260285343589157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34036944113808,0,0,0,0,0,0,0,0,0,0,0,-0.00708521181701633,0,0,0,0,0,0
X600809.SH,0,0,0.663912433890438,0,0,0,0.1207687991473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000857559681214558,0,-0.061232548479073,0,0,-0.0247832179336946,0,0,0,0,0,0,0,-0.0168090043061393,0,0,0,0,-0.0416513810740614,0,-0.0179633162244869,0.0114559198703149,0,0,0,0,0,0
X002415.SZ,0,0,0.0660157935266234,0,0,0,0,0,0,0,0,0.04066773297005,0,0,0,0,0,0,0,0.118761840654626,0.000363321518790001,0,0,0.0441719284486726,0,0,0,0.0284815464474436,0,0,0,0.0620272374213962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496459426347493,0,0.098728761323393,0,0,0,0,-0.0267182645970375,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116711151765741,0,0,0,0,0.0306224852236456,0,0,0,0,0,0,0,0.0525750713488484,0.176759723780459,0,0.0606887720208967,0,0.0788978556561294,0.0566226727005827,0,0,0,0,-0.0237505152567132,0.00471189776622095,0,0,0,0,0,0
X002304.SZ,0,0.237540592653331,0.436567173316631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560656989696711,0,0,0,0,0,-0.0095481926133258,0,0,0,0,0,0,0,0,-0.0175850591812667,0,0,0,0,-0.0637789068339231,0,0,-0.0303163883867079,0,0,0,0,0,0,-0.00580143768305166,-0.00678318518675849,0,0,0,0,0,0
X600690.SH,0,0.0439597371533706,0.176185744478536,0,0,0,0.0692730401732449,0,0,0,0,0,0,0,0,0.0441477633503968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338480658371024,0,0,0,0,0.0130487762672463,0,0,0.00700584260419765,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.21451211763519,0,0,0,0,0,0.0465757731271079,0,0.228132239830842,0,0,0,0.0987965431131843,0,0,0,0.166890746718675,0,0,-1.73472347597681e-18,0.0966739181875547,0,0,0,0,0.0666365650904869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106537397604506,-0.0419336267825838,0,0,0,0,0,0
X000651.SZ,0,0.124820679103332,0.0707232339892919,0,0,0,0.0131260670459943,0.0550559701632935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311674355795223,0,0,0,0,0,0,0,0,0.0307722985319466,0,0,0,0,0,0,0,0,0,0,0.00814549197658061,0,0,0,0,0,0,0
