,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X300014.SZ,X000725.SZ,X000596.SZ,X600031.SH,X002129.SZ,X003816.SZ,X000625.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X002241.SZ,X002180.SZ,X000100.SZ,X601877.SH,X600702.SH,X300142.SZ,X600741.SH,X000733.SZ,X002074.SZ,X600522.SH,X000157.SZ,X600460.SH,X600584.SH,X000799.SZ,X300003.SZ,X600884.SH,X000977.SZ,X000066.SZ,X002294.SZ,X002236.SZ,X002007.SZ,X600183.SH,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.178286916318504,0.211689867054675,0.11897699973119,0,0,0.0434332890126565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222023850900575,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0431743364175745,0,0,0,0,0,0.0157988194065375,-0.00340485393595037,0,0,0,0,0,0
X000858.SZ,0,0,0,0.214874751609207,0,0,0.614379576304495,0.115635045156363,0,0,0,0,0,0,0.0291111103459479,0,0,0,0.00920557436441902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333520223214643,0,0,0,0.0142193031635824,0,0,0,0,0,0,-0.0192353239852049,0,0,0,0,0,0,0
X000568.SZ,0,0.179746633109118,0,0.270723404644695,0,0,0.251502986735714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280338697574338,0,0,0,0,0,0,0,0,-0.0586052057684662,0,0,0,0.241944584081347,0,0,0,0,0,0,0,0,0,0,-0.00490891963895889,-0.00179631112070073,0,0,0,0,0,0
X600809.SH,0,0,0.47637498753211,0,0,0,0.094161649489353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253409332644945,0,0,0,0,0,0,0,0,0,0,0,0,0.0882763290427246,0,0,0,-0.0262796570575948,0,0,0,-0.0748479225348805,0,0,-0.00186323429576967,0,0,0,0,0,0,0
X002415.SZ,0,0.153130974507863,0,0.0849252291781946,0,0,0,0,0,0,0,0,0.0825341481899472,0,0,0,0,0,0,0,0.048895687292107,0,0,0,0,0,0,0,0,0,0,0,0.0303717763210873,0,0,0,-0.0219396093754942,0,0,0,0,0,0,0.21300595785756,0,0,0,0,0,0,0,0.000490908398882224,-0.0214889677614486,0,0,0,0,0,0
X600276.SH,0,0,0.00632186878189156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283881921583953,0,0,0,0,0,0,0,0,0,0.0559129147902715,0,0,0,0,-0.01847774048488,0,0,0,0.047177670281814,0.192364383633154,0,0.0643359624466218,0.00441564115405885,0.113020902909651,0,0.0687488861583342,0,0,0,-0.0282680144061336,0.00932336067054125,0,0,0,0,0,0
X002304.SZ,0,0.234920886411418,0.443023738306143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283366757384934,0,0,0,0,0,-0.0112187649609241,0,0,0,0,0,0,0,0,-0.0204652513898804,0,0,0,0,-0.0662407444770441,0,0,-0.0279735056603514,0,0,0,0,0,0,-0.0141890398105111,0,0,0,0,0,0,0
X600690.SH,0,0,0.0906911289283224,0,0.021784375474151,0,0,0,0,0,0,0,0,0,0.0727513262574975,0.251575273549165,0,0,0.0414133605154513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370515184392537,0,0,0,0,0,0,0,0,0,0,0.00824461001133986,-0.0091540340145205,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.218862337668263,0,0,0,0,0,0,0,0.191542099392331,0,0,0.0657625445919114,0,0,0,0.157097746648573,0,0,0.0400588830756371,0,0.0666723834805004,0,0,0,0.0783425510705533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027211258137811,0,0,0,0,0,0
X000651.SZ,0,0.115001231139077,0.0828351035383258,0,0,0,0.0118372418965958,0.048050417378752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00316658919818616,0,0,0,0,0.0299232555334073,0,-0.0007048302381924,0,0,0,0,0,0.0305245107073057,0,0,0,0,0,0,0,0,0,0,0.00790603205866518,0.000410457331569865,0,0,0,0,0,0
