,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X600066.SH,X002292.SZ,X000559.SZ,X002236.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002475.SZ,X601877.SH,X002129.SZ,X600177.SH,X000016.SZ,X000547.SZ,X600839.SH,X300124.SZ,X000568.SZ,X600435.SH,X002465.SZ,X300003.SZ,X600582.SH,X002294.SZ,X002074.SZ,X002276.SZ,X000066.SZ,X600252.SH,X002456.SZ,X000581.SZ,X000550.SZ,X000977.SZ,X002008.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600031.SH,0,0,0.0464027078724357,0,0,0,0,0,0,0,0,0.260836202595673,0,0,0.0364275117413742,0,0,0.0696072974380481,0,0,0.164023528474565,0,0,0,0,0.0188221645433087,0,0,0,0,0,0,0.0399372412689526,0,0,0,0,0.0460185228401071,0,0,0,0,0,0,0,0,0.00820582751220922,0,0,0,0,-0.0138364425139077,0.00397325337191594,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157820475307074,0,0,0,0.186831434066689,0,0,0.0287133441839948,0,0,0,0,0.0996404773041451,0,0,0.0265313043838058,0.135931141940013,0,0,0.0595358378169152,0,0,0,0,0,0,0,0,0,0,0,0.0421705275586709,0,0.174502570044784,0,0,0,0,-0.00273753246365238,-0.00868185885980044,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0.258255915622814,0,0,0,0,0,0,0,0,0.177835806738733,0,0,0,0.100684012713214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018283304969274,-0.0201956612653239,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0.183511264233085,0,0,0,0,0,0,0,0,0.284690785538097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550982446459357,0.057424816510449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000157.SZ,0,0,0.0412462555541369,0,0,0.215439803467799,0,0,0,0,0,0,0,0.415890792060731,0,0,0,0,0,0,0,0,0.160919926544254,0,0,0.0534529501262004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188047321424503,0.0334886111958395,0,0,0,0,0,0
X600066.SH,0,0.249793268916022,0,0,0,0.0190898674844366,0,0.322337290635717,0,0,0,0,0,0,0.162412857768956,0,0,0,0,0,0,0,0,0,0.149579781282553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0670159159324686,0,0,0,0,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00523705710876761,0,0,0.302123724197596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992636872990584,0.334624753283174,0,0,0,0,0,0,0,0.0148768530883358,0,0,0,0,0,0,0,0.0153817129085026,0,0,0,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143718654873733,0,0,0,0,0,0,0,0.00769780310015547,0,0,0.0137453498637281,0,0,0,0,0,0,0,0,0,0,0.0830131259396422,0,0.104213326401436,0,0,0,0.13898066294143,0,0,0,0,0,0.281751640756498,0,0.00418497200867559,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0.146384376988719,0,0,0,0,0,0.0213273911068766,0,0.179203095532385,0,0,0,0.180144262084043,0,0,0.0660089170135353,0,0,0,0,0.0096648086897238,0,0,0,0,0,0,0.163969907418259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00910954381569689,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0.326222502086576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102678185835852,0,0.120974333734806,0,-6.93889390390723e-18,0.059999708257012,0,0,0.00553533955691067,0,0,0,0,0,0,0.109002615022846,0,0,0,0,0,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0.361816155817415,0,0,0,0,0,0.0482376308871457,0,0.163398368528044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122383505721067,0,0,0,-0.000911946636099355,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.0945183490361222,0,0,0,0.014126101838909,0,0,0.11723063906557,0,0,0.423162826206784,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.0244114133948073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151119734379612,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0.107382414334672,0,0,0,0,0,0,0,0,0,0,0,0.063577412059677,0,0,0.252990475209223,0.155869757517432,0,0.0924943743238651,0,0,0,0,0,0,0,0,0,0,0,0.0252327502267339,0.112155451183791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00349707047587692,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0.0375406060740619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256978276424961,0,0,0,0.0193629869443712,0,0,0,0,0,0,0.128154323911872,0,0.111971593746174,0,0,0.0638458576374169,0,0,0,0.0770891118898135,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,-0.028856703440277,0,0,0,0,0,0
