,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X000568.SZ,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X601877.SH,X000661.SZ,X000100.SZ,X600703.SH,X600809.SH,X300003.SZ,X600271.SH,X002236.SZ,X002008.SZ,X300124.SZ,X002007.SZ,X000625.SZ,X000157.SZ,X300142.SZ,X600487.SH,X002179.SZ,X600177.SH,X300146.SZ,X600498.SH,X000977.SZ,X002506.SZ,X600066.SH,X002456.SZ,X002371.SZ,X600867.SH,X002241.SZ,X600522.SH,X000050.SZ,X600776.SH,X600566.SH,X600089.SH,X600372.SH,X600183.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.266092379861331,0,0,0,0,0,0,0.0552737120173785,0,0,0,0,0,0,0.0551770590344316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949480273765348,0,0,0,0,0,0,0,0,0,0,0,0.0688829293759315,0,0,0,0,0,0,0,0,0,0,-0.00475023667674537,0,0,0,-0.0242164361027393,0,0
X000858.SZ,0,0,0,0,0,0,0.0341302045212202,0,0,0.0345698815931961,0,0,0.087453990862184,0.0726754773550877,0,0,0,0,0,0,0.364901428560193,0,0,0.233978269734861,0,0,0,0,0,0.05001019581475,0,0,0,0,0,0.00625736401460266,0,0,0,0.0397580582699556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.18895909329496,0,0,0,0,0,0,0.0346738962056911,0.076660157350834,0.0838800899074604,0,0,0.0877753176985629,0.0372671195909951,0,0,0.0342513936335596,0,0,0,0,0,0,0,0,0,0.0213169373680821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183995895987755,0,0,0,0,-0.0615589769246004,0,0
X600104.SH,0,0,0.0891248144291266,0,0,0,0,0,0,0,0.0755853187258091,0,0,0.0423240909457484,0.0901472454338529,0,0,0,0,0,0,0,0,0,0,0,0,0.124378356049773,0,0,0,0,0,0,0,0.0146175178250121,0,0.0366562302345095,0.0273475052685529,0,0,0.0504863399147444,0,0.0087435869550003,0,0,0,0,0,0,0,0,0,0,0,0,0.0168434880603787,0,0
X600276.SH,0,0,0.0874674885070637,0,0,0,0.0928674107250709,0,0,0,0,0,-8.67361737988404e-19,0,0.0539671365773248,0,0,0,0,0,0,0.101642825777905,0,0,0.0487032813606935,0,0,0,0,0.0415847551832285,0,0,0,0.0909263701945959,0,0,0,0,0.0618606842321309,0,0,0.0352643017320342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0345082545984711,0,0
X002415.SZ,0,0.0273472781016807,0.0237250971145634,0,0,0,0,0,0.0493914369682405,0,0,0,0.104922599457319,0.00547126759384759,0.0523119349366178,0,0,0,0,0,0,0,0,0.292178757268815,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139460471995953,0,0,0,0,0,0,0
X002304.SZ,0,0.192852920534084,0,0,0,0,0,0,0,0,0.0741677177316322,0,0.098557882963804,0,0,0.0772991629644482,0,0,0,0,0.0860807278662167,0,0,0,0,0,0.00262352605249399,0,0,0,0,0,0,0.0283147119484392,0,0.0399377760541379,0,0,0,0,0,0,0,0,0.014321085881081,0,0,0,0,0,0,0.0100946223206237,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247352691308869,0,0,0,0,0,0,0,0,0.0484744195543137,0,0,0,0,0,0,0,0,0,0.037845767384498,0,0,0,0,0,0.231269746344887,0,0,0,0,0.106385706455788,0.16425713270628,0,-0.0636367214717403,0,0,0,0,0.0139749733842172,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10401601125977,0,0,0,0.103110244881256,0,0,0,0.0609967019693365,0,0,0.13007979097143,0,0,0,0,0.0530160183249637,0,0,0,0,0,0,0,0,0.0675300389025828,0,0,0,0,0,0,-0.0162173868731934,-0.077470592402006,0,0,0,-0.0917430239543657,0,0
X600690.SH,0,0.252469882491866,0,0,0,0,0,0,0,0,0,0,0,0.010820745546779,0.0365273291454085,0,0,0,0,0,0,0,0,0.109875913246517,0,0,0,0.141867493867347,0.0243732474368958,0,0,0,0.0867673927216418,0,0,0.0534158553709603,0,0,0.0798564535485501,0,0,0,0,-0.0483455939643896,0,0,0,0,0,0,0,0,0,0,0,0,0.024198852828794,0,0
