,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000625.SZ,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600031.SH,X000338.SZ,X600066.SH,X002456.SZ,X000100.SZ,X002508.SZ,X601877.SH,X300124.SZ,X300136.SZ,X600522.SH,X600177.SH,X600271.SH,X002008.SZ,X300003.SZ,X000157.SZ,X002085.SZ,X002007.SZ,X002294.SZ,X600118.SH,X600089.SH,X600487.SH,X600867.SH,X600566.SH,X600699.SH,X600809.SH,X600372.SH,X000559.SZ,X300115.SZ,X002180.SZ,X000623.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0626810452932875,0,0,0,0.0534356770044247,0,0,0.0412872903480546,0,0.0419520303350518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044006971654804,0,0,0.0268829010408672,0,0,0,0.149822877213643,0.0728572738456073,0,0,0,0.275770006731095,0,0,0,0,0,-0.152533664608964,0,0.0117814715561569,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.234887672081974,0,0,0,0,0.0799651581772743,0,0,0.151612176158305,0,0.371690485820813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395316481223574,0,0,-0.0557484489766212,0,0,0,0,0,0,0,0,0,0,0,-0.102276962302644,0,0,0,0,0.010759115125633,-0.0267051284122281,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.144171587258491,0,0,0,0,0,0.301397977229114,0,0.165861878539873,0.202472213234734,0,0,0,0,0,0,0.00255704447643626,0,0,0,0.037396808486752,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28031994815266,0,0,0,0,0,0,0,0,0.00349927396471486,0.0164356972506784,0,0,0,0,0,0
X000651.SZ,0.0678352429928263,0,0,0,0,0,0.026466053201448,0,0.086794596181145,0.159807321423503,0.116580904307021,0,0,0,0,0,0,0,0,0,0,0,0.13207232546714,0,0,0.103218598652339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085393748683913,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0407622498685189,0,0,0,0,0,0.576462665447558,0,0,0.0871922377206808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0
X600276.SH,0,0.197126639769542,0.0711792700195147,0,0.113082438013648,0,0,0,0,-0.0229703883901714,0,0,0,0.0821832061527299,0,0,0,-0.197359401176116,-0.0353638707221739,0,0,0,0,0,0,0,0,0,-0.0563532030903157,0,0,-0.0826084314357236,0,0,0,0,0,0,0,0,0,0,0,-0.102101734421772,0,0,0,-0.06138965651798,-0.00425997501494191,0.00537629132250754,0.0145848626930918,0,0,0,0,0,0
X000725.SZ,0,0,0.123150686554641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122147854830907,0,0,0,0,0,0,0,0,0,0.164221799244066,0,0,0,0.086495913979877,0,0,0,0.402621975100366,0,0,0,0,0,0.0943238334944088,0,0,0,0,0,0,0,0.0303847477986295,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.4454623598761,0,-0.05390929681653,0,0.141804329059286,0,0,0,0,0,0,0.0405334746723775,0,0,0,0,0.0520157766926475,0,0,0.0784483747709308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546478341992664,0,0,0,0.101867920015964,0,0,-0.0804641403162477,0.0968179517577958,0,0,0,0.0070409074291441,0,0,0,0,0,0,0
X600690.SH,0,0.484862588866322,0,4.33680868994202e-19,0,0,0,0.0936674035961305,0,0,0,0,0,0.129936763959188,0,0.0681807392197464,0,0,0,0,0,0,0,0,0,0.044327588584187,0,0,0,0,-0.101363094290015,0,0,0.0121646528927157,0,0,0,0,0,0,-0.0266891729937608,0,0,-0.0806211989325541,0.0775313509274815,0,0,0.0679471469037082,0,0,-0.00869253231372095,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0610526420104348,0,-0.00942692886200443,0,0.124556420678988,0,-0.0465838975744135,0,0,0,0,0,0,0,0,0,0,0,0.0882755661983256,0,0,0,0,0,0,0,0,0,-0.112347591942415,0,0,0.069495239991473,0,0,0,0,0.133819065454105,0,0.192470329203207,0,0,0,0,0.00280352755936283,-0.0168967936851399,0,0,0,0,0,0
